disease_name,disease_name_clean,vector_species,vector_species_clean,vector_group,vector_group_clean,best_evidence_level,best_evidence_basis,record_sources,source_count,supporting_row_count,locations_summary,sources_summary,notes_summary,has_lit_review,has_efsa,vector_species_rule_cleaned,taxonomy_cleanup_method,vector_species_original,vector_species_taxonomy_cleaned,vector_taxon_rank,review_needed,review_note,vector_join_key
Plague,plague,Oropsylla labis,oropsylla labis,flea,flea,confirmed,review,lit_review,1,1,North America,Eisen et al. 2009 Table 1,experimentally confirmed,TRUE,FALSE,oropsylla labis,no_change,Oropsylla labis,oropsylla labis,species,FALSE,,oropsylla labis
Plague,plague,Oropsylla tuberculata cynomuris,oropsylla tuberculata cynomuris,flea,flea,confirmed,review,lit_review,1,1,North America,Eisen et al. 2009 Table 1,experimentally confirmed,TRUE,FALSE,oropsylla tuberculata cynomuris,no_change,Oropsylla tuberculata cynomuris,oropsylla tuberculata cynomuris,infraspecific,FALSE,,oropsylla tuberculata cynomuris
Plague,plague,Paradoxopsyllus curvispinus,paradoxopsyllus curvispinus,flea,flea,weak,review,lit_review,1,1,Japan; Southeast Asia,Medvedev et al. 2022,historical claim; debated,TRUE,FALSE,paradoxopsyllus curvispinus,no_change,Paradoxopsyllus curvispinus,paradoxopsyllus curvispinus,species,FALSE,,paradoxopsyllus curvispinus
Plague,plague,Paradoxopsyllus custodis,paradoxopsyllus custodis,flea,flea,candidate,review,lit_review,1,1,"Yunnan, China",Medvedev et al. 2022,limited epizootic mention,TRUE,FALSE,paradoxopsyllus custodis,no_change,Paradoxopsyllus custodis,paradoxopsyllus custodis,species,FALSE,,paradoxopsyllus custodis
Plague,plague,Paradoxopsyllus dashidorzhii,paradoxopsyllus dashidorzhii,flea,flea,confirmed,review,lit_review,1,1,Mongolia; Russia,Medvedev et al. 2022,main vector,TRUE,FALSE,paradoxopsyllus dashidorzhii,no_change,Paradoxopsyllus dashidorzhii,paradoxopsyllus dashidorzhii,species,FALSE,,paradoxopsyllus dashidorzhii
Plague,plague,Paradoxopsyllus hesperius kalabukhovi,paradoxopsyllus hesperius kalabukhovi,flea,flea,confirmed,review,lit_review,1,1,China; Mongolia; Russia,Medvedev et al. 2022,accessory vector,TRUE,FALSE,paradoxopsyllus hesperius kalabukhovi,no_change,Paradoxopsyllus hesperius kalabukhovi,paradoxopsyllus hesperius kalabukhovi,infraspecific,FALSE,,paradoxopsyllus hesperius kalabukhovi
Plague,plague,Paradoxopsyllus repandus,paradoxopsyllus repandus,flea,flea,confirmed,review,lit_review,1,1,Kazakhstan; Turkmenistan,Medvedev et al. 2022,accessory or occasional vector,TRUE,FALSE,paradoxopsyllus repandus,no_change,Paradoxopsyllus repandus,paradoxopsyllus repandus,species,FALSE,,paradoxopsyllus repandus
Plague,plague,Paradoxopsyllus scorodumovi,paradoxopsyllus scorodumovi,flea,flea,confirmed,review,lit_review,1,1,Mongolia; Russia,Medvedev et al. 2022,main vector; occasional in Tuva,TRUE,FALSE,paradoxopsyllus scorodumovi,no_change,Paradoxopsyllus scorodumovi,paradoxopsyllus scorodumovi,species,FALSE,,paradoxopsyllus scorodumovi
Plague,plague,Paradoxopsyllus teretifrons,paradoxopsyllus teretifrons,flea,flea,confirmed,review,lit_review,1,1,Kazakhstan; Turkmenistan,Medvedev et al. 2022,plague vector,TRUE,FALSE,paradoxopsyllus teretifrons,no_change,Paradoxopsyllus teretifrons,paradoxopsyllus teretifrons,species,FALSE,,paradoxopsyllus teretifrons
Plague,plague,Pleochaetis exilis,pleochaetis exilis,flea,flea,confirmed,review,lit_review,1,1,North America,Eisen et al. 2009 Table 1,experimentally confirmed,TRUE,FALSE,pleochaetis exilis,no_change,Pleochaetis exilis,pleochaetis exilis,species,FALSE,,pleochaetis exilis
Plague,plague,Polygenis bohlsi bohlsi,polygenis bohlsi bohlsi,flea,flea,candidate,review,lit_review,1,1,Northeast Brazil,Reis et al. 2021,naturally infected,TRUE,FALSE,polygenis bohlsi bohlsi,no_change,Polygenis bohlsi bohlsi,polygenis bohlsi bohlsi,infraspecific,FALSE,,polygenis bohlsi bohlsi
Plague,plague,Polygenis bohlsi jordani,polygenis bohlsi jordani,flea,flea,confirmed,review,lit_review,1,1,Northeast Brazil,Reis et al. 2021,most effective vector,TRUE,FALSE,polygenis bohlsi jordani,no_change,Polygenis bohlsi jordani,polygenis bohlsi jordani,infraspecific,FALSE,,polygenis bohlsi jordani
Plague,plague,Rhadinopsylla daurica,rhadinopsylla daurica,flea,flea,probable,review,lit_review,1,1,,Gage and Kosoy 2005,block-free transmission,TRUE,FALSE,rhadinopsylla daurica,no_change,Rhadinopsylla daurica,rhadinopsylla daurica,species,FALSE,,rhadinopsylla daurica
Plague,plague,Rhadinopsylla rothschildi,rhadinopsylla rothschildi,flea,flea,probable,review,lit_review,1,1,,Gage and Kosoy 2005,block-free transmission,TRUE,FALSE,rhadinopsylla rothschildi,no_change,Rhadinopsylla rothschildi,rhadinopsylla rothschildi,species,FALSE,,rhadinopsylla rothschildi
Plague,plague,Thrassis acamantis,thrassis acamantis,flea,flea,confirmed,review,lit_review,1,1,North America,Eisen et al. 2009 Table 1,experimentally confirmed,TRUE,FALSE,thrassis acamantis,no_change,Thrassis acamantis,thrassis acamantis,species,FALSE,,thrassis acamantis
Plague,plague,Thrassis arizonensis,thrassis arizonensis,flea,flea,confirmed,review,lit_review,1,1,North America,Eisen et al. 2009 Table 1,experimentally confirmed,TRUE,FALSE,thrassis arizonensis,no_change,Thrassis arizonensis,thrassis arizonensis,species,FALSE,,thrassis arizonensis
Plague,plague,Thrassis fotus,thrassis fotus,flea,flea,confirmed,review,lit_review,1,1,North America,Eisen et al. 2009 Table 1,experimentally confirmed,TRUE,FALSE,thrassis fotus,no_change,Thrassis fotus,thrassis fotus,species,FALSE,,thrassis fotus
Plague,plague,Thrassis francisi,thrassis francisi,flea,flea,confirmed,review,lit_review,1,1,North America,Eisen et al. 2009 Table 1,experimentally confirmed,TRUE,FALSE,thrassis francisi,no_change,Thrassis francisi,thrassis francisi,species,FALSE,,thrassis francisi
Plague,plague,Thrassis pandorae,thrassis pandorae,flea,flea,confirmed,review,lit_review,1,1,North America,Eisen et al. 2009 Table 1,experimentally confirmed,TRUE,FALSE,thrassis pandorae,no_change,Thrassis pandorae,thrassis pandorae,species,FALSE,,thrassis pandorae
Plague,plague,Xenopsylla astia,xenopsylla astia,flea,flea,probable,review,lit_review,1,1,southern Asia,Gage and Kosoy 2005,relatively inefficient transmitter,TRUE,FALSE,xenopsylla astia,no_change,Xenopsylla astia,xenopsylla astia,species,FALSE,,xenopsylla astia
