Disease_name,country,records_with_country,pathogens,target_ids,in_gibb_etal,in_empres_i
Bluetongue,Ecuador,30,Orbivirus caerulinguae,Orbivirus_caerulinguae,FALSE,FALSE
Bluetongue,Egypt,13,Orbivirus caerulinguae,Orbivirus_caerulinguae,FALSE,FALSE
Bluetongue,El Salvador,10,Orbivirus caerulinguae,Orbivirus_caerulinguae,FALSE,FALSE
Bluetongue,France,2402,Orbivirus caerulinguae,Orbivirus_caerulinguae,FALSE,FALSE
Bluetongue,French Guiana,10,Orbivirus caerulinguae,Orbivirus_caerulinguae,FALSE,FALSE
Bluetongue,Germany,228,Orbivirus caerulinguae,Orbivirus_caerulinguae,FALSE,FALSE
Bluetongue,Gibraltar,10,Orbivirus caerulinguae,Orbivirus_caerulinguae,FALSE,FALSE
Bluetongue,Greece,257,Orbivirus caerulinguae,Orbivirus_caerulinguae,FALSE,FALSE
Bluetongue,Guatemala,31,Orbivirus caerulinguae,Orbivirus_caerulinguae,FALSE,FALSE
Bluetongue,Honduras,22,Orbivirus caerulinguae,Orbivirus_caerulinguae,FALSE,FALSE
Bluetongue,Hungary,10,Orbivirus caerulinguae,Orbivirus_caerulinguae,FALSE,FALSE
Bluetongue,India,1305,Orbivirus caerulinguae,Orbivirus_caerulinguae,FALSE,FALSE
Bluetongue,Indonesia,133,Orbivirus caerulinguae,Orbivirus_caerulinguae,FALSE,FALSE
Bluetongue,Iran,2,Orbivirus caerulinguae,Orbivirus_caerulinguae,FALSE,FALSE
Bluetongue,Israel,1136,Orbivirus caerulinguae,Orbivirus_caerulinguae,FALSE,FALSE
Bluetongue,Italy,877,Orbivirus caerulinguae,Orbivirus_caerulinguae,FALSE,FALSE
Bluetongue,Jamaica,21,Orbivirus caerulinguae,Orbivirus_caerulinguae,FALSE,FALSE
Bluetongue,Japan,76,Orbivirus caerulinguae,Orbivirus_caerulinguae,FALSE,FALSE
Bluetongue,Kazakhstan,30,Orbivirus caerulinguae,Orbivirus_caerulinguae,FALSE,FALSE
Bluetongue,Kenya,2,Orbivirus caerulinguae,Orbivirus_caerulinguae,FALSE,FALSE
Bluetongue,Kosovo,51,Orbivirus caerulinguae,Orbivirus_caerulinguae,FALSE,FALSE
Bluetongue,Kuwait,10,Orbivirus caerulinguae,Orbivirus_caerulinguae,FALSE,FALSE
Bluetongue,Libya,30,Orbivirus caerulinguae,Orbivirus_caerulinguae,FALSE,FALSE
Bluetongue,Luxembourg,20,Orbivirus caerulinguae,Orbivirus_caerulinguae,FALSE,FALSE
Bluetongue,Malaysia,1,Orbivirus caerulinguae,Orbivirus_caerulinguae,FALSE,FALSE
Bluetongue,Martinique,13,Orbivirus caerulinguae,Orbivirus_caerulinguae,FALSE,FALSE
Bluetongue,Mauritania,1,Orbivirus caerulinguae,Orbivirus_caerulinguae,FALSE,FALSE
Bluetongue,Mongolia,30,Orbivirus caerulinguae,Orbivirus_caerulinguae,FALSE,FALSE
Bluetongue,Morocco,166,Orbivirus caerulinguae,Orbivirus_caerulinguae,FALSE,FALSE
Bluetongue,Netherlands,152,Orbivirus caerulinguae,Orbivirus_caerulinguae,FALSE,FALSE
Bluetongue,Nigeria,18,Orbivirus caerulinguae,Orbivirus_caerulinguae,FALSE,FALSE
Bluetongue,North Macedonia,10,Orbivirus caerulinguae,Orbivirus_caerulinguae,FALSE,FALSE
Bluetongue,Oman,13,Orbivirus caerulinguae,Orbivirus_caerulinguae,FALSE,FALSE
Bluetongue,Pakistan,17,Orbivirus caerulinguae,Orbivirus_caerulinguae,FALSE,FALSE
Bluetongue,Panama,40,Orbivirus caerulinguae,Orbivirus_caerulinguae,FALSE,FALSE
Bluetongue,Papua New Guinea,10,Orbivirus caerulinguae,Orbivirus_caerulinguae,FALSE,FALSE
Bluetongue,Peru,2,Orbivirus caerulinguae,Orbivirus_caerulinguae,FALSE,FALSE
Bluetongue,Poland,19,Orbivirus caerulinguae,Orbivirus_caerulinguae,FALSE,FALSE
Bluetongue,Portugal,34,Orbivirus caerulinguae,Orbivirus_caerulinguae,FALSE,FALSE
Bluetongue,Puerto Rico,2,Orbivirus caerulinguae,Orbivirus_caerulinguae,FALSE,FALSE
Bluetongue,Romania,2,Orbivirus caerulinguae,Orbivirus_caerulinguae,FALSE,FALSE
Bluetongue,Russia,13,Orbivirus caerulinguae,Orbivirus_caerulinguae,FALSE,FALSE
Bluetongue,Senegal,1,Orbivirus caerulinguae,Orbivirus_caerulinguae,FALSE,FALSE
Bluetongue,Serbia,20,Orbivirus caerulinguae,Orbivirus_caerulinguae,FALSE,FALSE
Bluetongue,Serbia and Montenegro,1,Orbivirus caerulinguae,Orbivirus_caerulinguae,FALSE,FALSE
Bluetongue,South Africa,1487,Orbivirus caerulinguae,Orbivirus_caerulinguae,FALSE,FALSE
Bluetongue,South Korea,20,Orbivirus caerulinguae,Orbivirus_caerulinguae,FALSE,FALSE
Bluetongue,Spain,276,Orbivirus caerulinguae,Orbivirus_caerulinguae,FALSE,FALSE
Bluetongue,Sudan,35,Orbivirus caerulinguae,Orbivirus_caerulinguae,FALSE,FALSE
Bluetongue,Sweden,30,Orbivirus caerulinguae,Orbivirus_caerulinguae,FALSE,FALSE
Bluetongue,Switzerland,82,Orbivirus caerulinguae,Orbivirus_caerulinguae,FALSE,FALSE
Bluetongue,Taiwan,19,Orbivirus caerulinguae,Orbivirus_caerulinguae,FALSE,FALSE
Bluetongue,Trinidad and Tobago,21,Orbivirus caerulinguae,Orbivirus_caerulinguae,FALSE,FALSE
Bluetongue,Tunisia,175,Orbivirus caerulinguae,Orbivirus_caerulinguae,FALSE,FALSE
Bluetongue,Turkey,89,Orbivirus caerulinguae,Orbivirus_caerulinguae,FALSE,FALSE
Bluetongue,United Arab Emirates,10,Orbivirus caerulinguae,Orbivirus_caerulinguae,FALSE,FALSE
Bluetongue,United Kingdom,240,Orbivirus caerulinguae,Orbivirus_caerulinguae,FALSE,FALSE
Bluetongue,United States,588,Orbivirus caerulinguae,Orbivirus_caerulinguae,FALSE,FALSE
Bluetongue,West Bank,1,Orbivirus caerulinguae,Orbivirus_caerulinguae,FALSE,FALSE
Bluetongue,Zambia,20,Orbivirus caerulinguae,Orbivirus_caerulinguae,FALSE,FALSE
Bluetongue,Zimbabwe,6,Orbivirus caerulinguae,Orbivirus_caerulinguae,FALSE,FALSE
Bokeloh bat lyssavirus,France,3,Lyssavirus bokeloh,Lyssavirus_bokeloh,FALSE,FALSE
Bokeloh bat lyssavirus,Germany,3,Lyssavirus bokeloh,Lyssavirus_bokeloh,FALSE,FALSE
Bokeloh bat lyssavirus,Poland,1,Lyssavirus bokeloh,Lyssavirus_bokeloh,FALSE,FALSE
Borna disease (encephalitis),Australia,4,Orthobornavirus bornaense,Orthobornavirus_bornaense,FALSE,FALSE
Borna disease (encephalitis),Austria,17,Orthobornavirus bornaense,Orthobornavirus_bornaense,FALSE,FALSE
Borna disease (encephalitis),Egypt,5,Orthobornavirus bornaense,Orthobornavirus_bornaense,FALSE,FALSE
Borna disease (encephalitis),France,2,Orthobornavirus bornaense,Orthobornavirus_bornaense,FALSE,FALSE
Borna disease (encephalitis),Germany,247,Orthobornavirus bornaense,Orthobornavirus_bornaense,FALSE,FALSE
