Pathogen,Host_clean,Disease_name,HostTaxID,PathogenTaxID,PathogenGenus,PathogenFamily,PathogenOrder,PathogenClass,HostPhylum,HostClass,HostFamily,HostOrder,DetectionMethod,high_quality_detection,downstream_default_include,downstream_review_reason,in_gibb_etal,in_empres_i,PHEIC risk,MainSource
MERS-like bat merbecoviruses,Camelus dromedarius,Middle East Respiratory Syndrome (MERS),9838,3433633,betacoronavirus,coronaviridae,nidovirales,pisoniviricetes,CHORDATA,MAMMALIA,CAMELIDAE,ARTIODACTYLA,PCR/Sequencing,TRUE,TRUE,NA,FALSE,FALSE,High,VIRION
MERS-like bat merbecoviruses,Lama glama,Middle East Respiratory Syndrome (MERS),9844,3433633,betacoronavirus,coronaviridae,nidovirales,pisoniviricetes,NA,NA,NA,NA,PCR/Sequencing,TRUE,TRUE,NA,FALSE,FALSE,High,VIRION
MERS-like bat merbecoviruses,Capra hircus,Middle East Respiratory Syndrome (MERS),9925,3433633,betacoronavirus,coronaviridae,nidovirales,pisoniviricetes,CHORDATA,MAMMALIA,BOVIDAE,ARTIODACTYLA,PCR/Sequencing,TRUE,TRUE,NA,FALSE,FALSE,High,VIRION
MERS-like bat merbecoviruses,Ovis aries,Middle East Respiratory Syndrome (MERS),9940,3433633,betacoronavirus,coronaviridae,nidovirales,pisoniviricetes,CHORDATA,MAMMALIA,BOVIDAE,ARTIODACTYLA,PCR/Sequencing,TRUE,TRUE,NA,FALSE,FALSE,High,VIRION
MERS-like bat merbecoviruses,Molossus molossus,Middle East Respiratory Syndrome (MERS),27622,3433633,betacoronavirus,coronaviridae,nidovirales,pisoniviricetes,CHORDATA,MAMMALIA,MOLOSSIDAE,CHIROPTERA,PCR/Sequencing,TRUE,TRUE,NA,FALSE,FALSE,High,VIRION
MERS-like bat merbecoviruses,Pipistrellus kuhlii,Middle East Respiratory Syndrome (MERS),59472,3433633,betacoronavirus,coronaviridae,nidovirales,pisoniviricetes,CHORDATA,MAMMALIA,VESPERTILIONIDAE,CHIROPTERA,PCR/Sequencing,TRUE,TRUE,NA,FALSE,FALSE,High,VIRION
MERS-like bat merbecoviruses,Pipistrellus nathusii,Middle East Respiratory Syndrome (MERS),59473,3433633,betacoronavirus,coronaviridae,nidovirales,pisoniviricetes,CHORDATA,MAMMALIA,VESPERTILIONIDAE,CHIROPTERA,PCR/Sequencing,TRUE,TRUE,NA,FALSE,FALSE,High,VIRION
MERS-like bat merbecoviruses,Rhinolophus ferrumequinum,Middle East Respiratory Syndrome (MERS),59479,3433633,betacoronavirus,coronaviridae,nidovirales,pisoniviricetes,CHORDATA,MAMMALIA,RHINOLOPHIDAE,CHIROPTERA,PCR/Sequencing,TRUE,TRUE,NA,FALSE,FALSE,High,VIRION
MERS-like bat merbecoviruses,Vespertilio murinus,Middle East Respiratory Syndrome (MERS),59485,3433633,betacoronavirus,coronaviridae,nidovirales,pisoniviricetes,CHORDATA,MAMMALIA,VESPERTILIONIDAE,CHIROPTERA,PCR/Sequencing,TRUE,TRUE,NA,FALSE,FALSE,High,VIRION
MERS-like bat merbecoviruses,Vespertilio sinensis,Middle East Respiratory Syndrome (MERS),105273,3433633,betacoronavirus,coronaviridae,nidovirales,pisoniviricetes,CHORDATA,MAMMALIA,VESPERTILIONIDAE,CHIROPTERA,PCR/Sequencing,TRUE,TRUE,NA,FALSE,FALSE,High,VIRION
MERS-like bat merbecoviruses,Hypsugo savii,Middle East Respiratory Syndrome (MERS),109485,3433633,betacoronavirus,coronaviridae,nidovirales,pisoniviricetes,CHORDATA,MAMMALIA,VESPERTILIONIDAE,CHIROPTERA,PCR/Sequencing,TRUE,TRUE,NA,FALSE,FALSE,High,VIRION
MERS-like bat merbecoviruses,laephotis capensis,Middle East Respiratory Syndrome (MERS),110938,3433633,betacoronavirus,coronaviridae,nidovirales,pisoniviricetes,NA,NA,NA,NA,PCR/Sequencing,TRUE,TRUE,NA,FALSE,FALSE,High,VIRION
MERS-like bat merbecoviruses,ia io,Middle East Respiratory Syndrome (MERS),360967,3433633,betacoronavirus,coronaviridae,nidovirales,pisoniviricetes,NA,NA,NA,NA,PCR/Sequencing,TRUE,TRUE,NA,FALSE,FALSE,High,VIRION
MERS-like bat merbecoviruses,hypsugo pulveratus,Middle East Respiratory Syndrome (MERS),867834,3433633,betacoronavirus,coronaviridae,nidovirales,pisoniviricetes,NA,NA,NA,NA,PCR/Sequencing,TRUE,TRUE,NA,FALSE,FALSE,High,VIRION
MERS-like bat merbecoviruses,Pipistrellus,Middle East Respiratory Syndrome (MERS),3075051,3433633,betacoronavirus,coronaviridae,nidovirales,pisoniviricetes,NA,NA,NA,NA,PCR/Sequencing,TRUE,TRUE,NA,FALSE,FALSE,High,VIRION
Middle East respiratory syndrome-related coronavirus (MERS-CoV),Vespertilio sinensis,Middle East Respiratory Syndrome (MERS),105273,1335626,betacoronavirus,coronaviridae,nidovirales,pisoniviricetes,CHORDATA,MAMMALIA,VESPERTILIONIDAE,CHIROPTERA,PCR/Sequencing,TRUE,TRUE,NA,FALSE,FALSE,High,VIRION
Middle East respiratory syndrome-related coronavirus (MERS-CoV),Pipistrellus hesperidus,Middle East Respiratory Syndrome (MERS),294653,1335626,betacoronavirus,coronaviridae,nidovirales,pisoniviricetes,CHORDATA,MAMMALIA,VESPERTILIONIDAE,CHIROPTERA,PCR/Sequencing,TRUE,FALSE,virion_host_flag_review,FALSE,FALSE,High,VIRION
