Host,HostTaxID,correct_name,type,taxon_level,Genus,Family,Order,Class,Phylum,host_species,Spp_syn,IUCN_spp,Or_name,IUCN_Present,IUCN_id,IUCN_name,IUCN_latest,IUCN_date,IUCN_Category,IUCN_N_syn,IUCN_syn,IUCN_status,IUCN_Phylum,IUCN_Class,IUCN_Order,IUCN_Family,ITIS_Present,ITIS_is_valid,ITIS_id,ITIS_name,ITIS_Phylum,ITIS_N_syn,ITIS_syn,ITIS_Class,ITIS_Order,ITIS_Family,ITIS_species_in_genus,GBIF_Present,GBIF_id,GBIF_name,GBIF_N_syn,GBIF_syn,GBIF_Phylum,GBIF_Status,GBIF_Class,GBIF_Order,GBIF_Family
Cygnus cygnus,219595,Cygnus cygnus,host,species,Cygnus,ANATIDAE,ANSERIFORMES,AVES,CHORDATA,Cygnus cygnus,Cygnus cygnus; Olor cygnus; Anas cygnus; Centaurea cyanus,Cygnus cygnus,Cygnus cygnus,Yes,22679856,Cygnus cygnus,TRUE,2021; 2016,LC,,,,CHORDATA,AVES,ANSERIFORMES,ANATIDAE,Yes,valid,174990,Cygnus cygnus,CHORDATA,2,Olor cygnus;Anas cygnus,AVES,ANSERIFORMES,ANATIDAE,,Yes,2498347,Cygnus cygnus,1,Centaurea cyanus,CHORDATA,ACCEPTED,AVES,ANSERIFORMES,ANATIDAE
Cygnus melancoryphus,41691,Cygnus melancoryphus,host,species,Cygnus,ANATIDAE,ANSERIFORMES,AVES,CHORDATA,Cygnus melancoryphus,,Cygnus melancoryphus,Cygnus melancoryphus,Yes,22679846,Cygnus melancoryphus,TRUE,2024,LC,0,,ACCEPTED;ACCEPTED;ACCEPTED,CHORDATA,AVES,ANSERIFORMES,ANATIDAE,Yes,valid,174991,Cygnus melancoryphus,CHORDATA,3,Cygnus melanocorypha;Cygnus melanocoryphus;Anas melancorypha,AVES,ANSERIFORMES,ANATIDAE,,Yes,2498335,Cygnus melancoryphus,1,Cygnus melancoryphus,CHORDATA,ACCEPTED-SYNONYM,AVES,ANSERIFORMES,ANATIDAE
Cygnus olor,8869,Cygnus olor,host,species,Cygnus,ANATIDAE,ANSERIFORMES,AVES,CHORDATA,Cygnus olor,Cygnus olor; Anas olor,Cygnus olor,Cygnus olor,Yes,22679839,Cygnus olor,TRUE,2021; 2016,LC,,,,CHORDATA,AVES,ANSERIFORMES,ANATIDAE,Yes,valid,174985,Cygnus olor,CHORDATA,1,Anas olor,AVES,ANSERIFORMES,ANATIDAE,,Yes,2498343,Cygnus olor,,,CHORDATA,ACCEPTED,AVES,ANSERIFORMES,ANATIDAE
Cynomys ludovicianus,45480,Cynomys ludovicianus,host,species,Cynomys,SCIURIDAE,RODENTIA,MAMMALIA,CHORDATA,Cynomys ludovicianus,,Cynomys ludovicianus,Cynomys ludovicianus,Yes,6091,Cynomys ludovicianus,TRUE,2016,LC,0,,S;New,CHORDATA,MAMMALIA,RODENTIA,SCIURIDAE,Yes,valid,180186,Cynomys ludovicianus,CHORDATA,1,Cynomys pyrrotrichus,MAMMALIA,RODENTIA,SCIURIDAE,,Yes,2437232,Cynomys ludovicianus,,,CHORDATA,ACCEPTED,MAMMALIA,RODENTIA,SCIURIDAE
Cynopterus brachyotis,58060,Cynopterus brachyotis,host,species,Cynopterus,PTEROPODIDAE,CHIROPTERA,MAMMALIA,CHORDATA,Cynopterus brachyotis,,Cynopterus brachyotis,Cynopterus brachyotis,Yes,6103,Cynopterus brachyotis,TRUE,2019,LC,2,Cynopterus brachysoma;Pachysoma brachyotis,New;New,CHORDATA,MAMMALIA,CHIROPTERA,PTEROPODIDAE,Yes,valid,631552,Cynopterus brachyotis,CHORDATA,2,Pachysoma brachyotis;Cynopterus brachysoma,MAMMALIA,CHIROPTERA,PTEROPODIDAE,,Yes,2432837,Cynopterus brachyotis,1,Cynopterus brachyotis,CHORDATA,ACCEPTED-SYNONYM,MAMMALIA,CHIROPTERA,PTEROPODIDAE
Cypseloides niger,46500,Cypseloides niger,host,species,Cypseloides,APODIDAE,CAPRIMULGIFORMES,AVES,CHORDATA,Cypseloides niger,,Cypseloides niger,Cypseloides niger,Yes,22686440,Cypseloides niger,TRUE,2021,VU,1,Nephoecetes niger,ACCEPTED,CHORDATA,AVES,CAPRIMULGIFORMES,APODIDAE,Yes,valid,177997,Cypseloides niger,CHORDATA,3,Hirundo nigra;Nephoecetes niger;Cypselus borealis,AVES,APODIFORMES,APODIDAE,,Yes,2477282,Cypseloides niger,,,CHORDATA,ACCEPTED,AVES,APODIFORMES,APODIDAE
Delphinus delphis,9728,Delphinus delphis,host,species,Delphinus,DELPHINIDAE,ARTIODACTYLA,MAMMALIA,CHORDATA,Delphinus delphis,,Delphinus delphis,Delphinus delphis,Yes,134817215,Delphinus delphis,TRUE,2023; 2021; 2012,LC; EN,3,Delphinus bairdii;Delphinus capensis;Delphinus delphis,ACCEPTED;ACCEPTED;MERGE;ADD,CHORDATA,MAMMALIA,ARTIODACTYLA,DELPHINIDAE,Yes,valid,180438,Delphinus delphis,CHORDATA,10,Delphinus capensis;Delphinus major;Delphinus fulvofasciatus;Delphinus janira;Delphinus pomeegra;Delphinus vulgaris;Delphinus tropicalis;Delphinus longirostris;Delphinus dussumieri;Delphinus bairdii,MAMMALIA,CETACEA,DELPHINIDAE,,Yes,8324617,Delphinus delphis,1,Delphinus delphis,CHORDATA,ACCEPTED-SYNONYM,MAMMALIA,CETACEA,DELPHINIDAE
Dendrocopos major,183177,Dendrocopos major,host,species,Dendrocopos,PICIDAE,PICIFORMES,AVES,CHORDATA,Dendrocopos major,Dendrocopos major; Dryobates minor,Dendrocopos major,Dendrocopos major,Yes,22681124,Dendrocopos major,TRUE,2021; 2016,LC,,,,CHORDATA,AVES,PICIFORMES,PICIDAE,Yes,valid,554048,Dendrocopos major,CHORDATA,,,AVES,PICIFORMES,PICIDAE,,Yes,2477968,Dendrocopos major,1,Dryobates minor,CHORDATA,ACCEPTED,AVES,PICIFORMES,PICIDAE
Dendrocygna autumnalis,8873,Dendrocygna autumnalis,host,species,Dendrocygna,ANATIDAE,ANSERIFORMES,AVES,CHORDATA,Dendrocygna autumnalis,Dendrocygna autumnalis; Anas autumnalis,Dendrocygna autumnalis,Dendrocygna autumnalis,Yes,22679780,Dendrocygna autumnalis,TRUE,2021,LC,,,,CHORDATA,AVES,ANSERIFORMES,ANATIDAE,Yes,valid,175044,Dendrocygna autumnalis,CHORDATA,1,Anas autumnalis,AVES,ANSERIFORMES,ANATIDAE,,Yes,2498393,Dendrocygna autumnalis,,,CHORDATA,ACCEPTED,AVES,ANSERIFORMES,ANATIDAE
Dendrocygna eytoni,8875,Dendrocygna eytoni,host,species,Dendrocygna,ANATIDAE,ANSERIFORMES,AVES,CHORDATA,Dendrocygna eytoni,Dendrocygna eytoni; Leptotarsis eytoni,Dendrocygna eytoni,Dendrocygna eytoni,Yes,22679740,Dendrocygna eytoni,TRUE,2024,LC,,,,CHORDATA,AVES,ANSERIFORMES,ANATIDAE,Yes,valid,175050,Dendrocygna eytoni,CHORDATA,1,Leptotarsis eytoni,AVES,ANSERIFORMES,ANATIDAE,,Yes,2498405,Dendrocygna eytoni,,,CHORDATA,ACCEPTED,AVES,ANSERIFORMES,ANATIDAE
Dendrocygna javanica,60182,Dendrocygna javanica,host,species,Dendrocygna,ANATIDAE,ANSERIFORMES,AVES,CHORDATA,Dendrocygna javanica,Dendrocygna javanica; Anas javanica,Dendrocygna javanica,Dendrocygna javanica,Yes,22679758,Dendrocygna javanica,TRUE,2024,LC,,,,CHORDATA,AVES,ANSERIFORMES,ANATIDAE,Yes,valid,175052,Dendrocygna javanica,CHORDATA,1,Anas javanica,AVES,ANSERIFORMES,ANATIDAE,,Yes,2498404,Dendrocygna javanica,,,CHORDATA,ACCEPTED,AVES,ANSERIFORMES,ANATIDAE
Dendrocygna viduata,8876,Dendrocygna viduata,host,species,Dendrocygna,ANATIDAE,ANSERIFORMES,AVES,CHORDATA,Dendrocygna viduata,Dendrocygna viduata; Anas viduata,Dendrocygna viduata,Dendrocygna viduata,Yes,22679763,Dendrocygna viduata,TRUE,2024,LC,,,,CHORDATA,AVES,ANSERIFORMES,ANATIDAE,Yes,valid,175053,Dendrocygna viduata,CHORDATA,1,Anas viduata,AVES,ANSERIFORMES,ANATIDAE,,Yes,2498396,Dendrocygna viduata,,,CHORDATA,ACCEPTED,AVES,ANSERIFORMES,ANATIDAE
