combined_pathogen,combined_disease_name,efsa_pathogen,efsa_pathogen_clean,efsa_abbreviation,vector_species,vector_group,vector_status,field_results,laboratory_results,vn_database_species,vn_priority_species,source,match_method,match_confidence,review_needed,vector_species_raw,vector_group_raw,vector_status_raw,field_results_raw,laboratory_results_raw
Phlebovirus riftense,Rift Valley fever,Rift Valley fever virus,rift valley fever virus,RVFV,Culex zombaensis,mosquito,potential,,positive,no,no,EFSA Appendix G,exact_disease,exact,FALSE,Culex zombaensis,M,Potential,,Positive
Phlebovirus riftense,Rift Valley fever,Rift Valley fever virus,rift valley fever virus,RVFV,Culiseta inornata,mosquito,potential,,positive,no,no,EFSA Appendix G,exact_disease,exact,FALSE,Culiseta inornata,M,Potential,,Positive
,,Schmallenberg virus,schmallenberg virus,SBV,Culicoides obsoletus,biting_midge,potential,,positive,yes,yes,EFSA Appendix G,unmatched,unmatched,TRUE,Culicoides obsoletus,BM,Potential,,Positive
,,Schmallenberg virus,schmallenberg virus,SBV,Culicoides obsoletus complex,biting_midge,highly_likely,positive,positive,yes,yes,EFSA Appendix G,unmatched,unmatched,TRUE,Culicoides obsoletus complex,BM,Highly likely,Positive,Positive
,,Schmallenberg virus,schmallenberg virus,SBV,Culicoides obsoletus group,biting_midge,potential,positive,,yes,no,EFSA Appendix G,unmatched,unmatched,TRUE,Culicoides obsoletus group,BM,Potential,Positive,
,,Schmallenberg virus,schmallenberg virus,SBV,Culicoides pulicaris,biting_midge,potential,positive,,yes,yes,EFSA Appendix G,unmatched,unmatched,TRUE,Culicoides pulicaris,BM,Potential,Positive,
,,Schmallenberg virus,schmallenberg virus,SBV,Culicoides sonorensis,biting_midge,potential,,positive,no,no,EFSA Appendix G,unmatched,unmatched,TRUE,Culicoides sonorensis,BM,Potential,,Positive
,,Schmallenberg virus,schmallenberg virus,SBV,Culicoides chiopterus,biting_midge,potential,positive,,yes,yes,EFSA Appendix G,unmatched,unmatched,TRUE,Culicoides chiopterus,BM,Potential,Positive,
,,Schmallenberg virus,schmallenberg virus,SBV,Culicoides imicola,biting_midge,potential,,positive,yes,yes,EFSA Appendix G,unmatched,unmatched,TRUE,Culicoides imicola,BM,Potential,,Positive
,,Schmallenberg virus,schmallenberg virus,SBV,Culicoides nubeculosus,biting_midge,potential,positive,,yes,no,EFSA Appendix G,unmatched,unmatched,TRUE,Culicoides nubeculosus,BM,Potential,Positive,
,,St. Louis encephalitis virus,st louis encephalitis virus,SLEV,Culex interfor,mosquito,potential,,positive,no,no,EFSA Appendix G,unmatched,unmatched,TRUE,Culex interfor,M,Potential,,Positive
,,St. Louis encephalitis virus,st louis encephalitis virus,SLEV,Culex nigripalpus,mosquito,potential,,positive,no,no,EFSA Appendix G,unmatched,unmatched,TRUE,Culex nigripalpus,M,Potential,,Positive
,,St. Louis encephalitis virus,st louis encephalitis virus,SLEV,Culex pipiens,mosquito,potential,,positive,yes,yes,EFSA Appendix G,unmatched,unmatched,TRUE,Culex pipiens,M,Potential,,Positive
,,St. Louis encephalitis virus,st louis encephalitis virus,SLEV,Culex quinquefasciatus,mosquito,potential,,positive,no,no,EFSA Appendix G,unmatched,unmatched,TRUE,Culex quinquefasciatus,M,Potential,,Positive
,,St. Louis encephalitis virus,st louis encephalitis virus,SLEV,Culex saltanensis,mosquito,potential,,positive,no,no,EFSA Appendix G,unmatched,unmatched,TRUE,Culex saltanensis,M,Potential,,Positive
,,St. Louis encephalitis virus,st louis encephalitis virus,SLEV,Culex stigmatosoma,mosquito,potential,,positive,no,no,EFSA Appendix G,unmatched,unmatched,TRUE,Culex stigmatosoma,M,Potential,,Positive
