pathogen,pathogen_raw_examples,pathogen_tax_id,pheic_risk,disease_name,disease_name_raw_examples,host_tax_id,host,pathogen_class,pathogen_order,pathogen_family,pathogen_genus,host_phylum,host_class,host_family,host_order,detection_method,main_source,pathogen_type,is_zoonotic,zoonotic_status,canonicalization_status,pathogen_raw,disease_name_raw,pathogen_family_raw,pathogen_genus_raw,pathogen_type_raw,pathogen_clean,disease_name_clean,pathogen_family_clean,pathogen_genus_clean,pathogen_type_clean
Orthobornavirus bornaense,Orthobornavirus bornaense,1714619,Low,Borna disease (encephalitis),Borna disease (encephalitis),52631,crocidura suaveolens,monjiviricetes,mononegavirales,bornaviridae,orthobornavirus,,,,,PCR/Sequencing,VIRION,virus,TRUE,zoonotic,identity,Orthobornavirus bornaense,Borna disease (encephalitis),bornaviridae,orthobornavirus,virus,orthobornavirus bornaense,borna disease encephalitis,bornaviridae,orthobornavirus,virus
Alphavirus chikungunya,Alphavirus chikungunya,3426298,High,Chikungunya fever,Chikungunya fever,9417,Artibeus jamaicensis,alsuviricetes,martellivirales,togaviridae,alphavirus,chordata,mammalia,phyllostomidae,chiroptera,PCR/Sequencing,VIRION,virus,TRUE,zoonotic,identity,Alphavirus chikungunya,Chikungunya fever,togaviridae,alphavirus,virus,alphavirus chikungunya,chikungunya fever,togaviridae,alphavirus,virus
Alphavirus chikungunya,Alphavirus chikungunya,37124,High,Chikungunya fever,Chikungunya fever,36223,Cercopithecus ascanius,alsuviricetes,martellivirales,togaviridae,alphavirus,chordata,mammalia,cercopithecidae,primates,Antibodies; Not specified,VIRION,virus,TRUE,zoonotic,identity,Alphavirus chikungunya,Chikungunya fever,togaviridae,alphavirus,virus,alphavirus chikungunya,chikungunya fever,togaviridae,alphavirus,virus
Alphavirus chikungunya,Alphavirus chikungunya,37124,High,Chikungunya fever,Chikungunya fever,9534,Chlorocebus aethiops,alsuviricetes,martellivirales,togaviridae,alphavirus,chordata,mammalia,cercopithecidae,primates,Isolation/Observation; Not specified,VIRION,virus,TRUE,zoonotic,identity,Alphavirus chikungunya,Chikungunya fever,togaviridae,alphavirus,virus,alphavirus chikungunya,chikungunya fever,togaviridae,alphavirus,virus
Alphavirus chikungunya,Alphavirus chikungunya,3426298,High,Chikungunya fever,Chikungunya fever,40229,Dermanura phaeotis,alsuviricetes,martellivirales,togaviridae,alphavirus,chordata,mammalia,phyllostomidae,chiroptera,PCR/Sequencing,VIRION,virus,TRUE,zoonotic,identity,Alphavirus chikungunya,Chikungunya fever,togaviridae,alphavirus,virus,alphavirus chikungunya,chikungunya fever,togaviridae,alphavirus,virus
Alphavirus chikungunya,Alphavirus chikungunya,37124,High,Chikungunya fever,Chikungunya fever,9538,Erythrocebus patas,alsuviricetes,martellivirales,togaviridae,alphavirus,chordata,mammalia,cercopithecidae,primates,Isolation/Observation,VIRION,virus,TRUE,zoonotic,identity,Alphavirus chikungunya,Chikungunya fever,togaviridae,alphavirus,virus,alphavirus chikungunya,chikungunya fever,togaviridae,alphavirus,virus
Alphavirus chikungunya,Alphavirus chikungunya,3426298,High,Chikungunya fever,Chikungunya fever,2994998,Glossophaga mutica,alsuviricetes,martellivirales,togaviridae,alphavirus,,,,,PCR/Sequencing,VIRION,virus,TRUE,zoonotic,identity,Alphavirus chikungunya,Chikungunya fever,togaviridae,alphavirus,virus,alphavirus chikungunya,chikungunya fever,togaviridae,alphavirus,virus
Alphavirus chikungunya,Alphavirus chikungunya,37124,High,Chikungunya fever,Chikungunya fever,9593,Gorilla gorilla,alsuviricetes,martellivirales,togaviridae,alphavirus,chordata,mammalia,hominidae,primates,Antibodies,VIRION,virus,TRUE,zoonotic,identity,Alphavirus chikungunya,Chikungunya fever,togaviridae,alphavirus,virus,alphavirus chikungunya,chikungunya fever,togaviridae,alphavirus,virus
Alphavirus chikungunya,Alphavirus chikungunya,37124,High,Chikungunya fever,Chikungunya fever,302402,Hipposideros caffer,alsuviricetes,martellivirales,togaviridae,alphavirus,chordata,mammalia,hipposideridae,chiroptera,Isolation/Observation,VIRION,virus,TRUE,zoonotic,identity,Alphavirus chikungunya,Chikungunya fever,togaviridae,alphavirus,virus,alphavirus chikungunya,chikungunya fever,togaviridae,alphavirus,virus
Alphavirus chikungunya,Alphavirus chikungunya,37124,High,Chikungunya fever,Chikungunya fever,9606,Homo sapiens,alsuviricetes,martellivirales,togaviridae,alphavirus,,,,,Isolation/Observation; Not specified; PCR/Sequencing,VIRION,virus,TRUE,zoonotic,identity,Alphavirus chikungunya,Chikungunya fever,togaviridae,alphavirus,virus,alphavirus chikungunya,chikungunya fever,togaviridae,alphavirus,virus
