efsa_pathogen_raw,vector_species_raw,vector_group_raw,vector_status_raw,field_results_raw,laboratory_results_raw,vn_database_species_raw,vn_priority_species_raw,efsa_pathogen_standardized,efsa_pathogen_clean,vector_species,vector_species_clean,vector_group,vector_status,field_results,laboratory_results,vn_database_species,vn_priority_species,efsa_pathogen_id,alias_source,alias_raw,alias_disease_candidate,alias_disease_candidate_clean,appendix_a_alias_match_count,abbreviation,species_name,isolate_virus_name,pathogen_family,pathogen_genus,oie_notifiable,appendix_a_match_status
Epizootic hemorrhagic disease virus,Culicoldes obsoletus s.l.,BM,Potential,,Positive,YES,YES,Epizootic hemorrhagic disease virus,epizootic hemorrhagic disease virus,Culicoldes obsoletus s.l.,culicoldes obsoletus s l,biting_midge,potential,,positive,yes,yes,efsa_ehdv_ibav,species_name,Epizootic hemorrhagic disease virus,Epizootic hemorrhagic disease,epizootic hemorrhagic disease,1,EHDV/IBAV,Epizootic hemorrhagic disease virus,"Epizootic hemorrhagic disease virus, Ibaraki virus",Reoviridae,Orbivirus,yes,matched_to_appendix_a
Epizootic hemorrhagic disease virus,Culicoldes scoticus,BM,Potential,,Positive,YES,YES,Epizootic hemorrhagic disease virus,epizootic hemorrhagic disease virus,Culicoldes scoticus,culicoldes scoticus,biting_midge,potential,,positive,yes,yes,efsa_ehdv_ibav,species_name,Epizootic hemorrhagic disease virus,Epizootic hemorrhagic disease,epizootic hemorrhagic disease,1,EHDV/IBAV,Epizootic hemorrhagic disease virus,"Epizootic hemorrhagic disease virus, Ibaraki virus",Reoviridae,Orbivirus,yes,matched_to_appendix_a
Epizootic hemorrhagic disease virus,Culicoldes sonorensis,BM,Potential,,Positive,NO,NO,Epizootic hemorrhagic disease virus,epizootic hemorrhagic disease virus,Culicoldes sonorensis,culicoldes sonorensis,biting_midge,potential,,positive,no,no,efsa_ehdv_ibav,species_name,Epizootic hemorrhagic disease virus,Epizootic hemorrhagic disease,epizootic hemorrhagic disease,1,EHDV/IBAV,Epizootic hemorrhagic disease virus,"Epizootic hemorrhagic disease virus, Ibaraki virus",Reoviridae,Orbivirus,yes,matched_to_appendix_a
Getah virus,Aedes vexans nipponii,M,Potential,,Positive,YES,YES,Getah virus,getah virus,Aedes vexans nipponii,aedes vexans nipponii,mosquito,potential,,positive,yes,yes,efsa_getv,species_name,Getah virus,Getah,getah,1,GETV,Getah virus,Getah virus,Togaviridae,Alphavirus,no,matched_to_appendix_a
Getah virus,Anopheles sinensis,M,Potential,Positive,,NO,NO,Getah virus,getah virus,Anopheles sinensis,anopheles sinensis,mosquito,potential,positive,,no,no,efsa_getv,species_name,Getah virus,Getah,getah,1,GETV,Getah virus,Getah virus,Togaviridae,Alphavirus,no,matched_to_appendix_a
Getah virus,Culex tritaeniorhynchus,M,Highly likely,Positive,Positive,YES,YES,Getah virus,getah virus,Culex tritaeniorhynchus,culex tritaeniorhynchus,mosquito,highly_likely,positive,positive,yes,yes,efsa_getv,species_name,Getah virus,Getah,getah,1,GETV,Getah virus,Getah virus,Togaviridae,Alphavirus,no,matched_to_appendix_a
Hepatozoon canis,Rhipicephalus sanguineus,T,Potential,Positive,,YES,YES,Hepatozoon canis,hepatozoon canis,Rhipicephalus sanguineus,rhipicephalus sanguineus,tick,potential,positive,,yes,yes,efsa_hepat,species_name,Hepatozoon canis,Hepatozoon canis,hepatozoon canis,1,hepat,Hepatozoon canis,Hepatozoon canis,Hepatozoidae,Hepatozoidae,no,matched_to_appendix_a
Highlands J virus,Culex tarsalis,M,Potential,,Positive,NO,NO,Highlands J virus,highlands j virus,Culex tarsalis,culex tarsalis,mosquito,potential,,positive,no,no,efsa_hjv,species_name,Highlands J virus,Highlands J,highlands j,1,HJV,Highlands J virus,Highland J virus,Togaviridae,Alphavirus,no,matched_to_appendix_a
Japanese encephalitis virus,Aedes aegypti,M,Potential,,Positive,YES,YES,Japanese encephalitis virus,japanese encephalitis virus,Aedes aegypti,aedes aegypti,mosquito,potential,,positive,yes,yes,efsa_jev,species_name,Japanese encephalitis virus,Japanese encephalitis,japanese encephalitis,1,JEV,Japanese encephalitis virus,Japanese encephalitis virus,Flaviviridae,Flavivirus,yes,matched_to_appendix_a
Japanese encephalitis virus,Aedes albopictus,M,Potential,,Positive,YES,YES,Japanese encephalitis virus,japanese encephalitis virus,Aedes albopictus,aedes albopictus,mosquito,potential,,positive,yes,yes,efsa_jev,species_name,Japanese encephalitis virus,Japanese encephalitis,japanese encephalitis,1,JEV,Japanese encephalitis virus,Japanese encephalitis virus,Flaviviridae,Flavivirus,yes,matched_to_appendix_a
Japanese encephalitis virus,Aedes japonicus,M,Potential,,Positive,YES,YES,Japanese encephalitis virus,japanese encephalitis virus,Aedes japonicus,aedes japonicus,mosquito,potential,,positive,yes,yes,efsa_jev,species_name,Japanese encephalitis virus,Japanese encephalitis,japanese encephalitis,1,JEV,Japanese encephalitis virus,Japanese encephalitis virus,Flaviviridae,Flavivirus,yes,matched_to_appendix_a
Japanese encephalitis virus,Aedes notoscriptus,M,Potential,,Positive,NO,NO,Japanese encephalitis virus,japanese encephalitis virus,Aedes notoscriptus,aedes notoscriptus,mosquito,potential,,positive,no,no,efsa_jev,species_name,Japanese encephalitis virus,Japanese encephalitis,japanese encephalitis,1,JEV,Japanese encephalitis virus,Japanese encephalitis virus,Flaviviridae,Flavivirus,yes,matched_to_appendix_a
Japanese encephalitis virus,Aedes purpureus,M,Potential,,Positive,NO,NO,Japanese encephalitis virus,japanese encephalitis virus,Aedes purpureus,aedes purpureus,mosquito,potential,,positive,no,no,efsa_jev,species_name,Japanese encephalitis virus,Japanese encephalitis,japanese encephalitis,1,JEV,Japanese encephalitis virus,Japanese encephalitis virus,Flaviviridae,Flavivirus,yes,matched_to_appendix_a
Japanese encephalitis virus,Aedes vigilax,M,Potential,Positive,,NO,NO,Japanese encephalitis virus,japanese encephalitis virus,Aedes vigilax,aedes vigilax,mosquito,potential,positive,,no,no,efsa_jev,species_name,Japanese encephalitis virus,Japanese encephalitis,japanese encephalitis,1,JEV,Japanese encephalitis virus,Japanese encephalitis virus,Flaviviridae,Flavivirus,yes,matched_to_appendix_a
Japanese encephalitis virus,Anopheles sinensis,M,Potential,Positive,,NO,NO,Japanese encephalitis virus,japanese encephalitis virus,Anopheles sinensis,anopheles sinensis,mosquito,potential,positive,,no,no,efsa_jev,species_name,Japanese encephalitis virus,Japanese encephalitis,japanese encephalitis,1,JEV,Japanese encephalitis virus,Japanese encephalitis virus,Flaviviridae,Flavivirus,yes,matched_to_appendix_a
Japanese encephalitis virus,Culex annulirostris,M,Potential,,Positive,NO,NO,Japanese encephalitis virus,japanese encephalitis virus,Culex annulirostris,culex annulirostris,mosquito,potential,,positive,no,no,efsa_jev,species_name,Japanese encephalitis virus,Japanese encephalitis,japanese encephalitis,1,JEV,Japanese encephalitis virus,Japanese encephalitis virus,Flaviviridae,Flavivirus,yes,matched_to_appendix_a
Japanese encephalitis virus,Culex annulus,M,Potential,Positive,,NO,NO,Japanese encephalitis virus,japanese encephalitis virus,Culex annulus,culex annulus,mosquito,potential,positive,,no,no,efsa_jev,species_name,Japanese encephalitis virus,Japanese encephalitis,japanese encephalitis,1,JEV,Japanese encephalitis virus,Japanese encephalitis virus,Flaviviridae,Flavivirus,yes,matched_to_appendix_a
Japanese encephalitis virus,Culex gelidus,M,Potential,,Positive,NO,NO,Japanese encephalitis virus,japanese encephalitis virus,Culex gelidus,culex gelidus,mosquito,potential,,positive,no,no,efsa_jev,species_name,Japanese encephalitis virus,Japanese encephalitis,japanese encephalitis,1,JEV,Japanese encephalitis virus,Japanese encephalitis virus,Flaviviridae,Flavivirus,yes,matched_to_appendix_a
Japanese encephalitis virus,Culex pipiens,M,Highly likely,Positive,Positive,YES,YES,Japanese encephalitis virus,japanese encephalitis virus,Culex pipiens,culex pipiens,mosquito,highly_likely,positive,positive,yes,yes,efsa_jev,species_name,Japanese encephalitis virus,Japanese encephalitis,japanese encephalitis,1,JEV,Japanese encephalitis virus,Japanese encephalitis virus,Flaviviridae,Flavivirus,yes,matched_to_appendix_a
