disease_name,disease_name_clean,pathogen,pathogen_tax_id,pathogen_type,pathogen_family,pathogen_genus,pheic_risk,host,host_tax_id,host_class,host_order,host_family,detection_method,main_source,vector_species,vector_group,evidence_strength,vector_evidence_basis,vector_record_sources,vector_supporting_row_count,assignment_basis,host_vector_species,vector_taxon_rank,vector_species_needs_review,vector_host_record_count,vector_name_taxonomy_examples,source_platform_examples,source_dataset_examples,interaction_type_examples,country_examples,review_reason_examples,vector_join_key,link_type,vector_join_match_type,taxonomy_caution
Crimean-Congo hemorrhagic fever,Crimean-Congo hemorrhagic fever,Orthonairovirus haemorrhagiae,3052518,virus,nairoviridae,orthonairovirus,High,Bos taurus,9913,mammalia,artiodactyla,bovidae,Isolation/Observation; Not specified; PCR/Sequencing,VIRION,Hyalomma anatolicum,tick,confirmed,review,EFSA; lit_review,8,disease_level_inherited,Hyalomma anatolicum,species,FALSE,12,Hyalomma anatolicum,VectorMap,TickMap,on_host_occurrence,Libyan Arab Jamahiriya; Sudan,,hyalomma anatolicum,pathogen_host_vector_derived,exact_normalized_vector_name,FALSE
Crimean-Congo hemorrhagic fever,Crimean-Congo hemorrhagic fever,Orthonairovirus haemorrhagiae,3052518,virus,nairoviridae,orthonairovirus,High,Bos taurus,9913,mammalia,artiodactyla,bovidae,Isolation/Observation; Not specified; PCR/Sequencing,VIRION,Hyalomma dromedarii,tick,confirmed,review,lit_review,6,disease_level_inherited,Hyalomma dromedarii,species,FALSE,18,Hyalomma dromedarii,VectorMap,TickMap,on_host_occurrence,Chad; Kenya; Mali; Mauritania; Morocco; Sudan,,hyalomma dromedarii,pathogen_host_vector_derived,exact_normalized_vector_name,FALSE
Crimean-Congo hemorrhagic fever,Crimean-Congo hemorrhagic fever,Orthonairovirus haemorrhagiae,3052518,virus,nairoviridae,orthonairovirus,High,Bos taurus,9913,mammalia,artiodactyla,bovidae,Isolation/Observation; Not specified; PCR/Sequencing,VIRION,Hyalomma excavatum,tick,confirmed,review,lit_review,5,disease_level_inherited,Hyalomma excavatum,species,FALSE,17,Hyalomma excavatum,VectorMap,TickMap,on_host_occurrence,Algeria; Libyan Arab Jamahiriya; Morocco,,hyalomma excavatum,pathogen_host_vector_derived,exact_normalized_vector_name,FALSE
Crimean-Congo hemorrhagic fever,Crimean-Congo hemorrhagic fever,Orthonairovirus haemorrhagiae,3052518,virus,nairoviridae,orthonairovirus,High,Bos taurus,9913,mammalia,artiodactyla,bovidae,Isolation/Observation; Not specified; PCR/Sequencing,VIRION,Hyalomma impeltatum,tick,confirmed,review,lit_review,6,disease_level_inherited,Hyalomma impeltatum,species,FALSE,36,Hyalomma impeltatum,VectorMap,TickMap,on_host_occurrence,"Algeria; Cameroon; Chad; Cote D'Ivoire; Mali; Mauritania; Morocco; Niger; Nigeria; Sudan; Tanzania, United Republic of",,hyalomma impeltatum,pathogen_host_vector_derived,exact_normalized_vector_name,FALSE
Crimean-Congo hemorrhagic fever,Crimean-Congo hemorrhagic fever,Orthonairovirus haemorrhagiae,3052518,virus,nairoviridae,orthonairovirus,High,Bos taurus,9913,mammalia,artiodactyla,bovidae,Isolation/Observation; Not specified; PCR/Sequencing,VIRION,Hyalomma impressum,tick,probable,review,lit_review,2,disease_level_inherited,Hyalomma impressum,species,FALSE,17,Hyalomma impressum,VectorMap,TickMap,on_host_occurrence,"Cameroon; Congo, The Democratic Republic of The; Cote D'Ivoire; Mali; Senegal; South Africa; Sudan",,hyalomma impressum,pathogen_host_vector_derived,exact_normalized_vector_name,FALSE
Crimean-Congo hemorrhagic fever,Crimean-Congo hemorrhagic fever,Orthonairovirus haemorrhagiae,3052518,virus,nairoviridae,orthonairovirus,High,Bos taurus,9913,mammalia,artiodactyla,bovidae,Isolation/Observation; Not specified; PCR/Sequencing,VIRION,Hyalomma lusitanicum,tick,probable,review,lit_review,3,disease_level_inherited,Hyalomma lusitanicum,species,FALSE,4,Hyalomma lusitanicum,VectorMap,TickMap,on_host_occurrence,Morocco,,hyalomma lusitanicum,pathogen_host_vector_derived,exact_normalized_vector_name,FALSE
Crimean-Congo hemorrhagic fever,Crimean-Congo hemorrhagic fever,Orthonairovirus haemorrhagiae,3052518,virus,nairoviridae,orthonairovirus,High,Bos taurus,9913,mammalia,artiodactyla,bovidae,Isolation/Observation; Not specified; PCR/Sequencing,VIRION,Hyalomma marginatum,tick,confirmed,review,EFSA; lit_review,11,disease_level_inherited,Hyalomma marginatum,species,FALSE,68,Hyalomma marginatum,VectorMap,TickMap,on_host_occurrence,Algeria; Georgia; Kenya; Morocco; Sudan,,hyalomma marginatum,pathogen_host_vector_derived,exact_normalized_vector_name,FALSE
Crimean-Congo hemorrhagic fever,Crimean-Congo hemorrhagic fever,Orthonairovirus haemorrhagiae,3052518,virus,nairoviridae,orthonairovirus,High,Bos taurus,9913,mammalia,artiodactyla,bovidae,Isolation/Observation; Not specified; PCR/Sequencing,VIRION,Hyalomma rufipes,tick,confirmed,review,lit_review,9,disease_level_inherited,Hyalomma rufipes,species,FALSE,235,Hyalomma rufipes,VectorMap,TickMap,on_host_occurrence,"Angola; Botswana; Burkina Faso; Cameroon; Central African Republic; Congo, The Democratic Republic of The; Cote D'Ivoire; Gambia; Ghana; Kenya; Mali; Namibia; Nigeria; Senegal; South Africa; Sudan; Tanzania, United Republic of; Zambia; Zimbabwe",,hyalomma rufipes,pathogen_host_vector_derived,exact_normalized_vector_name,FALSE
Crimean-Congo hemorrhagic fever,Crimean-Congo hemorrhagic fever,Orthonairovirus haemorrhagiae,3052518,virus,nairoviridae,orthonairovirus,High,Bos taurus,9913,mammalia,artiodactyla,bovidae,Isolation/Observation; Not specified; PCR/Sequencing,VIRION,Hyalomma scupense,tick,probable,review,lit_review,4,disease_level_inherited,Hyalomma scupense,species,FALSE,12,Hyalomma scupense,VectorMap,TickMap,on_host_occurrence,Algeria; Georgia; Morocco; Sudan,,hyalomma scupense,pathogen_host_vector_derived,exact_normalized_vector_name,FALSE
Crimean-Congo hemorrhagic fever,Crimean-Congo hemorrhagic fever,Orthonairovirus haemorrhagiae,3052518,virus,nairoviridae,orthonairovirus,High,Bos taurus,9913,mammalia,artiodactyla,bovidae,Isolation/Observation; Not specified; PCR/Sequencing,VIRION,Hyalomma truncatum,tick,confirmed,review,lit_review,7,disease_level_inherited,Hyalomma truncatum,species,FALSE,293,Hyalomma truncatum,VectorMap,TickMap,on_host_occurrence,"Botswana; Burkina Faso; Cameroon; Central African Republic; Congo, The Democratic Republic of The; Cote D'Ivoire; Gambia; Ghana; Kenya; Malawi; Mali; Namibia; Nigeria; Senegal; South Africa; Sudan; Zambia; Zimbabwe",,hyalomma truncatum,pathogen_host_vector_derived,exact_normalized_vector_name,FALSE
