disease_name,disease_name_clean,host,host_tax_id,host_class,host_order,host_family,pathogen_count_in_disease_host_network,pathogen_examples,detection_method_examples,main_source_examples,vector_species,vector_group,best_evidence_level,best_evidence_basis,record_sources,supporting_row_count,disease_vector_taxon_rank,disease_vector_review_needed,host_vector_species,vector_taxon_rank,vector_species_needs_review,vector_host_record_count,vector_name_taxonomy_examples,source_platform_examples,source_dataset_examples,interaction_type_examples,country_examples,review_reason_examples,vector_join_key,link_type,vector_join_match_type,taxonomy_caution
Crimean-Congo hemorrhagic fever,crimean congo hemorrhagic fever,Bos taurus,9913,mammalia,artiodactyla,bovidae,1,Orthonairovirus haemorrhagiae,Isolation/Observation; Not specified; PCR/Sequencing,VIRION,hyalomma rufipes,tick,confirmed,review,lit_review,9,species,FALSE,Hyalomma rufipes,species,FALSE,235,Hyalomma rufipes,VectorMap,TickMap,on_host_occurrence,"Angola; Botswana; Burkina Faso; Cameroon; Central African Republic; Congo, The Democratic Republic of The; Cote D'Ivoire; Gambia; Ghana; Kenya; Mali; Namibia; Nigeria; Senegal; South Africa; Sudan; Tanzania, United Republic of; Zambia; Zimbabwe",,hyalomma rufipes,disease_host_vector_derived,exact_normalized_vector_name,FALSE
Crimean-Congo hemorrhagic fever,crimean congo hemorrhagic fever,Bos taurus,9913,mammalia,artiodactyla,bovidae,1,Orthonairovirus haemorrhagiae,Isolation/Observation; Not specified; PCR/Sequencing,VIRION,hyalomma scupense,tick,probable,review,lit_review,4,species,FALSE,Hyalomma scupense,species,FALSE,12,Hyalomma scupense,VectorMap,TickMap,on_host_occurrence,Algeria; Georgia; Morocco; Sudan,,hyalomma scupense,disease_host_vector_derived,exact_normalized_vector_name,FALSE
Crimean-Congo hemorrhagic fever,crimean congo hemorrhagic fever,Bos taurus,9913,mammalia,artiodactyla,bovidae,1,Orthonairovirus haemorrhagiae,Isolation/Observation; Not specified; PCR/Sequencing,VIRION,hyalomma truncatum,tick,confirmed,review,lit_review,7,species,FALSE,Hyalomma truncatum,species,FALSE,293,Hyalomma truncatum,VectorMap,TickMap,on_host_occurrence,"Botswana; Burkina Faso; Cameroon; Central African Republic; Congo, The Democratic Republic of The; Cote D'Ivoire; Gambia; Ghana; Kenya; Malawi; Mali; Namibia; Nigeria; Senegal; South Africa; Sudan; Zambia; Zimbabwe",,hyalomma truncatum,disease_host_vector_derived,exact_normalized_vector_name,FALSE
Crimean-Congo hemorrhagic fever,crimean congo hemorrhagic fever,Bos taurus,9913,mammalia,artiodactyla,bovidae,1,Orthonairovirus haemorrhagiae,Isolation/Observation; Not specified; PCR/Sequencing,VIRION,ixodes ricinus,tick,candidate,review,lit_review,4,species,FALSE,Ixodes ricinus,species,FALSE,35,Ixodes ricinus,VectorMap,TickMap,on_host_occurrence,Algeria; Georgia,,ixodes ricinus,disease_host_vector_derived,exact_normalized_vector_name,FALSE
Crimean-Congo hemorrhagic fever,crimean congo hemorrhagic fever,Bos taurus,9913,mammalia,artiodactyla,bovidae,1,Orthonairovirus haemorrhagiae,Isolation/Observation; Not specified; PCR/Sequencing,VIRION,rhipicephalus annulatus,tick,candidate,review,lit_review,3,species,FALSE,Rhipicephalus annulatus,species,FALSE,220,Rhipicephalus annulatus,VectorMap,TickMap,on_host_occurrence,"Algeria; Cameroon; Central African Republic; Chad; Congo, The Democratic Republic of The; Cote D'Ivoire; Egypt; Georgia; Ghana; Kenya; Mali; Morocco; Nigeria; Sudan; Turkey; United States of America",,rhipicephalus annulatus,disease_host_vector_derived,exact_normalized_vector_name,FALSE
Crimean-Congo hemorrhagic fever,crimean congo hemorrhagic fever,Bos taurus,9913,mammalia,artiodactyla,bovidae,1,Orthonairovirus haemorrhagiae,Isolation/Observation; Not specified; PCR/Sequencing,VIRION,rhipicephalus appendiculatus,tick,candidate,review,lit_review,2,species,FALSE,Rhipicephalus appendiculatus,species,FALSE,183,Rhipicephalus appendiculatus,VectorMap,TickMap,on_host_occurrence,"Burundi; Central African Republic; Congo, The Democratic Republic of The; Kenya; Malawi; Mozambique; Rwanda; Sierra Leone; South Africa; Sudan; Tanzania, United Republic of; Uganda; Zambia; Zimbabwe",,rhipicephalus appendiculatus,disease_host_vector_derived,exact_normalized_vector_name,FALSE
Crimean-Congo hemorrhagic fever,crimean congo hemorrhagic fever,Bos taurus,9913,mammalia,artiodactyla,bovidae,1,Orthonairovirus haemorrhagiae,Isolation/Observation; Not specified; PCR/Sequencing,VIRION,rhipicephalus bursa,tick,confirmed,review,lit_review,4,species,FALSE,Rhipicephalus bursa,species,FALSE,29,Rhipicephalus bursa,VectorMap,TickMap,on_host_occurrence,Algeria; Georgia; Morocco,,rhipicephalus bursa,disease_host_vector_derived,exact_normalized_vector_name,FALSE
Crimean-Congo hemorrhagic fever,crimean congo hemorrhagic fever,Bos taurus,9913,mammalia,artiodactyla,bovidae,1,Orthonairovirus haemorrhagiae,Isolation/Observation; Not specified; PCR/Sequencing,VIRION,rhipicephalus decoloratus,tick,candidate,review,lit_review,1,species,FALSE,Rhipicephalus decoloratus,species,FALSE,254,Rhipicephalus decoloratus,VectorMap,TickMap,on_host_occurrence,"Angola; Burkina Faso; Burundi; Cameroon; Congo; Congo, The Democratic Republic of The; Cote D'Ivoire; Gambia; Ghana; Guinea; Kenya; Mali; Mozambique; Namibia; Nigeria; Rwanda; Senegal; South Africa; Sudan; Tanzania, United Republic of; Uganda; Zambia",,rhipicephalus decoloratus,disease_host_vector_derived,exact_normalized_vector_name,FALSE
Crimean-Congo hemorrhagic fever,crimean congo hemorrhagic fever,Bos taurus,9913,mammalia,artiodactyla,bovidae,1,Orthonairovirus haemorrhagiae,Isolation/Observation; Not specified; PCR/Sequencing,VIRION,rhipicephalus evertsi,tick,candidate,review,lit_review,4,species,FALSE,Rhipicephalus evertsi,mixed,TRUE,141,Rhipicephalus evertsi; Rhipicephalus evertsi evertsi; Rhipicephalus evertsi mimeticus,VectorMap,TickMap,on_host_occurrence,"Angola; Burkina Faso; Burundi; Cameroon; Central African Republic; Chad; Congo, The Democratic Republic of The; Ghana; Kenya; Mali; Mozambique; Namibia; Nigeria; Rwanda; Senegal; South Africa; Sudan; Tanzania, United Republic of; Uganda; Zambia; Zimbabwe",,rhipicephalus evertsi,disease_host_vector_derived,exact_normalized_vector_name,TRUE
Crimean-Congo hemorrhagic fever,crimean congo hemorrhagic fever,Bos taurus,9913,mammalia,artiodactyla,bovidae,1,Orthonairovirus haemorrhagiae,Isolation/Observation; Not specified; PCR/Sequencing,VIRION,rhipicephalus geigyi,tick,candidate,review,lit_review,1,species,FALSE,Rhipicephalus geigyi,species,FALSE,93,Rhipicephalus geigyi,VectorMap,TickMap,on_host_occurrence,Central African Republic; Cote D'Ivoire; Gambia; Mali; Nigeria; Senegal; Sierra Leone,,rhipicephalus geigyi,disease_host_vector_derived,exact_normalized_vector_name,FALSE
