disease,v_species,v_group,evidence_level,evidence_basis,location,source,notes,record_source
Crimean-Congo haemorrhagic fever,Hyalomma dromedarii,tick,candidate,review,Arab world,Perveen and Khan 2022,,lit_review
Crimean-Congo haemorrhagic fever,Hyalomma marginatum,tick,candidate,review,Arab world,Perveen and Khan 2022,,lit_review
Crimean-Congo haemorrhagic fever,Hyalomma rufipes,tick,candidate,review,Arab world,Perveen and Khan 2022,,lit_review
Crimean-Congo haemorrhagic fever,Hyalomma impeltatum,tick,candidate,review,Arab world,Perveen and Khan 2022,,lit_review
Crimean-Congo haemorrhagic fever,Haemaphysalis punctata,tick,candidate,review,Arab world,Perveen and Khan 2022,,lit_review
Crimean-Congo haemorrhagic fever,Amblyomma variegatum,tick,candidate,review,Arab world,Perveen and Khan 2022,,lit_review
Crimean-Congo haemorrhagic fever,Hyalomma truncatum,tick,candidate,review,Arab world,Perveen and Khan 2022,,lit_review
Crimean-Congo haemorrhagic fever,Hyalomma turanicum,tick,candidate,review,Arab world,Perveen and Khan 2022,,lit_review
Crimean-Congo haemorrhagic fever,Ixodes ricinus,tick,candidate,review,Arab world,Perveen and Khan 2022,,lit_review
Crimean-Congo haemorrhagic fever,Amblyomma lepidum,tick,candidate,review,Arab world,Perveen and Khan 2022,,lit_review
Crimean-Congo haemorrhagic fever,Hyalomma scupense,tick,candidate,review,Arab world,Perveen and Khan 2022,,lit_review
Crimean-Congo haemorrhagic fever,Hyalomma schulzei,tick,candidate,review,Arab world,Perveen and Khan 2022,,lit_review
Crimean-Congo haemorrhagic fever,Hyalomma onatoli,tick,candidate,review,Arab world,Perveen and Khan 2022,,lit_review
Crimean-Congo haemorrhagic fever,Rhipicephalus annulatus,tick,candidate,review,Arab world,Perveen and Khan 2022,,lit_review
Crimean-Congo haemorrhagic fever,Rhipicephalus evertsi,tick,candidate,review,Arab world,Perveen and Khan 2022,,lit_review
Crimean-Congo haemorrhagic fever,Rhipicephalus sanguineus,tick,candidate,review,Arab world,Perveen and Khan 2022,,lit_review
Crimean-Congo haemorrhagic fever,Rhipicephalus turanicus,tick,candidate,review,Arab world,Perveen and Khan 2022,,lit_review
Crimean-Congo haemorrhagic fever,Hyalomma marginatum,tick,confirmed,review,Asia; Africa; Eastern Europe,Shah et al. 2023 Table 1,principal vector,lit_review
Crimean-Congo haemorrhagic fever,Hyalomma marginatum,tick,confirmed,review,Middle East; Northern Africa; Southern Europe,Shahhosseini et al. 2021,main vector,lit_review
Crimean-Congo haemorrhagic fever,Hyalomma dromedarii,tick,candidate,review,Middle East; Northern Africa,Shahhosseini et al. 2021,,lit_review
Crimean-Congo haemorrhagic fever,Hyalomma rufipes,tick,candidate,review,Middle East; Africa,Shahhosseini et al. 2021,,lit_review
Crimean-Congo haemorrhagic fever,Hyalomma turanicum,tick,candidate,review,Asia; Africa,Shahhosseini et al. 2021,,lit_review
Crimean-Congo haemorrhagic fever,Hyalomma nitidum,tick,candidate,review,Central Africa,Shahhosseini et al. 2021,,lit_review
Crimean-Congo haemorrhagic fever,Hyalomma anatolicum,tick,candidate,review,Asia,Shahhosseini et al. 2021,,lit_review
Crimean-Congo haemorrhagic fever,Hyalomma asiaticum,tick,candidate,review,Asia,Shahhosseini et al. 2021,,lit_review
Crimean-Congo haemorrhagic fever,Hyalomma detritum,tick,candidate,review,Middle East; Africa,Shahhosseini et al. 2021,,lit_review
Crimean-Congo haemorrhagic fever,Hyalomma excavatum,tick,candidate,review,Africa; Middle East,Shahhosseini et al. 2021,,lit_review
Crimean-Congo haemorrhagic fever,Hyalomma truncatum,tick,candidate,review,Africa,Shahhosseini et al. 2021,,lit_review
Crimean-Congo haemorrhagic fever,Hyalomma schulzei,tick,candidate,review,Arabia peninsula,Shahhosseini et al. 2021,,lit_review
Crimean-Congo haemorrhagic fever,Hyalomma impeltatum,tick,candidate,review,Northern Africa; Arabian Peninsula,Shahhosseini et al. 2021,,lit_review
Crimean-Congo haemorrhagic fever,Hyalomma lusitanicum,tick,candidate,review,Africa; Spain,Shahhosseini et al. 2021,caveated,lit_review
Crimean-Congo haemorrhagic fever,Hyalomma isaaci,tick,candidate,review,Africa,Shahhosseini et al. 2021,,lit_review
Crimean-Congo haemorrhagic fever,Hyalomma impressum,tick,candidate,review,"Africa, Pakistan",Shahhosseini et al. 2021,,lit_review
Crimean-Congo haemorrhagic fever,Rhipicephalus sanguineus,tick,candidate,review,Asia,Shahhosseini et al. 2021,,lit_review
Crimean-Congo haemorrhagic fever,Rhipicephalus bursa,tick,candidate,review,Southeastern Europe; Middle East,Shahhosseini et al. 2021,,lit_review
Crimean-Congo haemorrhagic fever,Rhipicephalus annulatus,tick,candidate,review,Middle East; Central parts of Africa,Shahhosseini et al. 2021,,lit_review
Crimean-Congo haemorrhagic fever,Rhipicephalus turanicus,tick,candidate,review,Southern Europe; Asia,Shahhosseini et al. 2021,,lit_review
Crimean-Congo haemorrhagic fever,Rhipicephalus rossicus,tick,candidate,review,Caucasia; southern Russia,Shahhosseini et al. 2021,,lit_review
Crimean-Congo haemorrhagic fever,Rhipicephalus evertsi,tick,candidate,review,Sub-Saharan Africa,Shahhosseini et al. 2021,,lit_review
Crimean-Congo haemorrhagic fever,Rhipicephalus decoloratus,tick,candidate,review,Uganda,Shahhosseini et al. 2021,,lit_review
Crimean-Congo haemorrhagic fever,Rhipicephalus appendiculatus,tick,candidate,review,Iran,Shahhosseini et al. 2021,,lit_review
