disease,v_species,v_group,evidence_level,evidence_basis,location,source,notes,record_source,disease_name_clean,disease_name_stem,v_species_clean,v_group_clean,network_disease_name,alias_match_network_disease_name,alias_match_type,stem_match_network_disease_name,stem_match_type,matched_network_disease_name,disease_match_method
Crimean-Congo haemorrhagic fever,Hyalomma dromedarii,tick,candidate,review,,EFSA 2010,potential vector,lit_review,crimean congo hemorrhagic fever,crimean congo hemorrhagic,hyalomma dromedarii,tick,,Crimean-Congo hemorrhagic fever,disease_name_exact,Crimean-Congo hemorrhagic fever,disease_name_stem,Crimean-Congo hemorrhagic fever,alias_disease_name_exact
Crimean-Congo haemorrhagic fever,Hyalomma impeltatum,tick,probable,lab,,EFSA 2010,experimental transmission,lit_review,crimean congo hemorrhagic fever,crimean congo hemorrhagic,hyalomma impeltatum,tick,,Crimean-Congo hemorrhagic fever,disease_name_exact,Crimean-Congo hemorrhagic fever,disease_name_stem,Crimean-Congo hemorrhagic fever,alias_disease_name_exact
Crimean-Congo haemorrhagic fever,Ixodes ricinus,tick,weak,review,,EFSA 2010,not ascertained,lit_review,crimean congo hemorrhagic fever,crimean congo hemorrhagic,ixodes ricinus,tick,,Crimean-Congo hemorrhagic fever,disease_name_exact,Crimean-Congo hemorrhagic fever,disease_name_stem,Crimean-Congo hemorrhagic fever,alias_disease_name_exact
Crimean-Congo haemorrhagic fever,Dermacentor marginatus,tick,weak,review,,EFSA 2010,no conclusive studies,lit_review,crimean congo hemorrhagic fever,crimean congo hemorrhagic,dermacentor marginatus,tick,,Crimean-Congo hemorrhagic fever,disease_name_exact,Crimean-Congo hemorrhagic fever,disease_name_stem,Crimean-Congo hemorrhagic fever,alias_disease_name_exact
Crimean-Congo haemorrhagic fever,Rhipicephalus sanguineus,tick,candidate,review,,EFSA 2010,associated with CCHFV,lit_review,crimean congo hemorrhagic fever,crimean congo hemorrhagic,rhipicephalus sanguineus,tick,,Crimean-Congo hemorrhagic fever,disease_name_exact,Crimean-Congo hemorrhagic fever,disease_name_stem,Crimean-Congo hemorrhagic fever,alias_disease_name_exact
Crimean-Congo haemorrhagic fever,Rhipicephalus bursa,tick,probable,field,,EFSA 2010,putative vector,lit_review,crimean congo hemorrhagic fever,crimean congo hemorrhagic,rhipicephalus bursa,tick,,Crimean-Congo hemorrhagic fever,disease_name_exact,Crimean-Congo hemorrhagic fever,disease_name_stem,Crimean-Congo hemorrhagic fever,alias_disease_name_exact
Crimean-Congo haemorrhagic fever,Rhipicephalus rossicus,tick,candidate,review,,EFSA 2010,associated with CCHFV,lit_review,crimean congo hemorrhagic fever,crimean congo hemorrhagic,rhipicephalus rossicus,tick,,Crimean-Congo hemorrhagic fever,disease_name_exact,Crimean-Congo hemorrhagic fever,disease_name_stem,Crimean-Congo hemorrhagic fever,alias_disease_name_exact
Crimean-Congo haemorrhagic fever,Haemaphysalis punctata,tick,candidate,review,,EFSA 2010,associated with CCHFV,lit_review,crimean congo hemorrhagic fever,crimean congo hemorrhagic,haemaphysalis punctata,tick,,Crimean-Congo hemorrhagic fever,disease_name_exact,Crimean-Congo hemorrhagic fever,disease_name_stem,Crimean-Congo hemorrhagic fever,alias_disease_name_exact
Crimean-Congo haemorrhagic fever,Rhipicephalus pumilio,tick,candidate,review,,EFSA 2010,associated with CCHFV,lit_review,crimean congo hemorrhagic fever,crimean congo hemorrhagic,rhipicephalus pumilio,tick,,Crimean-Congo hemorrhagic fever,disease_name_exact,Crimean-Congo hemorrhagic fever,disease_name_stem,Crimean-Congo hemorrhagic fever,alias_disease_name_exact
Crimean-Congo haemorrhagic fever,Rhipicephalus turanicus,tick,candidate,review,,EFSA 2010,associated with CCHFV,lit_review,crimean congo hemorrhagic fever,crimean congo hemorrhagic,rhipicephalus turanicus,tick,,Crimean-Congo hemorrhagic fever,disease_name_exact,Crimean-Congo hemorrhagic fever,disease_name_stem,Crimean-Congo hemorrhagic fever,alias_disease_name_exact
Crimean-Congo haemorrhagic fever,Rhipicephalus evertsi,tick,candidate,lab,,EFSA 2010,experimental infection,lit_review,crimean congo hemorrhagic fever,crimean congo hemorrhagic,rhipicephalus evertsi,tick,,Crimean-Congo hemorrhagic fever,disease_name_exact,Crimean-Congo hemorrhagic fever,disease_name_stem,Crimean-Congo hemorrhagic fever,alias_disease_name_exact
Crimean-Congo haemorrhagic fever,Hyalomma marginatum,tick,confirmed,review,Eurasia,Estrada-Pena et al. 2012,principal vector,lit_review,crimean congo hemorrhagic fever,crimean congo hemorrhagic,hyalomma marginatum,tick,,Crimean-Congo hemorrhagic fever,disease_name_exact,Crimean-Congo hemorrhagic fever,disease_name_stem,Crimean-Congo hemorrhagic fever,alias_disease_name_exact
