efsa_pathogen_id,abbreviation,abbreviation_clean,species_name,species_name_clean,isolate_virus_name,isolate_virus_name_clean,efsa_pathogen_raw,efsa_pathogen_clean,efsa_disease_candidate,efsa_disease_candidate_clean,pathogen_family,pathogen_genus,oie_notifiable,oie_notifiable_raw
efsa_nsdv,NSDV,nsdv,Nairobi sheep disease virus,nairobi sheep disease virus,Nairobi sheep disease virus,nairobi sheep disease virus,Nairobi sheep disease virus,nairobi sheep disease virus,Nairobi sheep disease,nairobi sheep disease,Bunyaviridae,Nairovirus,yes,Yes
efsa_phsv,PHSV,phsv,Peruvian horse sickness virus,peruvian horse sickness virus,Peruvian horse sickness virus,peruvian horse sickness virus,Peruvian horse sickness virus,peruvian horse sickness virus,Peruvian horse sickness,peruvian horse sickness,Reoviridae,Orbivirus,no,No
efsa_rvfv,RVFV,rvfv,Rift Valley fever virus,rift valley fever virus,Rift Valley fever virus,rift valley fever virus,Rift Valley fever virus,rift valley fever virus,Rift Valley fever,rift valley fever,Bunyaviridae,Phlebovirus,yes,Yes
efsa_sbv,SBV,sbv,Schmallenberg virus,schmallenberg virus,Schmallenberg virus,schmallenberg virus,Schmallenberg virus,schmallenberg virus,Schmallenberg,schmallenberg,Bunyaviridae,Orthobunyavirus,yes,Yes
efsa_shuv,SHUV,shuv,Shuni virus,shuni virus,Shuni virus,shuni virus,Shuni virus,shuni virus,Shuni,shuni,Bunyaviridae,Orthobunyavirus,no,No
efsa_slev,SLEV,slev,St. Louis encephalitis virus,st louis encephalitis virus,St. Louis encephalitis virus,st louis encephalitis virus,St. Louis encephalitis virus,st louis encephalitis virus,St. Louis encephalitis,st louis encephalitis,Flaviviridae,Flavivirus,no,No
efsa_thov,THOV,thov,Thogoto virus,thogoto virus,Thogoto viruses,thogoto virus,Thogoto viruses,thogoto virus,Thogoto,thogoto,Orthomyxoviridae,Thogotovirus,no,No
efsa_veev,VEEV,veev,Venezuelan equine encephalitis virus,venezuelan equine encephalitis virus,Venezuelan equine encephalomyelitis virus,venezuelan equine encephalomyelitis virus,Venezuelan equine encephalomyelitis virus,venezuelan equine encephalomyelitis virus,Venezuelan equine encephalomyelitis,venezuelan equine encephalomyelitis,Togaviridae,Alphavirus,yes,Yes
efsa_vsav,VSAV,vsav,Vesicular stomatitis viruses,vesicular stomatitis virus,Vesicular stomatitis - Alagoas virus,vesicular stomatitis alagoas virus,Vesicular stomatitis - Alagoas virus,vesicular stomatitis alagoas virus,Vesicular stomatitis - Alagoas,vesicular stomatitis alagoas,Rhabdoviridae,Vesiculovirus,yes,Yes
efsa_vsiv,VSIV,vsiv,,,Vesicular stomatitis - Indiana virus,vesicular stomatitis indiana virus,Vesicular stomatitis - Indiana virus,vesicular stomatitis indiana virus,Vesicular stomatitis - Indiana,vesicular stomatitis indiana,Rhabdoviridae,Vesiculovirus,yes,Yes
efsa_vsnjv,VSNJV,vsnjv,,,Vesicular stomatitis - New Jersey virus,vesicular stomatitis new jersey virus,Vesicular stomatitis - New Jersey virus,vesicular stomatitis new jersey virus,Vesicular stomatitis - New Jersey,vesicular stomatitis new jersey,Rhabdoviridae,Vesiculovirus,yes,Yes
efsa_weev,WEEV,weev,Western equine encephalitis virus,western equine encephalitis virus,Equine encephalomyelitis (Western) virus,equine encephalomyelitis western virus,Equine encephalomyelitis (Western) virus,equine encephalomyelitis western virus,Equine encephalomyelitis (Western),equine encephalomyelitis western,Togaviridae,Alphavirus,yes,Yes
efsa_wnv,WNV,wnv,West Nile virus,west nile virus,West Nile Virus,west nile virus,West Nile Virus,west nile virus,West Nile,west nile,Flaviviridae,Flavivirus,yes,Yes
efsa_yuov,YUOV,yuov,Yunnan orbivirus,yunnan orbivirus,Yunnan virus,yunnan virus,Yunnan virus,yunnan virus,Yunnan,yunnan,Reoviridae,Orbivirus,no,No
efsa_wslv,WSLV,wslv,Wesselsbron virus,wesselsbron virus,Wesselsbron virus,wesselsbron virus,Wesselsbron virus,wesselsbron virus,Wesselsbron,wesselsbron,Flaviviridae,Flavivirus,no,No
efsa_cowdr,Cowdr,cowdr,Ehrlichia ruminantium,ehrlichia ruminantium,Ehrlichia ruminantium,ehrlichia ruminantium,Ehrlichia ruminantium,ehrlichia ruminantium,Ehrlichia ruminantium,ehrlichia ruminantium,Rickettsiaceae,Ehrlichia,yes,Yes
efsa_hepat,hepat,hepat,Hepatozoon canis,hepatozoon canis,Hepatozoon canis,hepatozoon canis,Hepatozoon canis,hepatozoon canis,Hepatozoon canis,hepatozoon canis,Hepatozoidae,Hepatozoidae,no,No
efsa_canl,CanL,canl,Leishmania infantum,leishmania infantum,Leishmania infantum,leishmania infantum,Leishmania infantum,leishmania infantum,Leishmania infantum,leishmania infantum,Trypanosomidae,Leishmania,yes,Yes
