target_id,query_pathogen_label,query_pathogen_source,pathogen_species_name,pathogen_taxid,source_db,query_used,query_strategy,query_source,retrieval_policy,allow_sampling,analysis_unit_ids,readiness_disease_names,readiness_row_count,manifest_status,manifest_status_reason,qa_flags,existing_genbank_country_evidence,existing_genbank_distinct_countries_or_territories,current_target_id,current_manifest_query_strategy
Orthobunyavirus_lacrosseense,Orthobunyavirus lacrosseense,pathogen_species_name,Orthobunyavirus lacrosseense,3052409,nuccore,txid3052409[Organism:exp],taxid_full_retrieval,readiness_generated_query,future_full_deterministic_pagination,FALSE,master_35,La Crosse encephalitis,1,ready_for_future_retrieval,species-level GenBank query ready; modelling_scope_status retained as QA only,already_has_genbank_country_evidence,TRUE,1,NA,NA
Orthobunyavirus_oropoucheense,Orthobunyavirus oropoucheense,pathogen_species_name,Orthobunyavirus oropoucheense,3052429,nuccore,txid3052429[Organism:exp],taxid_full_retrieval,readiness_generated_query,future_full_deterministic_pagination,FALSE,master_18,Oropouche fever,1,ready_for_future_retrieval,species-level GenBank query ready; modelling_scope_status retained as QA only,non_include_scope; already_has_genbank_country_evidence,TRUE,15,NA,NA
Orthobunyavirus_schmallenbergense,Orthobunyavirus schmallenbergense,pathogen_species_name,Orthobunyavirus schmallenbergense,159141; 159150; 3052437,nuccore,(txid159141[Organism:exp] OR txid159150[Organism:exp] OR txid3052437[Organism:exp]),taxid_full_retrieval,readiness_generated_query,future_full_deterministic_pagination,FALSE,master_63,Schmallenberg,1,ready_for_future_retrieval,species-level GenBank query ready; modelling_scope_status retained as QA only,already_has_genbank_country_evidence,TRUE,18,NA,NA
Orthoebolavirus_sudanense,Orthoebolavirus sudanense,pathogen_species_name,Orthoebolavirus sudanense,186540; 3052460,nuccore,(txid186540[Organism:exp] OR txid3052460[Organism:exp]),taxid_full_retrieval,readiness_generated_query,future_full_deterministic_pagination,FALSE,who_37,Sudan virus disease (Ebola virus disease),1,ready_for_future_retrieval,species-level GenBank query ready; modelling_scope_status retained as QA only,non_include_scope; already_has_genbank_country_evidence,TRUE,4,NA,NA
Orthoebolavirus_zairense,Orthoebolavirus zairense,pathogen_species_name,Orthoebolavirus zairense,186538; 3052462,nuccore,(txid186538[Organism:exp] OR txid3052462[Organism:exp]),taxid_full_retrieval,readiness_generated_query,future_full_deterministic_pagination,FALSE,master_9,Ebola virus disease,1,ready_for_future_retrieval,species-level GenBank query ready; modelling_scope_status retained as QA only,already_has_genbank_country_evidence,TRUE,16,NA,NA
Orthoflavivirus_denguei,Orthoflavivirus denguei,pathogen_species_name,Orthoflavivirus denguei,12637; 3052464,nuccore,(txid12637[Organism:exp] OR txid3052464[Organism:exp]),taxid_full_retrieval,readiness_generated_query,future_full_deterministic_pagination,FALSE,master_2,Dengue,1,ready_for_future_retrieval,species-level GenBank query ready; modelling_scope_status retained as QA only,already_has_genbank_country_evidence,TRUE,143,NA,NA
Orthoflavivirus_encephalitidis,Orthoflavivirus encephalitidis,pathogen_species_name,Orthoflavivirus encephalitidis,11084; 3052465,nuccore,(txid11084[Organism:exp] OR txid3052465[Organism:exp]),taxid_full_retrieval,readiness_generated_query,future_full_deterministic_pagination,FALSE,master_23,Tick-borne encephalitis,1,ready_for_future_retrieval,species-level GenBank query ready; modelling_scope_status retained as QA only,already_has_genbank_country_evidence,TRUE,37,NA,NA
Orthoflavivirus_flavi,Orthoflavivirus flavi,pathogen_species_name,Orthoflavivirus flavi,11089; 3046277,nuccore,(txid11089[Organism:exp] OR txid3046277[Organism:exp]),taxid_full_retrieval,readiness_generated_query,future_full_deterministic_pagination,FALSE,master_5,Yellow fever,1,ready_for_future_retrieval,species-level GenBank query ready; modelling_scope_status retained as QA only,already_has_genbank_country_evidence,TRUE,42,NA,NA
Orthoflavivirus_japonicum,Orthoflavivirus japonicum,pathogen_species_name,Orthoflavivirus japonicum,11072; 3048158,nuccore,(txid11072[Organism:exp] OR txid3048158[Organism:exp]),taxid_full_retrieval,readiness_generated_query,future_full_deterministic_pagination,FALSE,master_31,Japanese encephalitis,1,ready_for_future_retrieval,species-level GenBank query ready; modelling_scope_status retained as QA only,already_has_genbank_country_evidence,TRUE,22,NA,NA
Orthoflavivirus_kyasanurense,Orthoflavivirus kyasanurense,pathogen_species_name,Orthoflavivirus kyasanurense,3048170; 33743,nuccore,(txid3048170[Organism:exp] OR txid33743[Organism:exp]),taxid_full_retrieval,readiness_generated_query,future_full_deterministic_pagination,FALSE,master_82,Kyasanur Forest disease,1,ready_for_future_retrieval,species-level GenBank query ready; modelling_scope_status retained as QA only,duplicate_species_group; already_has_genbank_country_evidence,TRUE,4,NA,NA
