batch_id,source_id,source_title,source_url,doi,pmid,pmcid,source_access,file_name,file_name_piece,local_pdf_exists,local_pdf_path
v_batch_1_west_nile_yellow_fever_dengue_plague,DEN-SAVAGE-1998,"Epidemic of dengue-4 virus in Yap State, Federated States of Micronesia, and implication of Aedes hensilli as an epidemic vector",https://pubmed.ncbi.nlm.nih.gov/9574802/,10.4269/ajtmh.1998.58.519,9574802,—,abstract_only,,,FALSE,
v_batch_1_west_nile_yellow_fever_dengue_plague,PL-MIARINJARA-2022,Reevaluation of the Role of Blocked Oropsylla hirsuta Prairie Dog Fleas,https://academic.oup.com/jme/article/59/3/1053/6563783,—,—,—,abstract_only,tjac021.pdf,tjac021.pdf,TRUE,pathogen_association_data/source_data/role_annotation/papers/tjac021.pdf
v_batch_1_west_nile_yellow_fever_dengue_plague,PL-NMDOH-2013,Plague,https://www.nmhealth.org/publication/view/help/1009/,—,—,—,report_pdf,ZDP-PLG-InvestigationManual.pdf,ZDP-PLG-InvestigationManual.pdf,TRUE,pathogen_association_data/source_data/role_annotation/papers/ZDP-PLG-InvestigationManual.pdf
v_batch_1_west_nile_yellow_fever_dengue_plague,PL-SEERY-2003,Treatment of Black-Tailed Prairie Dog Burrows with Deltamethrin Dust,https://academic.oup.com/jme/article/40/5/718/865008,—,—,—,full_text,jmedent40-0718.pdf,jmedent40-0718.pdf,TRUE,pathogen_association_data/source_data/role_annotation/papers/jmedent40-0718.pdf
v_batch_1_west_nile_yellow_fever_dengue_plague,PL-USGS-2012,Plague,https://pubs.usgs.gov/circ/1372/pdf/C1372_Plague.pdf,—,—,—,report_pdf,C1372_Plague.pdf,C1372_Plague.pdf,TRUE,pathogen_association_data/source_data/role_annotation/papers/C1372_Plague.pdf
v_batch_1_west_nile_yellow_fever_dengue_plague,WN-CDC-GUIDE-2024,West Nile Virus Surveillance and Control Guidelines,https://www.cdc.gov/west-nile-virus/media/pdfs/2024/08/WestNileVirus-SurveillanceControlGuidelines_508-h.pdf,—,—,—,report_pdf,WestNileVirus-SurveillanceControlGuidelines_508-h.pdf,WestNileVirus-SurveillanceControlGuidelines_508-h.pdf,TRUE,pathogen_association_data/source_data/role_annotation/papers/WestNileVirus-SurveillanceControlGuidelines_508-h.pdf
v_batch_1_west_nile_yellow_fever_dengue_plague,YF-ABREU-2019,"Haemagogus leucocelaenus and Haemagogus janthinomys are the primary vectors in the major yellow fever outbreak in Brazil, 2016–2018",https://pubmed.ncbi.nlm.nih.gov/30866775/,10.1080/22221751.2019.1568180,30866775,PMC6455131,abstract_only,Haemagogus leucocelaenus and Haemagogus janthinomys are the primary vectors in the major yellow fever outbreak in Brazil 2016 2018.pdf,Haemagogus leucocelaenus and Haemagogus janthinomys are the primary vectors in the major yellow fever outbreak in Brazil 2016 2018.pdf,TRUE,pathogen_association_data/source_data/role_annotation/papers/Haemagogus leucocelaenus and Haemagogus janthinomys are the primary vectors in the major yellow fever outbreak in Brazil 2016 2018.pdf
v_batch_2_rvf_chikungunya_zika_vee,CHIK_S05,"Incrimination of Aedes (Stegomyia) hensilli Farner as an Epidemic Vector of Chikungunya Virus on Yap Island, Federated States of Micronesia, 2013",https://pmc.ncbi.nlm.nih.gov/articles/PMC4347352/,10.4269/ajtmh.14-0374,25404070,PMC4347352,full_text,tpmd-article-p429.pdf,tpmd-article-p429.pdf,TRUE,pathogen_association_data/source_data/role_annotation/papers/tpmd-article-p429.pdf
v_batch_2_rvf_chikungunya_zika_vee,RVF_S02,Rift Valley Fever: An Emerging Mosquito-Borne Disease,https://doi.org/10.1146/annurev-ento-010715-023819,10.1146/annurev-ento-010715-023819,none,none,abstract_only,linthicum2016.pdf,linthicum2016.pdf,TRUE,pathogen_association_data/source_data/role_annotation/papers/linthicum2016.pdf
v_batch_2_rvf_chikungunya_zika_vee,RVF_S03,Rift Valley Fever – a Growing Threat To Humans and Animals,https://pmc.ncbi.nlm.nih.gov/articles/PMC8009587/,10.2478/jvetres-2021-0009,33817390,PMC8009587,full_text,Rift-Valley-fever-a-growing-threat-to-humans-and-animals.pdf,Rift-Valley-fever-a-growing-threat-to-humans-and-animals.pdf,TRUE,pathogen_association_data/source_data/role_annotation/papers/Rift-Valley-fever-a-growing-threat-to-humans-and-animals.pdf
v_batch_2_rvf_chikungunya_zika_vee,VEE_S02,"Update: Venezuelan Equine Encephalitis -- Colombia, 1995",https://www.cdc.gov/mmwr/preview/mmwrhtml/00039331.htm,none,none,none,official_page,,,FALSE,
v_batch_2_rvf_chikungunya_zika_vee,VEE_S06,Susceptibility of Psorophora confinnis to infection with epizootic and enzootic VEE viruses,https://pubmed.ncbi.nlm.nih.gov/16365999/,10.1093/jmedent/42.5.857,16365999,none,abstract_only,ortiz2005.pdf,ortiz2005.pdf,TRUE,pathogen_association_data/source_data/role_annotation/papers/ortiz2005.pdf
v_batch_2_rvf_chikungunya_zika_vee,ZIKA_S01,Transmission of Zika Virus,https://www.cdc.gov/zika/php/transmission/index.html,none,none,none,official_page,,,FALSE,
v_batch_3_cchf_tbe_sfts_oropouche,CCHF_S2,Factsheet for health professionals about Crimean-Congo haemorrhagic fever,https://www.ecdc.europa.eu/en/crimean-congo-haemorrhagic-fever/facts/factsheet,,,,official_page,,,FALSE,
v_batch_3_cchf_tbe_sfts_oropouche,ORO_S4,Vector competence for Oropouche virus: A systematic review,https://pubmed.ncbi.nlm.nih.gov/40305476/,10.1371/journal.pntd.0013014,40305476,PMC12043118,abstract_only,journal.pntd.0013014.pdf,journal.pntd.0013014.pdf,TRUE,pathogen_association_data/source_data/role_annotation/papers/journal.pntd.0013014.pdf
v_batch_3_cchf_tbe_sfts_oropouche,SFTS_S3,Hedgehogs as Amplifying Hosts of Severe Fever with Thrombocytopenia Syndrome Virus,https://pubmed.ncbi.nlm.nih.gov/36417938/,,36417938,PMC9707592,abstract_only,22-0668.pdf,22-0668.pdf,TRUE,pathogen_association_data/source_data/role_annotation/papers/22-0668.pdf
v_batch_3_cchf_tbe_sfts_oropouche,SFTS_S6,Role of three tick species in the maintenance and transmission of severe fever with thrombocytopenia syndrome virus,https://pubmed.ncbi.nlm.nih.gov/32520966/,10.1371/journal.pntd.0008368,32520966,,abstract_only,document.pdf,document.pdf,TRUE,pathogen_association_data/source_data/role_annotation/papers/document.pdf
v_batch_3_cchf_tbe_sfts_oropouche,SFTS_S7,Haemaphysalis flava ticks as a competent vector of severe fever with thrombocytopenia syndrome virus,https://pubmed.ncbi.nlm.nih.gov/36599203/,,36599203,,abstract_only,1-s2.0-S1877959X22002023-main.pdf,1-s2.0-S1877959X22002023-main.pdf,TRUE,pathogen_association_data/source_data/role_annotation/papers/1-s2.0-S1877959X22002023-main.pdf
v_batch_3_cchf_tbe_sfts_oropouche,TBE_S4,Exploring the Reservoir Hosts of Tick-Borne Encephalitis Virus,https://pubmed.ncbi.nlm.nih.gov/31336624/,10.3390/v11070669,31336624,PMC6669706,abstract_only,viruses-11-00669.pdf,viruses-11-00669.pdf,TRUE,pathogen_association_data/source_data/role_annotation/papers/viruses-11-00669.pdf
v_batch_3_cchf_tbe_sfts_oropouche,TBE_S5,Infection of wild-caught wood mice (Apodemus sylvaticus) and yellow-necked mice (A. flavicollis) with tick-borne encephalitis virus,https://pubmed.ncbi.nlm.nih.gov/38062065/,10.1038/s41598-023-47697-2,38062065,PMC10703896,abstract_only,s41598-023-47697-2.pdf,s41598-023-47697-2.pdf,TRUE,pathogen_association_data/source_data/role_annotation/papers/s41598-023-47697-2.pdf
v_batch_3_cchf_tbe_sfts_oropouche,TBE_S6,Tick-Borne Encephalitis Virus (TBEV),https://www.mdpi.com/2036-7481/15/4/174,,,,full_text,microbiolres-15-00174.pdf,microbiolres-15-00174.pdf,TRUE,pathogen_association_data/source_data/role_annotation/papers/microbiolres-15-00174.pdf
v_batch_3_cchf_tbe_sfts_oropouche,TBE_S7,Dermacentor reticulatus is a vector of tick-borne encephalitis virus,https://www.sciencedirect.com/science/article/pii/S1877959X19305138,,,,abstract_only,1-s2.0-S1877959X19305138-main.pdf,1-s2.0-S1877959X19305138-main.pdf,TRUE,pathogen_association_data/source_data/role_annotation/papers/1-s2.0-S1877959X19305138-main.pdf
