Pathogen,PathogenTaxID,Disease_name,HostTaxID,Host,PathogenClass,PathogenOrder,PathogenFamily,HostClass,HostFamily,HostOrder,DetectionMethod,MainSource,PathogenType,analysis_unit_id,master_row,disease_master_name,resolved_pathogen_name,host_query_bucket,host_query_include_default,match_review_flag,shared_species_proxy_flag,match_review_notes,match_method,source_database,source_assoc_id,source_host_flag_id,host_query_pathogen_names,host_query_taxids
orthoflavivirus japonicum,11072,Japanese encephalitis,9925,capra hircus,flasuviricetes,amarillovirales,flaviviridae,mammalia,bovidae,artiodactyla,Not specified,VIRION,virus,master_31,31,Japanese encephalitis,Japanese encephalitis virus,default_clean,TRUE,FALSE,FALSE,ICTV/NCBI-style species name used in local VIRION taxonomy.,taxid,EID2,72231,FALSE,orthoflavivirus japonicum,11072; 3048158
orthoflavivirus japonicum,11072,Japanese encephalitis,9925,capra hircus,flasuviricetes,amarillovirales,flaviviridae,mammalia,bovidae,artiodactyla,Antibodies,VIRION,virus,master_31,31,Japanese encephalitis,Japanese encephalitis virus,default_clean,TRUE,FALSE,FALSE,ICTV/NCBI-style species name used in local VIRION taxonomy.,taxid,Shaw,72221,FALSE,orthoflavivirus japonicum,11072; 3048158
orthoflavivirus japonicum,11072,Japanese encephalitis,8932,columba livia,flasuviricetes,amarillovirales,flaviviridae,aves,columbidae,columbiformes,PCR/Sequencing,VIRION,virus,master_31,31,Japanese encephalitis,Japanese encephalitis virus,default_clean,TRUE,FALSE,FALSE,ICTV/NCBI-style species name used in local VIRION taxonomy.,taxid,EID2,77911,FALSE,orthoflavivirus japonicum,11072; 3048158
orthoflavivirus japonicum,3048158,Japanese encephalitis,8932,columba livia,flasuviricetes,amarillovirales,flaviviridae,aves,columbidae,columbiformes,PCR/Sequencing,VIRION,virus,master_31,31,Japanese encephalitis,Japanese encephalitis virus,default_clean,TRUE,FALSE,FALSE,ICTV/NCBI-style species name used in local VIRION taxonomy.,taxid,GenBank,77914,FALSE,orthoflavivirus japonicum,11072; 3048158
orthoflavivirus japonicum,11072,Japanese encephalitis,9400,cynopterus sphinx,flasuviricetes,amarillovirales,flaviviridae,mammalia,pteropodidae,chiroptera,Isolation/Observation,VIRION,virus,master_31,31,Japanese encephalitis,Japanese encephalitis virus,default_clean,TRUE,FALSE,FALSE,ICTV/NCBI-style species name used in local VIRION taxonomy.,taxid,HP3,81569,FALSE,orthoflavivirus japonicum,11072; 3048158
orthoflavivirus japonicum,11072,Japanese encephalitis,9400,cynopterus sphinx,flasuviricetes,amarillovirales,flaviviridae,mammalia,pteropodidae,chiroptera,Antibodies,VIRION,virus,master_31,31,Japanese encephalitis,Japanese encephalitis virus,default_clean,TRUE,FALSE,FALSE,ICTV/NCBI-style species name used in local VIRION taxonomy.,taxid,Shaw,81568,FALSE,orthoflavivirus japonicum,11072; 3048158
orthoflavivirus japonicum,11072,Japanese encephalitis,9796,equus caballus,flasuviricetes,amarillovirales,flaviviridae,mammalia,equidae,perissodactyla,Not specified,VIRION,virus,master_31,31,Japanese encephalitis,Japanese encephalitis virus,default_clean,TRUE,FALSE,FALSE,ICTV/NCBI-style species name used in local VIRION taxonomy.,taxid,EID2,89412,FALSE,orthoflavivirus japonicum,11072; 3048158
orthoflavivirus japonicum,11072,Japanese encephalitis,9796,equus caballus,flasuviricetes,amarillovirales,flaviviridae,mammalia,equidae,perissodactyla,PCR/Sequencing,VIRION,virus,master_31,31,Japanese encephalitis,Japanese encephalitis virus,default_clean,TRUE,FALSE,FALSE,ICTV/NCBI-style species name used in local VIRION taxonomy.,taxid,EID2,89440,FALSE,orthoflavivirus japonicum,11072; 3048158
orthoflavivirus japonicum,11072,Japanese encephalitis,9796,equus caballus,flasuviricetes,amarillovirales,flaviviridae,mammalia,equidae,perissodactyla,Isolation/Observation,VIRION,virus,master_31,31,Japanese encephalitis,Japanese encephalitis virus,default_clean,TRUE,FALSE,FALSE,ICTV/NCBI-style species name used in local VIRION taxonomy.,taxid,Shaw,89401,FALSE,orthoflavivirus japonicum,11072; 3048158
orthoflavivirus japonicum,3048158,Japanese encephalitis,9796,equus caballus,flasuviricetes,amarillovirales,flaviviridae,mammalia,equidae,perissodactyla,PCR/Sequencing,VIRION,virus,master_31,31,Japanese encephalitis,Japanese encephalitis virus,default_clean,TRUE,FALSE,FALSE,ICTV/NCBI-style species name used in local VIRION taxonomy.,taxid,GenBank,89453,FALSE,orthoflavivirus japonicum,11072; 3048158
orthoflavivirus japonicum,11072,Japanese encephalitis,9685,felis catus,flasuviricetes,amarillovirales,flaviviridae,mammalia,felidae,carnivora,Not specified,VIRION,virus,master_31,31,Japanese encephalitis,Japanese encephalitis virus,default_clean,TRUE,FALSE,FALSE,ICTV/NCBI-style species name used in local VIRION taxonomy.,taxid,EID2,96023,FALSE,orthoflavivirus japonicum,11072; 3048158
orthoflavivirus japonicum,11072,Japanese encephalitis,9685,felis catus,flasuviricetes,amarillovirales,flaviviridae,mammalia,felidae,carnivora,Antibodies,VIRION,virus,master_31,31,Japanese encephalitis,Japanese encephalitis virus,default_clean,TRUE,FALSE,FALSE,ICTV/NCBI-style species name used in local VIRION taxonomy.,taxid,Shaw,96018,FALSE,orthoflavivirus japonicum,11072; 3048158
