Pathogen,PathogenTaxID,PHEIC risk,Disease_name,HostTaxID,Host,PathogenClass,PathogenOrder,PathogenFamily,PathogenGenus,HostPhylum,HostClass,HostFamily,HostOrder,DetectionMethod,high_quality_detection,downstream_default_include,downstream_review_reason,MainSource,PathogenType,in_gibb_etal,in_empres_i,Host_raw,host_name_cleaning_method,analysis_unit_id,master_row,disease_master_name,resolved_pathogen_name,host_query_bucket,host_query_include_default,match_review_flag,shared_species_proxy_flag,match_review_notes,match_method,source_database,source_assoc_id,source_host_flag_id,host_query_pathogen_names,host_query_taxids,host_count_for_analysis_unit,all_method_host_count_for_analysis_unit,host_count_flag,host_taxonomy_ready,host_taxonomy_flag,is_human_host,is_model_or_lab_host,is_domestic_or_livestock_hint
orthoflavivirus japonicum,11072,,Japanese encephalitis,9913,Bos taurus,flasuviricetes,amarillovirales,flaviviridae,,CHORDATA,MAMMALIA,BOVIDAE,ARTIODACTYLA,Not specified,FALSE,FALSE,detection_method=Not specified; domestic_or_livestock_hint,VIRION,virus,,,bos taurus,source_taxid_host,master_31,31,Japanese encephalitis,Japanese encephalitis virus,default_clean,TRUE,FALSE,FALSE,ICTV/NCBI-style species name used in local VIRION taxonomy.,taxid,EID2,46641,FALSE,orthoflavivirus japonicum,11072; 3048158,36,75,expected_range,TRUE,species_like,FALSE,FALSE,TRUE
orthoflavivirus japonicum,11072,,Japanese encephalitis,9913,Bos taurus,flasuviricetes,amarillovirales,flaviviridae,,CHORDATA,MAMMALIA,BOVIDAE,ARTIODACTYLA,PCR/Sequencing,TRUE,TRUE,domestic_or_livestock_hint,VIRION,virus,,,bos taurus,source_taxid_host,master_31,31,Japanese encephalitis,Japanese encephalitis virus,default_clean,TRUE,FALSE,FALSE,ICTV/NCBI-style species name used in local VIRION taxonomy.,taxid,EID2,46657,FALSE,orthoflavivirus japonicum,11072; 3048158,36,75,expected_range,TRUE,species_like,FALSE,FALSE,TRUE
orthoflavivirus japonicum,11072,,Japanese encephalitis,9913,Bos taurus,flasuviricetes,amarillovirales,flaviviridae,,CHORDATA,MAMMALIA,BOVIDAE,ARTIODACTYLA,Isolation/Observation,TRUE,TRUE,domestic_or_livestock_hint,VIRION,virus,,,bos taurus,source_taxid_host,master_31,31,Japanese encephalitis,Japanese encephalitis virus,default_clean,TRUE,FALSE,FALSE,ICTV/NCBI-style species name used in local VIRION taxonomy.,taxid,Shaw,46636,FALSE,orthoflavivirus japonicum,11072; 3048158,36,75,expected_range,TRUE,species_like,FALSE,FALSE,TRUE
orthoflavivirus japonicum,3048158,,Japanese encephalitis,9913,Bos taurus,flasuviricetes,amarillovirales,flaviviridae,,CHORDATA,MAMMALIA,BOVIDAE,ARTIODACTYLA,PCR/Sequencing,TRUE,TRUE,domestic_or_livestock_hint,VIRION,virus,,,bos taurus,source_taxid_host,master_31,31,Japanese encephalitis,Japanese encephalitis virus,default_clean,TRUE,FALSE,FALSE,ICTV/NCBI-style species name used in local VIRION taxonomy.,taxid,GenBank,46669,FALSE,orthoflavivirus japonicum,11072; 3048158,36,75,expected_range,TRUE,species_like,FALSE,FALSE,TRUE
orthoflavivirus japonicum,11072,,Japanese encephalitis,110668,Bubulcus ibis,flasuviricetes,amarillovirales,flaviviridae,,CHORDATA,AVES,ARDEIDAE,PELECANIFORMES,Antibodies,FALSE,FALSE,detection_method=Antibodies,VIRION,virus,,,bubulcus ibis,source_taxid_host,master_31,31,Japanese encephalitis,Japanese encephalitis virus,default_clean,TRUE,FALSE,FALSE,ICTV/NCBI-style species name used in local VIRION taxonomy.,taxid,Shaw,55165,FALSE,orthoflavivirus japonicum,11072; 3048158,36,75,expected_range,TRUE,species_like,FALSE,FALSE,FALSE
orthoflavivirus japonicum,3048158,,Japanese encephalitis,1364912,calandrella cinerea,flasuviricetes,amarillovirales,flaviviridae,,,aves,alaudidae,passeriformes,PCR/Sequencing,TRUE,TRUE,,VIRION,virus,,,calandrella cinerea,source_name_fallback,master_31,31,Japanese encephalitis,Japanese encephalitis virus,default_clean,TRUE,FALSE,FALSE,ICTV/NCBI-style species name used in local VIRION taxonomy.,taxid,GenBank,56824,FALSE,orthoflavivirus japonicum,11072; 3048158,36,75,expected_range,TRUE,species_like,FALSE,FALSE,FALSE
orthoflavivirus japonicum,11072,,Japanese encephalitis,9612,Canis lupus,flasuviricetes,amarillovirales,flaviviridae,,CHORDATA,MAMMALIA,CANIDAE,CARNIVORA,Not specified,FALSE,FALSE,detection_method=Not specified,VIRION,virus,,,canis lupus,source_name,master_31,31,Japanese encephalitis,Japanese encephalitis virus,default_clean,TRUE,FALSE,FALSE,ICTV/NCBI-style species name used in local VIRION taxonomy.,taxid,EID2,66526,FALSE,orthoflavivirus japonicum,11072; 3048158,36,75,expected_range,TRUE,species_like,FALSE,FALSE,FALSE
orthoflavivirus japonicum,11072,,Japanese encephalitis,9925,Capra hircus,flasuviricetes,amarillovirales,flaviviridae,,CHORDATA,MAMMALIA,BOVIDAE,ARTIODACTYLA,Not specified,FALSE,FALSE,detection_method=Not specified; domestic_or_livestock_hint,VIRION,virus,,,capra hircus,source_taxid_host,master_31,31,Japanese encephalitis,Japanese encephalitis virus,default_clean,TRUE,FALSE,FALSE,ICTV/NCBI-style species name used in local VIRION taxonomy.,taxid,EID2,72231,FALSE,orthoflavivirus japonicum,11072; 3048158,36,75,expected_range,TRUE,species_like,FALSE,FALSE,TRUE
orthoflavivirus japonicum,11072,,Japanese encephalitis,9925,Capra hircus,flasuviricetes,amarillovirales,flaviviridae,,CHORDATA,MAMMALIA,BOVIDAE,ARTIODACTYLA,Antibodies,FALSE,FALSE,detection_method=Antibodies; domestic_or_livestock_hint,VIRION,virus,,,capra hircus,source_taxid_host,master_31,31,Japanese encephalitis,Japanese encephalitis virus,default_clean,TRUE,FALSE,FALSE,ICTV/NCBI-style species name used in local VIRION taxonomy.,taxid,Shaw,72221,FALSE,orthoflavivirus japonicum,11072; 3048158,36,75,expected_range,TRUE,species_like,FALSE,FALSE,TRUE
orthoflavivirus japonicum,11072,,Japanese encephalitis,8932,Columba livia,flasuviricetes,amarillovirales,flaviviridae,,CHORDATA,AVES,COLUMBIDAE,COLUMBIFORMES,PCR/Sequencing,TRUE,TRUE,,VIRION,virus,,,columba livia,source_taxid_host,master_31,31,Japanese encephalitis,Japanese encephalitis virus,default_clean,TRUE,FALSE,FALSE,ICTV/NCBI-style species name used in local VIRION taxonomy.,taxid,EID2,77911,FALSE,orthoflavivirus japonicum,11072; 3048158,36,75,expected_range,TRUE,species_like,FALSE,FALSE,FALSE
