Host,Virus,PHEIC risk,Pathogens,Disease_name,previous_name,msl39_viral_name,in_gibb_etal,in_empres_i,Virion_VirusName,HostTaxID,HostGenus,HostFamily,HostOrder,HostClass,VirusTaxID,VirusGenus,VirusFamily,VirusOrder,VirusClass,DetectionMethod,HostFlagID,high_quality_detection,downstream_default_include,downstream_review_reason
lophuromys sikapusi,mammarenavirus lassaense,High,Mammarenavirus lassaense,Lassa fever,Lassa Fever virus,Mammarenavirus lassaense,TRUE,FALSE,mammarenavirus lassaense,83535,lophuromys,muridae,rodentia,mammalia,3052310,mammarenavirus,arenaviridae,bunyavirales,ellioviricetes,PCR/Sequencing,FALSE,TRUE,TRUE,NA
mastomys huberti,mammarenavirus lassaense,High,Mammarenavirus lassaense,Lassa fever,Lassa Fever virus,Mammarenavirus lassaense,TRUE,FALSE,mammarenavirus lassaense,121569,mastomys,muridae,rodentia,mammalia,3052310,mammarenavirus,arenaviridae,bunyavirales,ellioviricetes,Isolation/Observation,FALSE,TRUE,TRUE,NA
bandicota indica,mammarenavirus lassaense,High,Mammarenavirus lassaense,Lassa fever,Lassa Fever virus,Mammarenavirus lassaense,TRUE,FALSE,mammarenavirus lassaense,456472,bandicota,muridae,rodentia,mammalia,3052310,mammarenavirus,arenaviridae,bunyavirales,ellioviricetes,Antibodies,FALSE,FALSE,FALSE,detection_method=Antibodies
bandicota savilei,mammarenavirus lassaense,High,Mammarenavirus lassaense,Lassa fever,Lassa Fever virus,Mammarenavirus lassaense,TRUE,FALSE,mammarenavirus lassaense,456473,bandicota,muridae,rodentia,mammalia,3052310,mammarenavirus,arenaviridae,bunyavirales,ellioviricetes,Antibodies,FALSE,FALSE,FALSE,detection_method=Antibodies
praomys rostratus,mammarenavirus lassaense,High,Mammarenavirus lassaense,Lassa fever,Lassa Fever virus,Mammarenavirus lassaense,TRUE,FALSE,mammarenavirus lassaense,476587,praomys,muridae,rodentia,mammalia,3052310,mammarenavirus,arenaviridae,bunyavirales,ellioviricetes,Antibodies,FALSE,FALSE,FALSE,detection_method=Antibodies
mus baoulei,mammarenavirus lassaense,High,Mammarenavirus lassaense,Lassa fever,Lassa Fever virus,Mammarenavirus lassaense,TRUE,FALSE,mammarenavirus lassaense,544437,mus,muridae,rodentia,mammalia,3052310,mammarenavirus,arenaviridae,bunyavirales,ellioviricetes,PCR/Sequencing,FALSE,TRUE,TRUE,NA
hylomyscus pamfi,mammarenavirus lassaense,High,Mammarenavirus lassaense,Lassa fever,Lassa Fever virus,Mammarenavirus lassaense,TRUE,FALSE,mammarenavirus lassaense,913014,hylomyscus,muridae,rodentia,mammalia,3052310,mammarenavirus,arenaviridae,bunyavirales,ellioviricetes,PCR/Sequencing,FALSE,TRUE,TRUE,NA
homo sapiens,mammarenavirus lujoense,High,Mammarenavirus lujoense,Lujo hemorrhagic fever,Lujo virus,Mammarenavirus lujoense,FALSE,FALSE,mammarenavirus lujoense,9606,homo,hominidae,primates,mammalia,3052314,mammarenavirus,arenaviridae,bunyavirales,ellioviricetes,Isolation/Observation,FALSE,TRUE,TRUE,NA
homo sapiens,mammarenavirus lujoense,High,Mammarenavirus lujoense,Lujo hemorrhagic fever,Lujo virus,Mammarenavirus lujoense,FALSE,FALSE,mammarenavirus lujoense,9606,homo,hominidae,primates,mammalia,3052314,mammarenavirus,arenaviridae,bunyavirales,ellioviricetes,PCR/Sequencing,FALSE,TRUE,TRUE,NA
anas platyrhynchos,orthobornavirus bornaense,Low,Orthobornavirus bornaense,Borna disease (encephalitis),Mammalian Bornavirus 1 (BoDV-1),Orthobornavirus bornaense,FALSE,FALSE,orthobornavirus bornaense,8839,anas,anatidae,anseriformes,aves,1714619,orthobornavirus,bornaviridae,mononegavirales,monjiviricetes,PCR/Sequencing,FALSE,TRUE,TRUE,NA
erinaceus europaeus,orthobornavirus bornaense,Low,Orthobornavirus bornaense,Borna disease (encephalitis),Mammalian Bornavirus 1 (BoDV-1),Orthobornavirus bornaense,FALSE,FALSE,orthobornavirus bornaense,9365,erinaceus,erinaceidae,eulipotyphla,mammalia,1714619,orthobornavirus,bornaviridae,mononegavirales,monjiviricetes,PCR/Sequencing,FALSE,TRUE,TRUE,NA
macaca fuscata,orthobornavirus bornaense,Low,Orthobornavirus bornaense,Borna disease (encephalitis),Mammalian Bornavirus 1 (BoDV-1),Orthobornavirus bornaense,FALSE,FALSE,orthobornavirus bornaense,9542,macaca,cercopithecidae,primates,mammalia,1714619,orthobornavirus,bornaviridae,mononegavirales,monjiviricetes,PCR/Sequencing,FALSE,TRUE,TRUE,NA
homo sapiens,orthobornavirus bornaense,Low,Orthobornavirus bornaense,Borna disease (encephalitis),Mammalian Bornavirus 1 (BoDV-1),Orthobornavirus bornaense,FALSE,FALSE,orthobornavirus bornaense,9606,homo,hominidae,primates,mammalia,1714619,orthobornavirus,bornaviridae,mononegavirales,monjiviricetes,PCR/Sequencing,FALSE,TRUE,TRUE,NA
canis lupus,orthobornavirus bornaense,Low,Orthobornavirus bornaense,Borna disease (encephalitis),Mammalian Bornavirus 1 (BoDV-1),Orthobornavirus bornaense,FALSE,FALSE,orthobornavirus bornaense,9615,canis,canidae,carnivora,mammalia,1714619,orthobornavirus,bornaviridae,mononegavirales,monjiviricetes,PCR/Sequencing,FALSE,TRUE,TRUE,NA
vulpes vulpes,orthobornavirus bornaense,Low,Orthobornavirus bornaense,Borna disease (encephalitis),Mammalian Bornavirus 1 (BoDV-1),Orthobornavirus bornaense,FALSE,FALSE,orthobornavirus bornaense,9627,vulpes,canidae,carnivora,mammalia,1714619,orthobornavirus,bornaviridae,mononegavirales,monjiviricetes,PCR/Sequencing,FALSE,TRUE,TRUE,NA
procyon lotor,orthobornavirus bornaense,Low,Orthobornavirus bornaense,Borna disease (encephalitis),Mammalian Bornavirus 1 (BoDV-1),Orthobornavirus bornaense,FALSE,FALSE,orthobornavirus bornaense,9654,procyon,procyonidae,carnivora,mammalia,1714619,orthobornavirus,bornaviridae,mononegavirales,monjiviricetes,PCR/Sequencing,FALSE,TRUE,TRUE,NA
