disease_name,species_name,tax_id,species_role,disease_has_vector_rows,in_current_role_review_scope,in_gibb_etal,in_empres_i,priority_prototype_status,source_pathogens,host_class,host_order,host_family,host_detection_method,host_role_assignment,host_role_confidence,host_role_needs_manual_review,host_role_assignment_status,vector_group,vector_taxon_rank,vector_join_key,vector_role_assignment,vector_role_confidence,vector_role_needs_manual_review,vector_role_assignment_status,has_disease_vector_evidence,has_host_vector_evidence,has_competence_evidence,best_evidence_level,best_evidence_basis,vector_record_sources,bites_humans,bites_humans_basis,vector_competence_status,transmission_demonstrated,natural_infection_reported,vector_role_hint,uncertainty_reason,taxonomy_caution
Chikungunya fever,Hipposideros caffer,302402,host,TRUE,TRUE,TRUE,FALSE,both,Alphavirus chikungunya,mammalia,chiroptera,hipposideridae,Isolation/Observation,host_presence_only,low,TRUE,candidate_only,,,,,,,,FALSE,FALSE,FALSE,,,,,,,,,,,FALSE
Chikungunya fever,Homo sapiens,9606,host,TRUE,TRUE,TRUE,FALSE,both,Alphavirus chikungunya,,,,Isolation/Observation; Not specified; PCR/Sequencing,amplifying_host,high,FALSE,draft_source_backed,,,,,,,,FALSE,FALSE,FALSE,,,,,,,,,,,FALSE
Chikungunya fever,Macaca fascicularis,9541,host,TRUE,TRUE,TRUE,FALSE,both,Alphavirus chikungunya,mammalia,primates,cercopithecidae,Antibodies; PCR/Sequencing,host_presence_only,low,TRUE,candidate_only,,,,,,,,FALSE,FALSE,FALSE,,,,,,,,,,,FALSE
Chikungunya fever,Macaca mulatta,9544,host,TRUE,TRUE,TRUE,FALSE,both,Alphavirus chikungunya,mammalia,primates,cercopithecidae,Antibodies,host_presence_only,low,TRUE,candidate_only,,,,,,,,FALSE,FALSE,FALSE,,,,,,,,,,,FALSE
Chikungunya fever,Mastomys natalensis,10112,host,TRUE,TRUE,TRUE,FALSE,both,Alphavirus chikungunya,mammalia,rodentia,muridae,Antibodies,host_presence_only,low,TRUE,candidate_only,,,,,,,,FALSE,FALSE,FALSE,,,,,,,,,,,FALSE
Chikungunya fever,Molossus nigricans,2997257,host,TRUE,TRUE,TRUE,FALSE,both,Alphavirus chikungunya,,,,PCR/Sequencing,host_presence_only,low,TRUE,candidate_only,,,,,,,,FALSE,FALSE,FALSE,,,,,,,,,,,FALSE
Chikungunya fever,Mops pumilus,242384,host,TRUE,TRUE,TRUE,FALSE,both,Alphavirus chikungunya,mammalia,chiroptera,molossidae,Isolation/Observation,host_presence_only,low,TRUE,candidate_only,,,,,,,,FALSE,FALSE,FALSE,,,,,,,,,,,FALSE
Chikungunya fever,Mus musculus,10090,host,TRUE,TRUE,TRUE,FALSE,both,Alphavirus chikungunya,mammalia,rodentia,muridae,Isolation/Observation; PCR/Sequencing,host_presence_only,low,TRUE,candidate_only,,,,,,,,FALSE,FALSE,FALSE,,,,,,,,,,,FALSE
Chikungunya fever,Pan troglodytes,9598,host,TRUE,TRUE,TRUE,FALSE,both,Alphavirus chikungunya,mammalia,primates,hominidae,Antibodies; Not specified,host_presence_only,low,TRUE,candidate_only,,,,,,,,FALSE,FALSE,FALSE,,,,,,,,,,,FALSE
Chikungunya fever,Papio hamadryas,9557,host,TRUE,TRUE,TRUE,FALSE,both,Alphavirus chikungunya,mammalia,primates,cercopithecidae,Antibodies; PCR/Sequencing,host_presence_only,low,TRUE,candidate_only,,,,,,,,FALSE,FALSE,FALSE,,,,,,,,,,,FALSE
Chikungunya fever,Papio papio,100937,host,TRUE,TRUE,TRUE,FALSE,both,Alphavirus chikungunya,mammalia,primates,cercopithecidae,Isolation/Observation,amplifying_host,medium,TRUE,draft_source_backed,,,,,,,,FALSE,FALSE,FALSE,,,,,,,,,,,FALSE
Chikungunya fever,Papio ursinus,36229,host,TRUE,TRUE,TRUE,FALSE,both,Alphavirus chikungunya,mammalia,primates,cercopithecidae,Antibodies; Not specified,host_presence_only,low,TRUE,candidate_only,,,,,,,,FALSE,FALSE,FALSE,,,,,,,,,,,FALSE
Chikungunya fever,Passer luteus,58821,host,TRUE,TRUE,TRUE,FALSE,both,Alphavirus chikungunya,aves,passeriformes,passeridae,Isolation/Observation,host_presence_only,low,TRUE,candidate_only,,,,,,,,FALSE,FALSE,FALSE,,,,,,,,,,,FALSE
Chikungunya fever,Peropteryx macrotis,249015,host,TRUE,TRUE,TRUE,FALSE,both,Alphavirus chikungunya,mammalia,chiroptera,emballonuridae,PCR/Sequencing,host_presence_only,low,TRUE,candidate_only,,,,,,,,FALSE,FALSE,FALSE,,,,,,,,,,,FALSE
Chikungunya fever,Rattus rattus,10117,host,TRUE,TRUE,TRUE,FALSE,both,Alphavirus chikungunya,mammalia,rodentia,muridae,Antibodies,host_presence_only,low,TRUE,candidate_only,,,,,,,,FALSE,FALSE,FALSE,,,,,,,,,,,FALSE
Chikungunya fever,Rousettus aegyptiacus,9407,host,TRUE,TRUE,TRUE,FALSE,both,Alphavirus chikungunya,mammalia,chiroptera,pteropodidae,Isolation/Observation,host_presence_only,low,TRUE,candidate_only,,,,,,,,FALSE,FALSE,FALSE,,,,,,,,,,,FALSE
Chikungunya fever,Rousettus leschenaultii,9408,host,TRUE,TRUE,TRUE,FALSE,both,Alphavirus chikungunya,mammalia,chiroptera,pteropodidae,Isolation/Observation,host_presence_only,low,TRUE,candidate_only,,,,,,,,FALSE,FALSE,FALSE,,,,,,,,,,,FALSE
Chikungunya fever,Scotophilus kuhlii,153297,host,TRUE,TRUE,TRUE,FALSE,both,Alphavirus chikungunya,mammalia,chiroptera,vespertilionidae,Isolation/Observation,host_presence_only,low,TRUE,candidate_only,,,,,,,,FALSE,FALSE,FALSE,,,,,,,,,,,FALSE
Chikungunya fever,Sturnira parvidens,196700,host,TRUE,TRUE,TRUE,FALSE,both,Alphavirus chikungunya,mammalia,chiroptera,phyllostomidae,PCR/Sequencing,host_presence_only,low,TRUE,candidate_only,,,,,,,,FALSE,FALSE,FALSE,,,,,,,,,,,FALSE
Chikungunya fever,Xerus erythropus,327507,host,TRUE,TRUE,TRUE,FALSE,both,Alphavirus chikungunya,mammalia,rodentia,sciuridae,Isolation/Observation,host_presence_only,low,TRUE,candidate_only,,,,,,,,FALSE,FALSE,FALSE,,,,,,,,,,,FALSE
