disease_name,active_source_pathogens,network_pathogen,pathogen_tax_ids,host,host_tax_id,host_class,host_order,host_family,in_gibb_etal,in_empres_i,priority_prototype_status,active_scope_reason,network_pathogen_raw_examples,disease_name_raw_examples,detection_method_examples,main_source_examples,source_row_count,is_human,is_livestock_like,is_bird,is_rodent,is_bat,is_primate,host_role_candidate,candidate_basis,role_confidence,needs_manual_review,review_priority
Chikungunya fever,Alphavirus chikungunya,Alphavirus chikungunya,3426298; 37124,Mus musculus,10090,mammalia,rodentia,muridae,TRUE,FALSE,both,in_gibb_etal=TRUE; in_empres_i=FALSE; deferred_broad_vesiculovirus=FALSE,Alphavirus chikungunya,Chikungunya fever,Isolation/Observation; PCR/Sequencing,VIRION,2,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,host_present_in_system,host appears in canonical WHO disease-pathogen-host backbone; role-specific reservoir/amplifier/incidental/dead-end evidence not assessed,low,TRUE,medium_ecology_triage
Chikungunya fever,Alphavirus chikungunya,Alphavirus chikungunya,37124,Rattus rattus,10117,mammalia,rodentia,muridae,TRUE,FALSE,both,in_gibb_etal=TRUE; in_empres_i=FALSE; deferred_broad_vesiculovirus=FALSE,Alphavirus chikungunya,Chikungunya fever,Antibodies,VIRION,1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,host_present_in_system,host appears in canonical WHO disease-pathogen-host backbone; role-specific reservoir/amplifier/incidental/dead-end evidence not assessed,low,TRUE,medium_ecology_triage
Chikungunya fever,Alphavirus chikungunya,Alphavirus chikungunya,37124,Xerus erythropus,327507,mammalia,rodentia,sciuridae,TRUE,FALSE,both,in_gibb_etal=TRUE; in_empres_i=FALSE; deferred_broad_vesiculovirus=FALSE,Alphavirus chikungunya,Chikungunya fever,Isolation/Observation,VIRION,1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,host_present_in_system,host appears in canonical WHO disease-pathogen-host backbone; role-specific reservoir/amplifier/incidental/dead-end evidence not assessed,low,TRUE,medium_ecology_triage
Chikungunya fever,Alphavirus chikungunya,Alphavirus chikungunya,3426298; 37124,Homo sapiens,9606,,,,TRUE,FALSE,both,in_gibb_etal=TRUE; in_empres_i=FALSE; deferred_broad_vesiculovirus=FALSE,Alphavirus chikungunya,Chikungunya fever,Isolation/Observation; Not specified; PCR/Sequencing; PCR/Sequencing,VIRION,2,TRUE,FALSE,,,,,host_present_in_system,host appears in canonical WHO disease-pathogen-host backbone; role-specific reservoir/amplifier/incidental/dead-end evidence not assessed,low,TRUE,medium_human_triage
Chikungunya fever,Alphavirus chikungunya,Alphavirus chikungunya,3426298,Glossophaga mutica,2994998,,,,TRUE,FALSE,both,in_gibb_etal=TRUE; in_empres_i=FALSE; deferred_broad_vesiculovirus=FALSE,Alphavirus chikungunya,Chikungunya fever,PCR/Sequencing,VIRION,1,FALSE,FALSE,,,,,host_present_in_system,host appears in canonical WHO disease-pathogen-host backbone; role-specific reservoir/amplifier/incidental/dead-end evidence not assessed,low,TRUE,standard_review
Chikungunya fever,Alphavirus chikungunya,Alphavirus chikungunya,3426298,Molossus nigricans,2997257,,,,TRUE,FALSE,both,in_gibb_etal=TRUE; in_empres_i=FALSE; deferred_broad_vesiculovirus=FALSE,Alphavirus chikungunya,Chikungunya fever,PCR/Sequencing,VIRION,1,FALSE,FALSE,,,,,host_present_in_system,host appears in canonical WHO disease-pathogen-host backbone; role-specific reservoir/amplifier/incidental/dead-end evidence not assessed,low,TRUE,standard_review
Chikungunya fever,Alphavirus chikungunya,Alphavirus chikungunya,37124,chlorocebus pygerythrus,60710,,,,TRUE,FALSE,both,in_gibb_etal=TRUE; in_empres_i=FALSE; deferred_broad_vesiculovirus=FALSE,Alphavirus chikungunya,Chikungunya fever,Antibodies,VIRION,1,FALSE,FALSE,,,,,host_present_in_system,host appears in canonical WHO disease-pathogen-host backbone; role-specific reservoir/amplifier/incidental/dead-end evidence not assessed,low,TRUE,standard_review
Chikungunya fever,Alphavirus chikungunya,Alphavirus chikungunya,37124,eulemur fulvus,13515,,,,TRUE,FALSE,both,in_gibb_etal=TRUE; in_empres_i=FALSE; deferred_broad_vesiculovirus=FALSE,Alphavirus chikungunya,Chikungunya fever,Antibodies,VIRION,1,FALSE,FALSE,,,,,host_present_in_system,host appears in canonical WHO disease-pathogen-host backbone; role-specific reservoir/amplifier/incidental/dead-end evidence not assessed,low,TRUE,standard_review
Chikungunya fever,Alphavirus chikungunya,Alphavirus chikungunya,37124,galago senegalensis,9465,,,,TRUE,FALSE,both,in_gibb_etal=TRUE; in_empres_i=FALSE; deferred_broad_vesiculovirus=FALSE,Alphavirus chikungunya,Chikungunya fever,Antibodies; Not specified,VIRION,1,FALSE,FALSE,,,,,host_present_in_system,host appears in canonical WHO disease-pathogen-host backbone; role-specific reservoir/amplifier/incidental/dead-end evidence not assessed,low,TRUE,standard_review
Crimean-Congo hemorrhagic fever,Orthonairovirus haemorrhagiae,Orthonairovirus haemorrhagiae,3052518,Bos taurus,9913,mammalia,artiodactyla,bovidae,TRUE,TRUE,both,in_gibb_etal=TRUE; in_empres_i=TRUE; deferred_broad_vesiculovirus=FALSE,Orthonairovirus haemorrhagiae,Crimean-Congo hemorrhagic fever,Isolation/Observation; Not specified; PCR/Sequencing,VIRION,1,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,host_present_in_system,host appears in canonical WHO disease-pathogen-host backbone; role-specific reservoir/amplifier/incidental/dead-end evidence not assessed,low,TRUE,high_livestock_triage
