role_modelling_feature_id,disease_name,species_role,species_name,tax_id,host_class,host_order,host_family,host_detection_method,host_direct_detection_supported,host_role_assignment,host_role_confidence,host_role_assignment_status,host_role_needs_manual_review,modelling_role_proxy,modelling_role_proxy_basis,modelling_role_proxy_confidence,modelling_role_proxy_rule_id,modelling_role_proxy_needs_review,host_role_bucket,host_role_evidence_basis,host_role_weight,role_proxy_applied,group_proxy_applied,profile_group_proxy,feature_rule_version,taxonomy_ok,host_detection_tier,profile_broad,profile_supported,profile_strong,profile_strict,biological_evidence_tier,tier_rule_id,host_evidence_missingness_reason
influenza h7n9 avian influenza|larus belcheri|328041,Influenza (H7N9 avian influenza),host,Larus belcheri,328041,aves,charadriiformes,laridae,PCR/Sequencing,TRUE,host_presence_only,low,candidate_only,TRUE,wild_aquatic_bird_reservoir_group_proxy,avian_influenza_group_rule_wild_aquatic_birds,medium,avian_influenza_group_proxy_v0_1,TRUE,reservoir_or_amplifying_host,disease_group_proxy,0.75,TRUE,TRUE,TRUE,host_proxy_rules_v0_1,TRUE,pcr_or_sequencing,TRUE,TRUE,FALSE,FALSE,supported,host_v0_1,host_role_presence_only; host_role_review_needed
influenza h7n9 avian influenza|larus cachinnans|119609,Influenza (H7N9 avian influenza),host,Larus cachinnans,119609,aves,charadriiformes,laridae,PCR/Sequencing,TRUE,host_presence_only,low,candidate_only,TRUE,wild_aquatic_bird_reservoir_group_proxy,avian_influenza_group_rule_wild_aquatic_birds,medium,avian_influenza_group_proxy_v0_1,TRUE,reservoir_or_amplifying_host,disease_group_proxy,0.75,TRUE,TRUE,TRUE,host_proxy_rules_v0_1,TRUE,pcr_or_sequencing,TRUE,TRUE,FALSE,FALSE,supported,host_v0_1,host_role_presence_only; host_role_review_needed
influenza h7n9 avian influenza|larus californicus|126681,Influenza (H7N9 avian influenza),host,Larus californicus,126681,aves,charadriiformes,laridae,PCR/Sequencing,TRUE,host_presence_only,low,candidate_only,TRUE,wild_aquatic_bird_reservoir_group_proxy,avian_influenza_group_rule_wild_aquatic_birds,medium,avian_influenza_group_proxy_v0_1,TRUE,reservoir_or_amplifying_host,disease_group_proxy,0.75,TRUE,TRUE,TRUE,host_proxy_rules_v0_1,TRUE,pcr_or_sequencing,TRUE,TRUE,FALSE,FALSE,supported,host_v0_1,host_role_presence_only; host_role_review_needed
influenza h7n9 avian influenza|larus canus|28681,Influenza (H7N9 avian influenza),host,Larus canus,28681,aves,charadriiformes,laridae,Antibodies; PCR/Sequencing,TRUE,host_presence_only,low,candidate_only,TRUE,wild_aquatic_bird_reservoir_group_proxy,avian_influenza_group_rule_wild_aquatic_birds,medium,avian_influenza_group_proxy_v0_1,TRUE,reservoir_or_amplifying_host,disease_group_proxy,0.75,TRUE,TRUE,TRUE,host_proxy_rules_v0_1,TRUE,pcr_or_sequencing,TRUE,TRUE,FALSE,FALSE,supported,host_v0_1,host_role_presence_only; host_role_review_needed
influenza h7n9 avian influenza|larus crassirostris|179808,Influenza (H7N9 avian influenza),host,Larus crassirostris,179808,aves,charadriiformes,laridae,Antibodies; PCR/Sequencing,TRUE,host_presence_only,low,candidate_only,TRUE,wild_aquatic_bird_reservoir_group_proxy,avian_influenza_group_rule_wild_aquatic_birds,medium,avian_influenza_group_proxy_v0_1,TRUE,reservoir_or_amplifying_host,disease_group_proxy,0.75,TRUE,TRUE,TRUE,host_proxy_rules_v0_1,TRUE,pcr_or_sequencing,TRUE,TRUE,FALSE,FALSE,supported,host_v0_1,host_role_presence_only; host_role_review_needed
influenza h7n9 avian influenza|larus delawarensis|126683,Influenza (H7N9 avian influenza),host,Larus delawarensis,126683,aves,charadriiformes,laridae,Antibodies; PCR/Sequencing,TRUE,host_presence_only,low,candidate_only,TRUE,wild_aquatic_bird_reservoir_group_proxy,avian_influenza_group_rule_wild_aquatic_birds,medium,avian_influenza_group_proxy_v0_1,TRUE,reservoir_or_amplifying_host,disease_group_proxy,0.75,TRUE,TRUE,TRUE,host_proxy_rules_v0_1,TRUE,pcr_or_sequencing,TRUE,TRUE,FALSE,FALSE,supported,host_v0_1,host_role_presence_only; host_role_review_needed
influenza h7n9 avian influenza|larus dominicanus|37036,Influenza (H7N9 avian influenza),host,Larus dominicanus,37036,aves,charadriiformes,laridae,PCR/Sequencing,TRUE,host_presence_only,low,candidate_only,TRUE,wild_aquatic_bird_reservoir_group_proxy,avian_influenza_group_rule_wild_aquatic_birds,medium,avian_influenza_group_proxy_v0_1,TRUE,reservoir_or_amplifying_host,disease_group_proxy,0.75,TRUE,TRUE,TRUE,host_proxy_rules_v0_1,TRUE,pcr_or_sequencing,TRUE,TRUE,FALSE,FALSE,supported,host_v0_1,host_role_presence_only; host_role_review_needed
influenza h7n9 avian influenza|larus fuscus|8915,Influenza (H7N9 avian influenza),host,Larus fuscus,8915,aves,charadriiformes,laridae,PCR/Sequencing,TRUE,host_presence_only,low,candidate_only,TRUE,wild_aquatic_bird_reservoir_group_proxy,avian_influenza_group_rule_wild_aquatic_birds,medium,avian_influenza_group_proxy_v0_1,TRUE,reservoir_or_amplifying_host,disease_group_proxy,0.75,TRUE,TRUE,TRUE,host_proxy_rules_v0_1,TRUE,pcr_or_sequencing,TRUE,TRUE,FALSE,FALSE,supported,host_v0_1,host_role_presence_only; host_role_review_needed
influenza h7n9 avian influenza|larus glaucescens|119606,Influenza (H7N9 avian influenza),host,Larus glaucescens,119606,aves,charadriiformes,laridae,PCR/Sequencing,TRUE,host_presence_only,low,candidate_only,TRUE,wild_aquatic_bird_reservoir_group_proxy,avian_influenza_group_rule_wild_aquatic_birds,medium,avian_influenza_group_proxy_v0_1,TRUE,reservoir_or_amplifying_host,disease_group_proxy,0.75,TRUE,TRUE,TRUE,host_proxy_rules_v0_1,TRUE,pcr_or_sequencing,TRUE,TRUE,FALSE,FALSE,supported,host_v0_1,host_role_presence_only; host_role_review_needed
influenza h7n9 avian influenza|larus glaucoides|118194,Influenza (H7N9 avian influenza),host,Larus glaucoides,118194,aves,charadriiformes,laridae,PCR/Sequencing,TRUE,host_presence_only,low,candidate_only,TRUE,wild_aquatic_bird_reservoir_group_proxy,avian_influenza_group_rule_wild_aquatic_birds,medium,avian_influenza_group_proxy_v0_1,TRUE,reservoir_or_amplifying_host,disease_group_proxy,0.75,TRUE,TRUE,TRUE,host_proxy_rules_v0_1,TRUE,pcr_or_sequencing,TRUE,TRUE,FALSE,FALSE,supported,host_v0_1,host_role_presence_only; host_role_review_needed
influenza h7n9 avian influenza|larus glaucoides thayeri|126718,Influenza (H7N9 avian influenza),host,Larus glaucoides thayeri,126718,,,,PCR/Sequencing,TRUE,host_presence_only,low,candidate_only,TRUE,host_presence_group_proxy,avian_influenza_group_rule_taxonomy_missing_or_other_host,low,avian_influenza_group_proxy_v0_1,TRUE,host_presence_only,disease_group_proxy,0.1,TRUE,TRUE,TRUE,host_proxy_rules_v0_1,TRUE,pcr_or_sequencing,TRUE,TRUE,FALSE,FALSE,supported,host_v0_1,host_role_presence_only; host_role_review_needed
influenza h7n9 avian influenza|larus hyperboreus|119637,Influenza (H7N9 avian influenza),host,Larus hyperboreus,119637,aves,charadriiformes,laridae,PCR/Sequencing,TRUE,host_presence_only,low,candidate_only,TRUE,wild_aquatic_bird_reservoir_group_proxy,avian_influenza_group_rule_wild_aquatic_birds,medium,avian_influenza_group_proxy_v0_1,TRUE,reservoir_or_amplifying_host,disease_group_proxy,0.75,TRUE,TRUE,TRUE,host_proxy_rules_v0_1,TRUE,pcr_or_sequencing,TRUE,TRUE,FALSE,FALSE,supported,host_v0_1,host_role_presence_only; host_role_review_needed
