Pathogen,PathogenTaxID,PHEIC risk,Disease_name,HostTaxID,Host,PathogenClass,PathogenOrder,PathogenFamily,PathogenGenus,HostPhylum,HostClass,HostFamily,HostOrder,DetectionMethod,high_quality_detection,downstream_default_include,downstream_review_reason,MainSource,PathogenType,in_gibb_etal,in_empres_i,modelling_scope_status,modelling_scope_reason,Host_raw,host_name_cleaning_method,source_database,source_assoc_id,source_host_flag_id,host_taxonomy_ready,host_taxonomy_flag,is_human_host,is_model_or_lab_host,is_domestic_or_livestock_hint,host_network_source,source_table,possible_cross_source_duplicate_flag,analysis_unit_id,master_row,disease_master_name,resolved_pathogen_name,host_query_bucket,match_review_flag,shared_species_proxy_flag,match_review_notes,host_count_for_analysis_unit,host_count_flag
salmonella enterica,28901,High,Non-typhoidal salmonellosis,113544,Arapaima gigas,gammaproteobacteria,enterobacterales,enterobacteriaceae,salmonella,chordata,actinopterygii,osteoglossidae,osteoglossiformes,Isolation/Observation,TRUE,TRUE,,CLOVER,bacteria,,,review_before_modelling,Analysis unit is still marked review; do not use as default modelling scope until resolved.,Arapaima gigas,existing_who_network_host,CLOVER,,,TRUE,species_like,FALSE,FALSE,FALSE,who,combined_who_network.csv,FALSE,,,,,,,,,,
salmonella enterica,28901,High,Non-typhoidal salmonellosis,585464,Ardea intermedia,gammaproteobacteria,enterobacterales,enterobacteriaceae,salmonella,chordata,aves,ardeidae,pelecaniformes,Isolation/Observation,TRUE,TRUE,,CLOVER,bacteria,,,review_before_modelling,Analysis unit is still marked review; do not use as default modelling scope until resolved.,Ardea intermedia,existing_who_network_host,CLOVER,,,TRUE,species_like,FALSE,FALSE,FALSE,who,combined_who_network.csv,FALSE,,,,,,,,,,
salmonella enterica,28901,High,Non-typhoidal salmonellosis,29156,Austrelaps superbus,gammaproteobacteria,enterobacterales,enterobacteriaceae,salmonella,chordata,reptilia,elapidae,squamata,Isolation/Observation,TRUE,TRUE,,CLOVER,bacteria,,,review_before_modelling,Analysis unit is still marked review; do not use as default modelling scope until resolved.,Austrelaps superbus,existing_who_network_host,CLOVER,,,TRUE,species_like,FALSE,FALSE,FALSE,who,combined_who_network.csv,FALSE,,,,,,,,,,
salmonella enterica,28901,High,Non-typhoidal salmonellosis,96718,Bellatorias frerei,gammaproteobacteria,enterobacterales,enterobacteriaceae,salmonella,chordata,reptilia,scincidae,squamata,Isolation/Observation,TRUE,TRUE,,CLOVER,bacteria,,,review_before_modelling,Analysis unit is still marked review; do not use as default modelling scope until resolved.,Bellatorias frerei,existing_who_network_host,CLOVER,,,TRUE,species_like,FALSE,FALSE,FALSE,who,combined_who_network.csv,FALSE,,,,,,,,,,
salmonella enterica,28901,High,Non-typhoidal salmonellosis,8695,Bitis nasicornis,gammaproteobacteria,enterobacterales,enterobacteriaceae,salmonella,chordata,reptilia,viperidae,squamata,Isolation/Observation,TRUE,TRUE,,CLOVER,bacteria,,,review_before_modelling,Analysis unit is still marked review; do not use as default modelling scope until resolved.,Bitis nasicornis,existing_who_network_host,CLOVER,,,TRUE,species_like,FALSE,FALSE,FALSE,who,combined_who_network.csv,FALSE,,,,,,,,,,
salmonella enterica,28901,High,Non-typhoidal salmonellosis,8574,Boa constrictor,gammaproteobacteria,enterobacterales,enterobacteriaceae,salmonella,chordata,reptilia,boidae,squamata,Isolation/Observation,TRUE,TRUE,,CLOVER,bacteria,,,review_before_modelling,Analysis unit is still marked review; do not use as default modelling scope until resolved.,Boa constrictor,existing_who_network_host,CLOVER,,,TRUE,species_like,FALSE,FALSE,FALSE,who,combined_who_network.csv,FALSE,,,,,,,,,,
salmonella enterica,28901,High,Non-typhoidal salmonellosis,292868,Boaedon olivaceus,gammaproteobacteria,enterobacterales,enterobacteriaceae,salmonella,chordata,reptilia,lamprophiidae,squamata,Isolation/Observation,TRUE,TRUE,,CLOVER,bacteria,,,review_before_modelling,Analysis unit is still marked review; do not use as default modelling scope until resolved.,Boaedon olivaceus,existing_who_network_host,CLOVER,,,TRUE,species_like,FALSE,FALSE,FALSE,who,combined_who_network.csv,FALSE,,,,,,,,,,
salmonella enterica,28901,High,Non-typhoidal salmonellosis,92519,Boiga irregularis,gammaproteobacteria,enterobacterales,enterobacteriaceae,salmonella,chordata,reptilia,colubridae,squamata,Isolation/Observation,TRUE,TRUE,,CLOVER,bacteria,,,review_before_modelling,Analysis unit is still marked review; do not use as default modelling scope until resolved.,Boiga irregularis,existing_who_network_host,CLOVER,,,TRUE,species_like,FALSE,FALSE,FALSE,who,combined_who_network.csv,FALSE,,,,,,,,,,
salmonella enterica,28901,High,Non-typhoidal salmonellosis,9913,Bos taurus,gammaproteobacteria,enterobacterales,enterobacteriaceae,salmonella,chordata,mammalia,bovidae,artiodactyla,Isolation/Observation,TRUE,TRUE,,CLOVER,bacteria,,,review_before_modelling,Analysis unit is still marked review; do not use as default modelling scope until resolved.,Bos taurus,existing_who_network_host,CLOVER,,,TRUE,species_like,FALSE,FALSE,TRUE,who,combined_who_network.csv,FALSE,,,,,,,,,,
salmonella enterica,28901,High,Non-typhoidal salmonellosis,9913,Bos taurus,gammaproteobacteria,enterobacterales,enterobacteriaceae,salmonella,chordata,mammalia,bovidae,artiodactyla,Not specified,FALSE,FALSE,detection_method=Not specified,CLOVER,bacteria,,,review_before_modelling,Analysis unit is still marked review; do not use as default modelling scope until resolved.,Bos taurus,existing_who_network_host,CLOVER,,,TRUE,species_like,FALSE,FALSE,TRUE,who,combined_who_network.csv,FALSE,,,,,,,,,,
