species,model_file_count,model_paths,has_top_level_model,has_nested_model,nested_contexts
Lasiopodomys brandtii,1,Lasiopodomys brandtii/Lasiopodomys brandtii.rds,TRUE,FALSE,
Lasiurus borealis,1,Lasiurus borealis/Lasiurus borealis.rds,TRUE,FALSE,
Leopardus geoffroyi,1,Leopardus geoffroyi/Leopardus geoffroyi.rds,TRUE,FALSE,
Leopardus pardalis,1,Leopardus pardalis/Leopardus pardalis.rds,TRUE,FALSE,
Leptailurus serval,1,Leptailurus serval/Leptailurus serval.rds,TRUE,FALSE,
Lepus europaeus,1,Lepus europaeus/Lepus europaeus.rds,TRUE,FALSE,
Lialis burtonis,1,Lialis burtonis/Lialis burtonis.rds,TRUE,FALSE,
Lichanura trivirgata,1,Lichanura trivirgata/Lichanura trivirgata.rds,TRUE,FALSE,
Lontra canadensis,1,Lontra canadensis/Lontra canadensis.rds,TRUE,FALSE,
Lontra provocax,1,Lontra provocax/Lontra provocax.rds,TRUE,FALSE,
Lophuromys sikapusi,1,Lophuromys sikapusi/Lophuromys sikapusi.rds,TRUE,FALSE,
Lutra lutra,1,Lutra lutra/Lutra lutra.rds,TRUE,FALSE,
Lycalopex gymnocercus,1,Lycalopex gymnocercus/Lycalopex gymnocercus.rds,TRUE,FALSE,
Lycaon pictus,1,Lycaon pictus/Lycaon pictus.rds,TRUE,FALSE,
Lynx canadensis,1,Lynx canadensis/Lynx canadensis.rds,TRUE,FALSE,
Lynx lynx,1,Lynx lynx/Lynx lynx.rds,TRUE,FALSE,
Lynx rufus,1,Lynx rufus/Lynx rufus.rds,TRUE,FALSE,
Macaca fascicularis,1,Macaca fascicularis/Macaca fascicularis.rds,TRUE,FALSE,
Macaca fuscata,1,Macaca fuscata/Macaca fuscata.rds,TRUE,FALSE,
Macaca mulatta,1,Macaca mulatta/Macaca mulatta.rds,TRUE,FALSE,
Macaca nemestrina,1,Macaca nemestrina/Macaca nemestrina.rds,TRUE,FALSE,
Macaca radiata,1,Macaca radiata/Macaca radiata.rds,TRUE,FALSE,
Macaca sylvanus,1,Macaca sylvanus/Macaca sylvanus.rds,TRUE,FALSE,
Macroglossus sobrinus,1,Macroglossus sobrinus/Macroglossus sobrinus.rds,TRUE,FALSE,
Macropus fuliginosus,1,Macropus fuliginosus/Macropus fuliginosus.rds,TRUE,FALSE,
Mandrillus sphinx,1,Mandrillus sphinx/Mandrillus sphinx.rds,TRUE,FALSE,
Manis javanica,1,Manis javanica/Manis javanica.rds,TRUE,FALSE,
Manis pentadactyla,1,Manis pentadactyla/Manis pentadactyla.rds,TRUE,FALSE,
Marmosa demerarae,1,Marmosa demerarae/Marmosa demerarae.rds,TRUE,FALSE,
Marmosa murina,1,Marmosa murina/Marmosa murina.rds,TRUE,FALSE,
Marmosa robinsoni,1,Marmosa robinsoni/Marmosa robinsoni.rds,TRUE,FALSE,
Marmota baibacina,1,Marmota baibacina/Marmota baibacina.rds,TRUE,FALSE,
Marmota caudata,1,Marmota caudata/Marmota caudata.rds,TRUE,FALSE,
Marmota himalayana,1,Marmota himalayana/Marmota himalayana.rds,TRUE,FALSE,
Marmota monax,1,Marmota monax/Marmota monax.rds,TRUE,FALSE,
Marmota sibirica,1,Marmota sibirica/Marmota sibirica.rds,TRUE,FALSE,
Martes americana,1,Martes americana/Martes americana.rds,TRUE,FALSE,
Martes foina,1,Martes foina/Martes foina.rds,TRUE,FALSE,
Martes pennanti,1,Martes pennanti/Martes pennanti.rds,TRUE,FALSE,
Mastomys erythroleucus,1,Mastomys erythroleucus/Mastomys erythroleucus.rds,TRUE,FALSE,
Mastomys huberti,1,Mastomys huberti/Mastomys huberti.rds,TRUE,FALSE,
Mastomys natalensis,1,Mastomys natalensis/Mastomys natalensis.rds,TRUE,FALSE,
Meles anakuma,1,Meles anakuma/Meles anakuma.rds,TRUE,FALSE,
