species,Water,Evergreen Needleleaf forest,Evergreen Broadleaf forest,Deciduous Needleleaf forest,Deciduous Broadleaf forest,Mixed forest,Closed shrublands,Open shrublands,Woody savannas,Savannas,Grasslands,Permanent wetlands,Croplands,Urban and built-up,Cropland/Natural vegetation mosaic,Snow and ice,Barren or sparsely vegetated
psitteuteles,1,1,1,1,1,1,0.65,0.65,0.325,0,0,1,0.65,0.65,0.325,0,0
psittinus,0.325,0.65,0.65,0.65,0.65,0.65,0.325,0,0,0,0.325,0.65,0.65,0.65,0.325,0,0.65
psittirostra,0,1,1,1,1,1,0.5,0,0,0,0,0,0,0,0,0,0
psittrichas,0,1,1,1,1,1,0.5,0,0,0,0,0,0,0,0,0,0
psophia,0,1,1,1,1,1,0.5,0,0,0,0,0,0,0,0,0,0
psophocichla,0,0,0,0,0,0,0.65,0.65,1,1,0.65,0,0.65,0.325,0.325,0.325,0.325
psophodes,0.65,1,1,1,1,1,1,1,0.5,0,0.325,0.65,0.65,0,0.325,0,0
ptenochirus,0,1,1,1,1,1,0.5,0,0,0,0.125,0,0,0.25,0.125,0,0.25
pteralopex,0,0.75,0.75,0.75,0.75,0.75,0.375,0,0,0,0.125,0,0,0.125,0,0,0
pteridophora,0,1,1,1,1,1,0.5,0,0,0,0,0,0,0,0,0,0
pternistis,1,1,1,1,1,1,1,1,1,1,1,1,0.65,0.65,0.325,0.5,0.65
pterocles,0.65,0.65,0.65,0.65,0.65,0.65,1,1,1,1,1,0.65,0.65,0,0.325,0,1
pterodroma,1,1,1,1,1,1,1,1,0.5,0.5,1,0.5,0,0,0,0.5,1
pteroglossus,0.65,1,1,1,1,1,0.65,0.65,0.65,0.65,0.325,0.65,0.65,0,0.325,0,0
pteromys,0,0.75,0.75,0.75,0.75,0.75,0.375,0,0,0,0,0,0,0,0,0.375,0
pteromyscus,0,0.75,0.75,0.75,0.75,0.75,0.375,0,0,0,0,0,0,0,0,0,0
pteronetta,1,1,1,1,1,1,0.5,0,0.65,0.65,0.5,0.65,0,0,0,0,0
pteronotus,0,1,1,1,1,1,0.5,0,0.75,0.75,0.375,0,0,0,0,0,0
pteronura,1,0,0,0,0,0,0.5,0.5,0,0,0.5,1,0,0,0,0,0
pterophanes,0,1,1,1,1,1,0.65,0.65,0.325,0,0.65,0,0,0,0,0.325,0.325
pteroptochos,0,1,1,1,1,1,1,1,0.5,0,0,0,0.65,0.65,0.325,0.5,0.65
pteropus,0.5,1,1,1,1,1,1,1,0.75,0.75,0.5,1,1,1,0.5,0,1
pteruthius,0,1,1,1,1,1,0.65,0.65,0.325,0,0,0,0,0,0,0.325,0.325
ptilinopus,0.5,1,1,1,1,1,1,1,0.65,0.65,0.325,1,1,0.65,0.5,0.5,0.65
ptilocercus,0,0.75,0.75,0.75,0.75,0.75,0.375,0,0,0,0.125,0,0.25,0.125,0.125,0,0
ptilocichla,0,1,1,1,1,1,0.5,0,0,0,0,0,0,0.65,0.325,0,0.65
ptilogonys,0,1,1,1,1,1,1,1,0.5,0,0,0,0.65,0.65,0.325,0.5,0.65
ptilonorhynchus,0,1,1,1,1,1,0.5,0,0,0,0.325,0,0,0.65,0,0,0
ptilopachus,0,1,1,1,1,1,1,1,1,1,0.5,0,0.65,0,0.325,0,1
ptiloprora,0,1,1,1,1,1,0.65,0.65,0.325,0,0,0,0,0.65,0.325,0.325,0.65
ptilopsis,0,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.325,0,0,0.65,0,0,0.25
ptiloris,0.325,1,1,1,1,1,0.5,0,0,0,0,0.65,0.65,0,0.325,0,0
ptilorrhoa,0,1,1,1,1,1,0.5,0,0,0,0,0,0,0,0,0,0
ptilostomus,0.325,0,0,0,0,0,0,0,1,1,1,0.65,0.65,0.65,0.65,0,0
ptychoramphus,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ptyrticus,0.65,1,1,1,1,1,0.65,0.65,0.325,0,0,0.65,0,0,0,0,0
pucrasia,0,0.65,0.65,0.65,0.65,0.65,0.325,0,0,0,0,0,0,0,0,0,0
pudu,0,1,1,1,1,1,0.5,0.25,0.125,0,0.75,0,0,0,0,0.375,0.375
puffinus,1,1,1,1,1,1,1,1,0.5,0,1,0,0,0,0,0.5,1
pulsatrix,0.65,1,1,1,1,1,0.5,0,0.65,0.65,0.325,0.65,0.65,0.65,0.325,0,0.65
puma,0.375,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.375,0,0,0,0.375,0.75
punomys,0.375,0,0,0,0,0,0.75,0.75,0.375,0,0.75,0.375,0.25,0,0.125,0.375,0.75
purpureicephalus,0.65,0.65,0.65,0.65,0.65,0.65,0.325,0.65,0.325,0,0,0.65,0.65,0.65,0.325,0,0.65
pusa,1,0,0,0,0,0,0,0,0,0,0.5,1,0,0,0,0,1
pycnonotus,1,1,1,1,1,1,1,1,1,1,0.65,1,0.65,0.65,0.325,0.325,1
pycnoptilus,0,1,1,1,1,1,0.5,0,0,0,0,0,0,0,0,0,0
pycnopygius,0,1,1,1,1,1,1,1,0.65,0.65,0.325,0,0,0.65,0.325,0,0.65
pygarrhichas,0,1,1,1,1,1,0.5,0,0,0,0,0,0,0,0,0,0
pygathrix,0,1,1,1,1,1,0.5,0,0,0,0,0,0,0.25,0.125,0,0.25
pygeretmus,0,0,0,0,0,0,0.75,0.75,0.375,0,0.375,0,0,0,0,0,0.75
pygiptila,0,1,1,1,1,1,0.5,0,0,0,0,0.5,0,0,0,0,0
pygochelidon,0,0,0,0,0,0,0,0,0,0,0.65,0,0.65,0.65,0.325,0,0.65
pygoderma,0,1,1,1,1,1,0.5,0,0,0,0,0,0,0.25,0,0,0
pygoscelis,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.5,1
pyrenestes,0.65,1,1,1,1,1,0.65,0.65,0.325,0,0.65,0.65,0,0.325,0,0,0
pyriglena,0,1,1,1,1,1,0.5,0,0,0,0,0,0.65,0,0.325,0,0
pyrilia,0,1,1,1,1,1,0.5,0,0,0,0,0.5,0.65,0.65,0.325,0,0.65
pyrocephalus,0,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.325,0,0.65,0,0.325,0,0
pyroderus,0,1,1,1,1,1,0.5,0,0,0,0,0,0,0,0,0,0
pyrrhocoma,0,0.65,0.65,0.65,0.65,0.65,0.325,0,0,0,0,0,0,0,0,0,0
pyrrhocorax,0.65,0,0,0,0,0,0.325,0.65,0.325,0,0.65,0,0.65,0.65,0.325,0,1
pyrrholaemus,0.65,0,0,0,0,0,1,1,0.65,0.65,0.325,0.65,0,0,0,0,0
pyrrhomyias,0,1,1,1,1,1,0.5,0,0,0,0,0,0,0.65,0.325,0,0.65
pyrrhoplectes,0,0,0,0,0,0,1,1,0.5,0,0,0,0,0,0,0.5,0.5
pyrrhula,0,1,1,1,1,1,1,1,0.5,0,0.325,0,0.65,0.65,0.325,0.325,0.325
pyrrhura,0,1,1,1,1,1,0.65,0.65,0.65,0.65,0.65,0.325,0.65,0.65,0.325,0.325,0.65
pyrrhurus,0.65,1,1,1,1,1,0.65,0.65,0.65,0.65,0.325,0.65,0,0,0,0,0
pyrroglaux,0.325,0.65,0.65,0.65,0.65,0.65,0.325,0,0,0,0,0.65,0,0.65,0,0,0
pytilia,0,0.65,0.65,0.65,0.65,0.65,1,1,1,1,0.65,0,0.65,0,0.325,0,0
quelea,0.65,0,0,0,0,0,0.65,0.65,0.65,0.65,1,0.65,1,0,0.5,0,0
querula,0,1,1,1,1,1,0.5,0,0,0,0,0,0,0,0,0,0
quiscalus,1,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0,0.325,0.65,1,0.65,1,0.325,0,0.65
radjah,0.65,0,0,0,0,0,0,0,0,0,0.65,0.65,0,0,0,0,0
rallicula,0,1,1,1,1,1,0.5,0,0,0,0,0,0,0,0,0,0
rallina,0.65,1,1,1,1,1,0.65,0.65,0.325,0,0.65,1,0.65,0,0.65,0.325,0.325
rallus,1,1,1,1,1,1,0.5,0.5,0,0,1,1,0,0,0.65,0.325,0.325
ramphastos,0.325,1,1,1,1,1,0.65,0.65,0.65,0.65,0.325,0.65,0.65,0.65,0.325,0,0.65
ramphiculus,0.325,1,1,1,1,1,0.5,0,0,0,0,0.65,0,0,0,0,0
ramphocaenus,0,1,1,1,1,1,0.65,0.65,0.325,0,0,0,0,0.65,0.325,0,0.65
ramphocelus,0.325,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.325,0,0.325,0.65,0.65,1,0.5,0,1
ramphocinclus,0,1,1,1,1,1,1,1,0.5,0,0,0,0,0,0,0,0
ramphodon,0,1,1,1,1,1,0.5,0,0,0,0,0,0,0,0,0,0
ramphomicron,0,1,1,1,1,1,0.5,0,0,0,1,0,0,0,0,0.5,0.5
ramphotrigon,0.325,1,1,1,1,1,0.65,0.65,0.65,0.65,0.325,0.65,0.65,0.65,0.325,0,0.65
ramsayornis,0.65,1,1,1,1,1,1,1,1,1,0.5,0.65,0,0.65,0,0,0
randia,0,1,1,1,1,1,0.5,0,0,0,0,0,0,0,0,0,0
rangifer,0,1,1,0.5,0.5,0.5,0,0,0,0,1,0,0,0,0,0.5,0.5
raphicerus,0,0,0,0,0,0,0.75,0.75,0.75,0.75,0.75,0,0.25,0,0.125,0.375,0.375
raphus,0,1,1,1,1,1,0.5,0,0,0,0,0,0,0,0,0,0
rattus,0.75,1,1,1,1,1,1,1,0.75,0.75,1,1,1,0.75,0.5,0.5,0.75
ratufa,0,1,1,1,1,1,0.5,0,0,0,0,0,0.25,0,0.125,0,0
recurvirostra,0.65,0,0,0,0,0,0,0.5,0,0,0.65,1,0,0,0,0,0
redunca,0.375,0,0,0,0,0,0.75,0.75,0.25,0.375,0.75,0.375,0,0,0,0.375,0.75
regulus,0,1,1,1,1,1,1,1,0.5,0,0.325,0,0,0.325,0,0.5,0.5
reinwardtoena,0,1,1,1,1,1,0.5,0,0,0,0,0,0,0,0,0,0
reithrodon,0,0,0,0,0,0,0.75,0.75,0,0.375,0.75,0,0,0,0,0.375,0
reithrodontomys,0.375,1,1,1,1,1,0.75,0.75,0.375,0.375,0.75,0.75,0.75,0.75,0.375,0,0.75
remiz,0.65,1,1,1,1,1,1,1,1,1,0.65,1,0.65,0.65,0.325,0.325,0.325
rhabdomys,0,0,0,0,0,0,0.75,0.75,0.75,0.75,0.375,0,0.75,0.75,0.375,0,0
rhabdornis,0,1,1,1,1,1,0.5,0,0,0,0,0,0,0,0,0,0
rhabdotorrhinus,0,1,1,1,1,1,0.5,0,0,0,0,0.5,0,0,0,0,0
rhagologus,0,1,1,1,1,1,0.5,0,0,0,0,0,0,0.65,0.325,0,0.65
rhagomys,0,0.75,0.75,0.75,0.75,0.75,0.375,0,0,0,0,0,0.25,0.25,0.125,0,0.25
rhamphococcyx,0,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.325,0,0,0,0.65,0,0.325,0,0
rhamphocoris,0,0,0,0,0,0,0.65,0.65,0.325,0.325,0.65,0,0,0,0,0,1
rhaphidura,0.65,1,1,1,1,1,0.5,0.325,0,0,0.325,0.65,0.65,0,0.325,0,0
rhea,0.325,0,0,0,0,0,0.65,0.65,1,1,1,0.325,0,0,0,0.5,0.5
rhegmatorhina,0,1,1,1,1,1,0.5,0,0,0,0,0.125,0,0,0,0,0
rheinardia,0,1,1,1,1,1,0.5,0,0,0,0,0,0,0,0,0,0
rheithrosciurus,0,0.75,0.75,0.75,0.75,0.75,0.375,0,0,0,0,0,0,0,0,0,0
rheomys,0.75,0.75,0.75,0.75,0.75,0.75,0.375,0,0,0,0,0.75,0,0,0,0,0
rhinoceros,1,1,1,1,1,1,0.5,0.5,0,0,1,1,0,0,0,0,0
rhinocrypta,0,0,0,0,0,0,1,1,1,1,0.5,0,0,0,0,0,0
rhinolophus,0.5,1,1,1,1,1,0.75,0.75,0.75,0.75,0.75,1,0.75,1,0.5,0.375,1
rhinomyias,0.325,1,1,1,1,1,0.65,0.65,0.325,0,0,0.65,0.65,0,0.325,0,0
rhinonicteris,0,0,0,0,0,0,0,0,0.75,0.75,0.375,0,0,0.25,0,0,0
rhinophylla,0,1,1,1,1,1,0.5,0,0,0,0,0,0,0,0,0,0
rhinopithecus,0,1,1,1,1,1,0.5,0,0,0,0,0,0,0,0,0,0
rhinoplax,0,1,1,1,1,1,0.5,0,0,0,0,0,0,0,0,0,0
rhinopoma,0,1,1,1,1,1,0.75,0.75,0.375,0.375,0.75,0,1,1,0.5,0,1
rhinopomastus,1,1,1,1,1,1,1,1,1,1,0.65,1,0,0,0,0.5,0.5
rhinoptilus,0,0,0,0,0,0,1,1,1,1,0.5,0,0,0,0,0,0
rhinortha,0,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.325,0,0,0,0.65,0,0.325,0,0
rhinosciurus,0,0.75,0.75,0.75,0.75,0.75,0.375,0,0,0,0,0,0,0,0,0,0
rhipidomys,0.375,0.75,0.75,0.75,0.75,0.75,0.375,0,0.75,0.75,0.75,0.375,0.75,0.375,0.375,0,0.25
rhipidura,0.65,1,1,1,1,1,1,1,1,1,0.65,1,0.65,0.65,0.325,0.325,0.65
rhizomys,0,0.75,0.75,0.75,0.75,0.75,0.375,0,0,0,0.25,0,0.75,0.25,0.375,0.125,0.25
rhizothera,0,1,1,1,1,1,0.5,0,0,0,0,0,0,0,0,0,0
rhodacanthis,0,1,1,1,1,1,0.5,0,0,0,0,0,0,0,0,0,0
rhodinocichla,0,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.325,0,0,0,0.65,0.65,0.325,0,0.65
rhodonessa,1,1,1,1,1,1,0.5,0,0,0,0.5,0,0,0,0,0,0
rhodopechys,0,0,0,0,0,0,0,0,0,0.5,1,0,0.65,0,0.325,0,0.65
rhodophoneus,0,0,0,0,0,0,1,1,0.5,0.5,1,0,0,0,0,0,0
rhodopis,0,0,0,0,0,0,0.65,0.65,0.325,0.325,0.65,0,0,0.325,0,0.325,0.325
rhodospingus,0,1,1,1,1,1,0.65,0.65,0.325,0,0,0,0,0,0,0,0
rhodostethia,0.65,0,0,0,0,0,0,0,0,0,1,0.5,0,0,0,1,0.5
rhodothraupis,0,1,1,1,1,1,1,1,0.5,0,0,0,0,0.65,0.325,0,0.65
rhogeessa,0,1,1,1,1,1,1,1,0.5,0,0.375,0,0.75,0.75,0.375,0,0.75
rhombomys,0,0,0,0,0,0,0.75,0.75,0.375,0,0.375,0,0.25,0,0.125,0,0.75
rhopocichla,0.325,0,0,0,0,0,0.65,0.65,0.325,0,0.325,0.65,0.65,0,0.325,0,0
rhopophilus,0,0,0,0,0,0,1,1,0.5,0.5,1,0,0,0,0,0.5,0.65
rhopornis,0,1,1,1,1,1,0.65,0.65,0.325,0,0,0,0,0,0,0,0
rhyacornis,1,1,1,1,1,1,0.5,0,0,0,0,1,0,0,0,0,0
rhynchocyclus,1,1,1,1,1,1,0.5,0,0,0,0,1,0,0,0,0,0
rhynchocyon,0,1,1,1,1,1,1,1,0.5,0,0,0,0,1,0.5,0,1
rhynchogale,0,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.375,0,0,0,0,0,0
rhyncholestes,0,1,1,1,1,1,0.5,0,0,0,0,0,0,0,0,0.375,0
rhynchomeles,0,0.75,0.75,0.75,0.75,0.75,0.375,0,0,0,0,0,0,0,0,0,0
rhynchomys,0,0.75,0.75,0.75,0.75,0.75,0.375,0,0,0,0,0,0,0,0,0,0
rhynchonycteris,0,0.75,0.75,0.75,0.75,0.75,0.375,0,0,0,0,0,0,0,0,0,0
rhynchophanes,0,0,0,0,0,0,0,0,0,0,1,0,0.65,0,0.325,0,0
rhynchopsitta,0,1,1,1,1,1,0.5,0,0,0,0,0,0,0,0,0,0
rhynchortyx,0,1,1,1,1,1,0.5,0,0,0,0,0,0,0,0,0,0
rhynchospiza,0.65,0.65,0.65,0.65,0.65,0.65,1,1,0.5,0,0,0,0.65,0,0.325,0,0
rhynchostruthus,0,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.325,0.325,0.65,0,0,0,0,0,0.65
rhynchotus,0.325,0,0,0,0,0,1,1,1,1,0.65,0.325,0.65,0,0.325,0.5,0.5
rhynochetos,0,1,1,1,1,1,0.65,0.65,0.325,0,0,0,0,0,0,0,0
rhyticeros,0,1,1,1,1,1,1,1,0.65,0.65,0.325,0.325,0,0,0,0,0
rhytipterna,0,1,1,1,1,1,1,1,1,1,0.5,0.325,0,0,0,0,0
rigidipenna,0,0.65,0.65,0.65,0.65,0.65,0.325,0,0,0,0,0,0.65,0,0.325,0,0
rimator,0,1,1,1,1,1,0.65,0.65,0.325,0,0,0,0,0,0,0.325,0.325
riparia,1,0.65,0.65,0.65,0.65,0.65,0.65,0.65,1,1,1,1,0.65,0,0.325,0,0
rissa,1,0,0,0,0,0,0,0,0,0,0,0.125,0,0,0,0,1
robsonius,0,1,1,1,1,1,0.5,0,0,0,0,0,0,0.65,0.325,0,0.65
rollandia,1,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0
rollulus,0,1,1,1,1,1,0.5,0,0,0,0,0,0,0,0,0,0
romerolagus,0,0.75,0.75,0.75,0.75,0.75,0.375,0,0,0.375,0.75,0,0,0,0,0,0
roraimia,0,1,1,1,1,1,0.5,0,0,0,0,0,0,0,0,0,0
rostratula,0.65,0,0,0,0,0,0,0.325,0,0,0.65,0.65,0,0,0.65,0,0
rostrhamus,0.65,0,0,0,0,0,0,0.5,0,0,0.5,1,0,0,0,0,0
rougetius,1,0,0,0,0,0,0.65,0.65,0.325,0,0.65,1,0.65,0.25,0.325,0.325,0.325
rousettus,0.375,1,1,1,1,1,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.375,0.125,0.75
rowettia,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0.5,0
rubrisciurus,0,0.75,0.75,0.75,0.75,0.75,0.375,0,0,0,0.125,0,0,0.125,0,0,0
rucervus,0.65,1,1,1,1,1,1,1,1,1,1,1,0,1,0.5,0,1
rufirallus,0.5,0.65,0.65,0.65,0.65,0.65,0.325,0,0.65,0.65,1,0.5,0.65,1,0.5,0,1
rukia,0,1,1,1,1,1,0.5,0,0,0,0,0,0.65,0,0.325,0,0
rungwecebus,0,0.75,0.75,0.75,0.75,0.75,0.375,0,0,0,0,0,0,0,0,0,0
rupicapra,0,0.75,0.75,0.75,0.75,0.75,1,1,0,0,0.75,0,0.25,0,0.125,0,0.75
rupicola,0.65,1,1,1,1,1,0.5,0,0,0,0,0.65,0,0,0,0,0
rupornis,0,1,1,1,1,1,0.65,0.65,0.65,0.65,0.325,0,0.65,0.65,0.325,0,0.65
rusa,0.5,1,1,1,1,1,0.65,0.65,1,1,1,0.65,0.65,1,0.5,0.325,1
ruwenzorisorex,0.75,0.75,0.75,0.75,0.75,0.75,0.375,0,0,0,0,0.75,0,0,0,0,0
rynchops,1,0,0,0,0,0,0,0.325,0,0,0.65,1,0,0,0,0,1
saccolaimus,0.375,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.375,0.75,0.25,0.25,0.125,0,0
saccopteryx,0,1,1,1,1,1,0.5,0,0,0,0,0,0.25,0.25,0.125,0,0
saccostomus,0,0,0,0,0,0,0.75,0.75,0.75,0.75,0.75,0,0.75,0.375,0.375,0,0.75
sagittarius,0,0,0,0,0,0,0.65,0.65,0.65,0.65,0.65,0,0.65,0,0.325,0,0
saguinus,0,1,1,1,1,1,0.5,0,1,1,0.5,0.5,0,0,0,0,0
saiga,0,0,0,0,0,0,0,0,0,0,0.75,0,0,0,0,0,0.75
saimiri,0,1,1,1,1,1,0.5,0,0,0,0,0.5,0,0,0,0,0
sakesphorus,0.65,1,1,1,1,1,0.65,0.65,1,1,0.5,0.65,0,0.65,0,0,0
salanoia,0.5,1,1,1,1,1,0.5,0.5,0,0,0.5,1,0,0,0,0,0
salinomys,0,0,0,0,0,0,0.75,0.75,0.375,0,0,0,0,0,0,0,0
salpinctes,0,0,0,0,0,0,1,1,0.5,0,0,0,0,0,0,0.5,1
salpingotulus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
salpingotus,0,0,0,0,0,0,0.75,0.75,0.375,0.375,0.75,0,0,0,0,0.75,0.75
salpornis,0,1,1,1,1,1,0.5,0,1,1,0.5,0,0,0,0,0,0
saltator,0.65,1,1,1,1,1,1,1,1,1,0.5,0.65,0.65,0.65,0.325,0.5,0.65
saltatricula,0,0.65,0.65,0.65,0.65,0.65,1,1,0.5,0,0,0,0,0,0,0,0
salvadorina,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
sapajus,0.5,1,1,1,1,1,0.5,0,1,1,0.5,1,0,0,0,0,0
sapayoa,0.65,1,1,1,1,1,0.5,0,0,0,0,0.65,0,0,0,0,0
sappho,0,0.65,0.65,0.65,0.65,0.65,1,1,0.5,0,0,0,0,0,0,0.5,0.5
sarcogyps,0,1,1,1,1,1,0.65,0.65,0.65,0.65,0.65,0,0,0.25,0,0,0
sarcophilus,0,0.75,0.75,0.75,0.75,0.75,0.375,0.25,0,0,0.25,0,0.25,0,0.125,0,0
sarcops,0,0.65,0.65,0.65,0.65,0.65,0.325,0,0,0,0,0,0.65,0.65,0.325,0,0.65
sarcoramphus,0.325,1,1,1,1,1,0.5,0,0.65,0.65,0.65,0.325,0,0,0,0,0
sarkidiornis,0.65,0,0,0,0,0,0,0.325,0,0,0.65,0.65,0.65,0,0.325,0,0
saroglossa,0,1,1,1,1,1,0.65,0.65,0.325,0,0,0,0.65,0,0.325,0,0
sarothrura,1,1,1,1,1,1,1,1,0.65,0.65,1,1,0.65,0.65,0.65,0.5,0.65
sasia,0.65,1,1,1,1,1,0.65,0.65,0.325,0,0.325,0.65,0,0,0,0,0
satrapa,0.65,0.65,0.65,0.65,0.65,0.65,0.325,0.325,0,0,0.325,0.65,0.65,0.65,0.325,0,0.65
saundersilarus,0.65,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
sauromys,0,0,0,0,0,0,0.375,0.75,0.75,0.75,0.375,0,0,0,0,0,0.75
saxatilomys,0,1,1,1,1,1,0.5,0,0,0,0,0,0,0,0,0,1
saxicola,0.65,1,1,1,1,1,1,1,0.65,0.65,1,0.65,0.65,0.65,0.325,0.325,1
saxicoloides,0,0,0,0,0,0,1,1,0.5,0,0.325,0,0.65,0.325,0.325,0,1
sayornis,1,1,1,1,1,1,1,1,0.5,0,1,1,0.65,0.65,0.325,0.325,0.65
scalopus,0,0.75,0.75,0.75,0.75,0.75,0.375,0,0,0.375,0.75,0,0.75,0,0.375,0,0
scapanulus,0,0.75,0.75,0.75,0.75,0.75,0.375,0,0,0,0,0,0,0,0,0,0
scapanus,0.375,0.75,0.75,0.75,0.75,0.75,0.375,0,0.75,0.75,0.75,0,0.75,0.75,0.375,0,0.75
scapteromys,0.375,0,0,0,0,0,0.75,0.75,0.375,0.375,0.75,0.75,0,0,0,0,0
scaptochirus,0,0,0,0,0,0,0,0,0,0,0.75,0,0,0,0,0.75,0.75
scaptonyx,0,0.75,0.75,0.75,0.75,0.75,0.375,0,0,0,0,0,0,0,0,0,0
sceloglaux,0,0.65,0.65,0.65,0.65,0.65,0.325,0,0,0,0.65,0,0,0,0,0,0.65
scelorchilus,0,1,1,1,1,1,1,1,0.5,0,0,0,0,0,0,0.325,0.325
scenopoeetes,0,1,1,1,1,1,0.5,0,0,0,0,0,0.65,0,0.325,0,0
schetba,0,1,1,1,1,1,0.5,0,0,0,0,0,0,0,0,0,0
schiffornis,0,1,1,1,1,1,0.5,0,0,0,0,0.5,0,0,0,0,0
schistes,0,1,1,1,1,1,0.5,0,0,0,0,0,0,0,0,0,0
schistochlamys,0,0.65,0.65,0.65,0.65,0.65,0.65,0.65,1,1,0.5,0,0.65,0.65,0.325,0,0.65
schistocichla,0.65,1,1,1,1,1,0.5,0,0,0,0,0.65,0,0,0,0,0
schoenicola,0.65,0,0,0,0,0,1,1,0.5,0,1,0.65,0,0,0,0.5,0.5
schoeniophylax,0.65,0.65,0.65,0.65,0.65,0.65,1,1,0.5,0,0.325,0.65,0,0.65,0.325,0,0.65
schoutedenapus,0.65,1,1,1,1,1,0.5,0,0,0,0.325,0.65,0.65,0.325,0.325,0,1
scissirostrum,0,1,1,1,1,1,0.5,0,0,0,0,0.325,0,0,0,0,0
sciurocheirus,0,0.75,0.75,0.75,0.75,0.75,0.375,0,0,0,0,0,0,0,0,0,0
sciurotamias,0,0,0,0,0,0,0.75,0.75,0,0,0,0,0,0,0,0,0.75
sciurus,0.375,0.75,0.75,0.75,0.75,0.75,0.375,0.25,0,0,0.375,0.75,0.75,0.75,0.375,0,0
sclateria,0.65,1,1,1,1,0.65,0.65,0.65,0.325,0,0,0.65,0,0,0,0,0
scleronycteris,0,0.75,0.75,0.75,0.75,0.75,0.375,0,0,0,0,0,0,0.75,0,0,0
scleroptila,0,1,1,1,1,1,1,1,1,1,1,0,0.65,0,0.325,0.5,0.65
sclerurus,0,1,1,1,1,1,0.5,0,0,0,0,0,0,0,0,0,0
scolomys,0,0.75,0.75,0.75,0.75,0.75,0.375,0,0,0,0,0,0,0.25,0.125,0,0.25
scolopax,0,1,1,1,1,1,0.65,0.65,0.325,0,0,0,0.65,0,0.325,0,0
scopus,0.65,0,0,0,0,0,0,0,0,0,0.65,0.65,0,0,0,0,0
scoteanax,0,0.75,0.75,0.75,0.75,0.75,0.375,0,0,0,0,0,0,0,0,0,0
scotinomys,0,0.75,0.75,0.75,0.75,0.75,0.375,0,0,0,0.75,0,0,0,0,0.375,0.375
scotocerca,0.65,0,0,0,0,0,1,1,0.65,0.65,1,0,0,0,0,0.325,0.65
scotoecus,0,1,1,1,1,1,1,1,0.75,0.75,0.375,0,0,1,0.5,0,1
scotomanes,0,1,1,1,1,1,0.5,0,0,0,0,0,0,0,0,0,0
scotonycteris,0,0.75,0.75,0.75,0.75,0.75,0.375,0,0,0,0,0.125,0,0,0,0,0
scotopelia,1,1,1,1,1,1,0.5,0.325,0,0,0.325,1,0.65,0,0.325,0,0
scotophilus,0,1,1,1,1,1,1,1,0.75,0.75,0.5,0,1,1,0.5,0,1
scotorepens,0.375,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.375,0,0.75
scotozous,0,1,1,1,1,1,1,1,0.5,0,0.5,0,1,1,0.5,0,1
scutisorex,0,0.75,0.75,0.75,0.75,0.75,0.375,0,0,0,0,0,0,0,0,0,0
scytalopus,0.65,1,1,1,1,1,1,1,0.5,0.325,1,0.65,0,0.65,0.325,0.5,0.65
scythrops,0.325,0.65,0.65,0.65,0.65,0.65,0.325,0,0,0,0,0.65,0,0,0,0,0
seicercus,0,1,1,1,1,1,0.65,0.65,0.325,0,0,0,0,0.65,0.325,0,0.65
seiurus,0,1,1,1,1,1,0.5,0,0,0,0,0,0,0,0,0,0
sekeetamys,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75
selasphorus,0,1,1,1,1,1,1,1,0.5,0.5,1,0,0.65,0.65,0.325,0.5,0.65
selenidera,0,1,1,1,1,1,0.65,0.65,0.325,0,0,0.325,0,0,0,0,0
seleucidis,0,1,1,1,1,1,0.5,0,0,0,0,0.325,0,0,0,0,0
selevinia,0,0,0,0,0,0,0,0,0,0,0.375,0,0,0,0,0,0.75
semioptera,0,1,1,1,1,1,0.5,0,0,0,0,0,0,0.65,0.325,0,0.65
semnopithecus,0.5,1,1,1,1,1,1,1,1,1,0.5,1,1,1,0.5,0,1
semnornis,0,1,1,1,1,1,0.5,0,0,0,0,0,0.65,0,0.325,0,0
sephanoides,0,1,1,1,1,1,1,1,0.5,0,0.5,0,0,0.65,0.325,0.325,0.65
