species,Water,Evergreen Needleleaf forest,Evergreen Broadleaf forest,Deciduous Needleleaf forest,Deciduous Broadleaf forest,Mixed forest,Closed shrublands,Open shrublands,Woody savannas,Savannas,Grasslands,Permanent wetlands,Croplands,Urban and built-up,Cropland/Natural vegetation mosaic,Snow and ice,Barren or sparsely vegetated
myzomela erythrocephala,0.5,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.325,0,0,1,0.65,0.65,0.325,0,0
myzomela erythromelas,0,1,1,1,1,1,0.5,0,0,0,0,0,0,0.65,0.325,0,0.65
myzomela jugularis,0.325,1,1,1,1,1,0.5,0,0,0,0.325,0.65,0.65,0.65,0.325,0,0.65
myzomela kuehni,0,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.325,0,0.325,0,0.65,0.325,0.325,0,0
myzomela lafargei,0.325,1,1,1,1,1,0.5,0,0,0,0,0.65,0.65,0,0.325,0,0
myzomela malaitae,0,1,1,1,1,1,0.5,0,0,0,0.325,0,0,0.325,0,0,0
myzomela melanocephala,0,1,1,1,1,1,0.5,0,0,0,0.325,0,0,0.325,0,0,0
myzomela nigrita,0,1,1,1,1,1,0.5,0,0.65,0.65,0.325,0,0,0.65,0.325,0,0.65
myzomela obscura,0.325,1,1,1,1,1,0.5,0.25,0.65,0.65,0.325,0.65,0.65,0.65,0.325,0,0
myzomela pammelaena,0,1,1,1,1,1,0.65,0.65,0.325,0,0.325,0,0.65,0.65,0.325,0,0.65
myzomela pulchella,0,1,1,1,1,1,0.5,0,0,0,0,0,0,0,0,0,0
myzomela rosenbergii,0,1,1,1,1,1,1,1,0.5,0,0.325,0,0,0.325,0,0.5,0.5
myzomela rubratra,0.325,1,1,1,1,1,0.5,0,0,0,0.325,0.65,0.65,0.65,0.325,0,0.65
myzomela sanguinolenta,0.325,1,1,1,1,1,0.5,0.25,1,1,0.5,0.65,0,0.65,0,0,0
myzomela sclateri,0,1,1,1,1,1,0.65,0.65,0.325,0,0.325,0,0,0.65,0.325,0.325,0.65
myzomela tristrami,0,1,1,1,1,1,0.5,0,0,0,0.325,0,0.65,0.65,0.325,0,0.65
myzomela vulnerata,0,1,1,1,1,1,1,1,0.5,0,0.325,0,0.65,0.325,0.325,0,0
myzomela wakoloensis,0.325,1,1,1,1,1,0.5,0,0,0,0,0.65,0,0,0,0,0
myzopoda aurita,0.75,0.75,0.75,0.75,0.75,0.75,0.375,0,0,0,0.375,0.375,0.75,0.75,0.375,0,0.75
myzopoda schliemanni,0,0.75,0.75,0.75,0.75,0.75,0.375,0,0,0,0,0,0,0,0,0,0
myzornis pyrrhoura,0,0.65,0.65,0.65,0.65,0.65,1,1,0,0,0,0,0,0,0,0,0
naemorhedus baileyi,0,1,1,1,1,1,0.75,0.75,0.375,0,0,0,0,0,0,0.375,1
naemorhedus caudatus,0,1,1,1,1,1,1,1,0,0,0.25,0,0,0,0,0,1
naemorhedus goral,0,1,1,1,1,1,1,1,0.5,0,1,0,0,0,0,0.5,1
naemorhedus griseus,0,1,1,1,1,1,1,1,0.5,0,0,0,0,0,0,0.5,1
namibornis herero,0,0.65,0.65,0.65,0.65,0.65,1,1,0.65,0.65,0.65,0,0,0,0,0,0
nandinia binotata,0,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.375,0,0,0.75,0.375,0,0.75
nanger dama,0,0,0,0,0,0,0,0,0.75,0.75,0.75,0,0,0,0,0,0.75
nanger granti,0,0,0,0,0,0,0.75,0.75,0.75,0.75,0.75,0,0,0,0,0.375,0.375
nannococcyx psix,0,1,1,1,1,1,0.5,0,0,0,0,0,0,0,0,0,0
nannopsittaca dachilleae,0,1,1,1,1,1,0.5,0,0,0,0,0,0,0,0,0,0
nannopsittaca panychlora,0,1,1,1,1,1,0.5,0,0,0,0,0,0,0,0,0,0
nannosciurus melanotis,0,0.75,0.75,0.75,0.75,0.75,0.375,0,0,0,0,0,0,0,0,0,0
nanonycteris veldkampii,0.375,0.75,0.75,0.75,0.75,0.75,0.375,0,0.75,0.75,0.375,0.75,0,0,0,0,0
napaeozapus insignis,0.375,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0,0,0.375,0.75,0,0,0,0,0
napothera brevicaudata,0,1,1,1,1,1,0.5,0,0,0,0,0,0,0,0,0,0
napothera crassa,0,1,1,1,1,1,0.5,0,0,0,0,0,0,0,0,0,0
napothera epilepidota,0,1,1,1,1,1,0.5,0,0,0,0,0,0,0,0,0,0
nasica longirostris,0.65,1,1,1,1,0.65,0.325,0,0,0,0.325,0.65,0,0.65,0.325,0,0.65
nasua narica,0,1,1,1,1,1,0.5,0,0,0.125,0.25,0,0,0,0,0,0
nasua nasua,0,1,1,1,1,1,1,1,0.5,0,0,0,0,0,0,0,0
natalus espiritosantensis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
natalus jamaicensis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
natalus major,0,0.75,0.75,0.75,0.75,0.75,0.375,0,0,0,0,0,0,0,0,0,0
natalus mexicanus,0,0.75,0.75,0.75,0.75,0.75,0.375,0,0,0,0,0,0,0,0,0,0
natalus primus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
natalus stramineus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
natalus tumidirostris,0,0.75,0.75,0.75,0.75,0.75,0.375,0,0,0,0.125,0,0,0.25,0,0,0
neacomys dubosti,0,0.75,0.75,0.75,0.75,0.75,0.375,0,0,0,0,0,0,0.25,0.125,0,0.25
