analysis_unit_id,readiness_disease_name,analysis_unit_label,modelling_scope_status,recommended_next_action,pathogen_species_name,pathogen_taxid,source_pathogen,source_msl39_viral_name,matched_pathogen_names,matched_taxids,match_review_flag,shared_species_proxy_flag,match_review_notes,pathogen_species_name_source,pathogen_taxid_source,review_decision,override_query_pathogen_label,override_pathogen_taxid,override_reason,query_pathogen_label,query_pathogen_source,target_id,row_manifest_status,row_manifest_status_reason,qa_flags,genbank_distinct_countries_or_territories,who_don_distinct_countries,current_target_id,current_manifest_query_used,current_manifest_query_strategy
master_26,Borna disease (encephalitis),Mammalian Bornavirus 1 (BoDV-1),review_before_modelling,review_or_defer_scope,Orthobornavirus bornaense,1714619,Orthobornavirus bornaense,Orthobornavirus bornaense,NA,NA,FALSE,FALSE,NA,source_msl39_viral_name,virion_taxid:matched_virus_name; virion_taxid:msl39_viral_name; virion_taxid:Pathogens; virion_taxid:Virion_VirusName,NA,NA,NA,NA,Orthobornavirus bornaense,pathogen_species_name,Orthobornavirus_bornaense,ready_for_future_retrieval,species-level GenBank query ready; modelling_scope_status retained as QA only,non_include_scope; already_has_genbank_country_evidence,10,0,NA,NA,NA
master_39,Jamestown Canyon,Jamestown Canyon,include,curate_direct_vector_evidence,Orthobunyavirus jamestownense,3052402,NA,NA,orthobunyavirus jamestownense,3052402,FALSE,FALSE,ICTV/NCBI-style species name used in local VIRION taxonomy.,matched_pathogen_names,matched_taxids:virion,NA,NA,NA,NA,Orthobunyavirus jamestownense,pathogen_species_name,Orthobunyavirus_jamestownense,ready_for_future_retrieval,species-level GenBank query ready; modelling_scope_status retained as QA only,already_has_genbank_country_evidence,7,0,NA,NA,NA
master_35,La Crosse encephalitis,La Crosse encephalitis,include,curate_direct_vector_evidence,Orthobunyavirus lacrosseense,3052409,NA,NA,orthobunyavirus lacrosseense,3052409,FALSE,FALSE,ICTV/NCBI-style species name used in local VIRION taxonomy.,matched_pathogen_names,matched_taxids:virion,NA,NA,NA,NA,Orthobunyavirus lacrosseense,pathogen_species_name,Orthobunyavirus_lacrosseense,ready_for_future_retrieval,species-level GenBank query ready; modelling_scope_status retained as QA only,already_has_genbank_country_evidence,1,0,NA,NA,NA
master_18,Oropouche fever,Oropouche virus,review_before_modelling,review_or_defer_scope,Orthobunyavirus oropoucheense,3052429,Orthobunyavirus oropoucheense,Orthobunyavirus oropoucheense,NA,NA,FALSE,FALSE,NA,source_msl39_viral_name,virion_taxid:matched_virus_name; virion_taxid:msl39_viral_name; virion_taxid:Pathogens; virion_taxid:Virion_VirusName,NA,NA,NA,NA,Orthobunyavirus oropoucheense,pathogen_species_name,Orthobunyavirus_oropoucheense,ready_for_future_retrieval,species-level GenBank query ready; modelling_scope_status retained as QA only,non_include_scope; already_has_genbank_country_evidence,15,5,NA,NA,NA
master_63,Schmallenberg,Schmallenberg,include,curate_direct_vector_evidence,Orthobunyavirus schmallenbergense,159141; 159150; 3052437,NA,NA,orthobunyavirus schmallenbergense,159141; 159150; 3052437,FALSE,FALSE,ICTV/NCBI-style species name used in local VIRION taxonomy.,matched_pathogen_names,matched_taxids:virion,NA,NA,NA,NA,Orthobunyavirus schmallenbergense,pathogen_species_name,Orthobunyavirus_schmallenbergense,ready_for_future_retrieval,species-level GenBank query ready; modelling_scope_status retained as QA only,already_has_genbank_country_evidence,18,0,NA,NA,NA
who_37,Sudan virus disease (Ebola virus disease),Sudan ebolavirus,defer_broad_or_aggregate_unit,review_or_defer_scope,Orthoebolavirus sudanense,186540; 3052460,Orthoebolavirus sudanense,Orthoebolavirus sudanense,NA,NA,FALSE,FALSE,NA,source_msl39_viral_name,virion_taxid:matched_virus_name; virion_taxid:msl39_viral_name; virion_taxid:Pathogens; virion_taxid:Virion_VirusName,NA,NA,NA,NA,Orthoebolavirus sudanense,pathogen_species_name,Orthoebolavirus_sudanense,ready_for_future_retrieval,species-level GenBank query ready; modelling_scope_status retained as QA only,non_include_scope; already_has_genbank_country_evidence,4,2,NA,NA,NA
master_9,Ebola virus disease,Ebola virus,include,ready_for_model_spec_review,Orthoebolavirus zairense,186538; 3052462,Orthoebolavirus zairense,Orthoebolavirus zairense,NA,NA,FALSE,FALSE,NA,source_msl39_viral_name,virion_taxid:matched_virus_name; virion_taxid:msl39_viral_name; virion_taxid:Pathogens; virion_taxid:Virion_VirusName,NA,NA,NA,NA,Orthoebolavirus zairense,pathogen_species_name,Orthoebolavirus_zairense,ready_for_future_retrieval,species-level GenBank query ready; modelling_scope_status retained as QA only,already_has_genbank_country_evidence,16,18,NA,NA,NA
master_2,Dengue,Dengue virus,include,find_or_build_vector_sdm,Orthoflavivirus denguei,12637; 3052464,Orthoflavivirus denguei,Orthoflavivirus denguei,NA,NA,FALSE,FALSE,NA,source_msl39_viral_name,virion_taxid:msl39_viral_name; virion_taxid:Pathogens,NA,NA,NA,NA,Orthoflavivirus denguei,pathogen_species_name,Orthoflavivirus_denguei,ready_for_future_retrieval,species-level GenBank query ready; modelling_scope_status retained as QA only,already_has_genbank_country_evidence,143,28,NA,NA,NA
master_23,Tick-borne encephalitis,Tick-borne encephalitis virus,include,find_or_build_vector_sdm,Orthoflavivirus encephalitidis,11084; 3052465,Orthoflavivirus encephalitidis,Orthoflavivirus encephalitidis,NA,NA,FALSE,FALSE,NA,source_msl39_viral_name,virion_taxid:matched_virus_name; virion_taxid:msl39_viral_name; virion_taxid:Pathogens; virion_taxid:Virion_VirusName,NA,NA,NA,NA,Orthoflavivirus encephalitidis,pathogen_species_name,Orthoflavivirus_encephalitidis,ready_for_future_retrieval,species-level GenBank query ready; modelling_scope_status retained as QA only,already_has_genbank_country_evidence,37,0,NA,NA,NA
master_5,Yellow fever,Yellow fever virus,include,find_or_build_vector_sdm,Orthoflavivirus flavi,11089; 3046277,Orthoflavivirus flavi,Orthoflavivirus flavi,NA,NA,FALSE,FALSE,NA,source_msl39_viral_name,virion_taxid:msl39_viral_name; virion_taxid:Pathogens,NA,NA,NA,NA,Orthoflavivirus flavi,pathogen_species_name,Orthoflavivirus_flavi,ready_for_future_retrieval,species-level GenBank query ready; modelling_scope_status retained as QA only,already_has_genbank_country_evidence,42,34,NA,NA,NA
