target_id,Pathogens,Disease_name,source_db,query_used,status,records_found,ids_collected,records_parsed,countries_observed,started_at,finished_at,note,source_path,source_file,genbank_run_source
Mammarenavirus_lujoense,Mammarenavirus lujoense,Lujo hemorrhagic fever,nuccore,txid3052314[Organism:exp],success,11,11,11,3,2026-05-14 19:06:04.244287,2026-05-14 19:06:05.328047,NA,/Users/arturtrebski/Coding_Projects/new_global_maxent/pathogen_association_data/staged/genbank_simple/local_runs/pathogen_runs_readiness/search_logs/Mammarenavirus_lujoense.csv,Mammarenavirus_lujoense.csv,readiness_run
Mammarenavirus_machupoense,Mammarenavirus machupoense,Machupo,nuccore,txid3052317[Organism:exp],success,177,177,177,3,2026-05-14 19:06:05.330669,2026-05-14 19:06:08.244662,NA,/Users/arturtrebski/Coding_Projects/new_global_maxent/pathogen_association_data/staged/genbank_simple/local_runs/pathogen_runs_readiness/search_logs/Mammarenavirus_machupoense.csv,Mammarenavirus_machupoense.csv,readiness_run
Onyong_nyong_virus,Onyong-nyong virus,O'nyong-nyong,nuccore,txid2169701[Organism:exp],success,33,33,33,5,2026-05-14 19:06:08.248731,2026-05-14 19:06:09.543072,NA,/Users/arturtrebski/Coding_Projects/new_global_maxent/pathogen_association_data/staged/genbank_simple/local_runs/pathogen_runs_readiness/search_logs/Onyong_nyong_virus.csv,Onyong_nyong_virus.csv,readiness_run
Orbivirus_alphaequi,Orbivirus alphaequi,African horse sickness,nuccore,txid40050[Organism:exp],success,3238,3238,3238,14,2026-05-14 19:06:09.545564,2026-05-14 19:07:02.702298,NA,/Users/arturtrebski/Coding_Projects/new_global_maxent/pathogen_association_data/staged/genbank_simple/local_runs/pathogen_runs_readiness/search_logs/Orbivirus_alphaequi.csv,Orbivirus_alphaequi.csv,readiness_run
Orbivirus_caerulinguae,Orbivirus caerulinguae,Bluetongue,nuccore,(txid3431240[Organism:exp] OR txid40051[Organism:exp]),success,13345,13345,13345,78,2026-05-14 19:07:02.714169,2026-05-14 19:11:05.317162,NA,/Users/arturtrebski/Coding_Projects/new_global_maxent/pathogen_association_data/staged/genbank_simple/local_runs/pathogen_runs_readiness/search_logs/Orbivirus_caerulinguae.csv,Orbivirus_caerulinguae.csv,readiness_run
Orbivirus_ruminantium,Orbivirus ruminantium,Epizootic haemorrhagic disease,nuccore,(txid3431252[Organism:exp] OR txid40054[Organism:exp]),success,2023,2023,2023,23,2026-05-14 19:11:05.332686,2026-05-14 19:11:41.15618,NA,/Users/arturtrebski/Coding_Projects/new_global_maxent/pathogen_association_data/staged/genbank_simple/local_runs/pathogen_runs_readiness/search_logs/Orbivirus_ruminantium.csv,Orbivirus_ruminantium.csv,readiness_run
Orientia_tsutsugamushi,Orientia tsutsugamushi,Scrub typhus,nuccore,txid784[Organism:exp],success,10080,10080,10080,19,2026-05-14 19:11:41.169821,2026-05-14 19:18:16.529957,NA,/Users/arturtrebski/Coding_Projects/new_global_maxent/pathogen_association_data/staged/genbank_simple/local_runs/pathogen_runs_readiness/search_logs/Orientia_tsutsugamushi.csv,Orientia_tsutsugamushi.csv,readiness_run
Orthobornavirus_bornaense,Orthobornavirus bornaense,Borna disease (encephalitis),nuccore,txid1714619[Organism:exp],success,461,461,461,10,2026-05-14 19:18:16.543228,2026-05-14 19:18:26.346239,NA,/Users/arturtrebski/Coding_Projects/new_global_maxent/pathogen_association_data/staged/genbank_simple/local_runs/pathogen_runs_readiness/search_logs/Orthobornavirus_bornaense.csv,Orthobornavirus_bornaense.csv,readiness_run
Orthobunyavirus_jamestownense,Orthobunyavirus jamestownense,Jamestown Canyon,nuccore,txid3052402[Organism:exp],success,450,450,450,7,2026-05-14 19:18:26.353414,2026-05-14 19:18:34.854089,NA,/Users/arturtrebski/Coding_Projects/new_global_maxent/pathogen_association_data/staged/genbank_simple/local_runs/pathogen_runs_readiness/search_logs/Orthobunyavirus_jamestownense.csv,Orthobunyavirus_jamestownense.csv,readiness_run
Orthobunyavirus_lacrosseense,Orthobunyavirus lacrosseense,La Crosse encephalitis,nuccore,txid3052409[Organism:exp],success,414,414,414,1,2026-05-14 19:18:34.861526,2026-05-14 19:18:44.60917,NA,/Users/arturtrebski/Coding_Projects/new_global_maxent/pathogen_association_data/staged/genbank_simple/local_runs/pathogen_runs_readiness/search_logs/Orthobunyavirus_lacrosseense.csv,Orthobunyavirus_lacrosseense.csv,readiness_run
