matched_who_host,matched_who_host_tax_id,matched_who_host_class,matched_who_host_order,matched_who_host_family,vector_species_analysis,vector_species_needs_review,vector_name_taxonomy_examples,interaction_type_examples,source_dataset_examples,country_examples,associated_pathogen_examples,associated_parasite_examples,record_count
Atelerix albiventris,9368,mammalia,eulipotyphla,erinaceidae,Rhipicephalus sanguineus,FALSE,Rhipicephalus sanguineus,on_host_occurrence,TickMap,Nigeria; Sudan,,,4
Atelerix albiventris,9368,mammalia,eulipotyphla,erinaceidae,Rhipicephalus sulcatus,FALSE,Rhipicephalus sulcatus,on_host_occurrence,TickMap,Burkina Faso,,,2
Atelerix albiventris,9368,mammalia,eulipotyphla,erinaceidae,Xenopsylla cheopis,FALSE,Xenopsylla cheopis,on_host_occurrence,FleaMap,Senegal,,,1
Athene cunicularia,194338,aves,strigiformes,strigidae,Culex pipiens,FALSE,Culex pipiens,blood_meal,BloodMealMap,Unites States,,,1
Athene cunicularia,194338,aves,strigiformes,strigidae,Ornithodoros parkeri,FALSE,Ornithodoros parkeri,on_host_occurrence,TickMap,United States,,,10
Athene cunicularia,194338,aves,strigiformes,strigidae,Oropsylla tuberculata,TRUE,Oropsylla tuberculata cynomuris,on_host_occurrence,FleaMap,United States,,,1
Athene noctua,126797,aves,strigiformes,strigidae,Hyalomma marginatum,FALSE,Hyalomma marginatum,on_host_occurrence,TickMap,Morocco,,,1
Baeolophus bicolor,88114,aves,passeriformes,paridae,Amblyomma americanum,FALSE,Amblyomma americanum,on_host_occurrence,TickMap,United States of America,,,16
Baeolophus bicolor,88114,aves,passeriformes,paridae,Culex erraticus,FALSE,Culex erraticus,blood_meal,BloodMealMap,Unites States,,,2
Baeolophus bicolor,88114,aves,passeriformes,paridae,Culex quinquefasciatus,FALSE,Culex quinquefasciatus,blood_meal,BloodMealMap,Unites States,,,1
Baeolophus bicolor,88114,aves,passeriformes,paridae,Culex restuans,FALSE,Culex restuans,blood_meal,BloodMealMap,Unites States,,,1
Baeolophus bicolor,88114,aves,passeriformes,paridae,Culiseta melanura,FALSE,Culiseta melanura,blood_meal,BloodMealMap,Unites States,,,4
Baeolophus bicolor,88114,aves,passeriformes,paridae,Ixodes brunneus,FALSE,Ixodes brunneus,on_host_occurrence,TickMap,United States of America,,Rickettsia mendelii,8
Baeolophus bicolor,88114,aves,passeriformes,paridae,Ixodes scapularis,FALSE,Ixodes scapularis,on_host_occurrence,TickMap,United States; United States of America,,,12
Baeolophus inornatus,142467,aves,passeriformes,paridae,Culex pipiens,FALSE,Culex pipiens,blood_meal,BloodMealMap,Unites States,,,1
Baeolophus inornatus,142467,aves,passeriformes,paridae,Culex stigmatosoma,FALSE,Culex stigmatosoma,blood_meal,BloodMealMap,Unites States,,,1
Baeolophus inornatus,142467,aves,passeriformes,paridae,Culex tarsalis,FALSE,Culex tarsalis,blood_meal,BloodMealMap,Unites States,,,1
Baeolophus inornatus,142467,aves,passeriformes,paridae,Culex thriambus,FALSE,Culex thriambus,blood_meal,BloodMealMap,Unites States,,,1
Baeolophus inornatus,142467,aves,passeriformes,paridae,Ixodes pacificus,FALSE,Ixodes pacificus,on_host_occurrence,TickMap,United States of America,,Borrelia burgdorferi s.l.,27
Balearica pavonina,30414,aves,gruiformes,gruidae,Argas arboreus,FALSE,Argas arboreus,on_host_occurrence,TickMap,Chad,,,1
Bandicota indica,456472,mammalia,rodentia,muridae,Haemaphysalis bandicota,FALSE,Haemaphysalis bandicota,on_host_occurrence,TickMap,Thailand,,Candidatus Rickettsia jingxinensis; Borrelia theileri,10
Bandicota indica,456472,mammalia,rodentia,muridae,Leptotrombidium chiangraiensis,FALSE,Leptotrombidium chiangraiensis,on_host_occurrence,MiteMap,Thailand,,Orientia tsutsugamushi,1
Bandicota indica,456472,mammalia,rodentia,muridae,Leptotrombidium imphalum,FALSE,Leptotrombidium imphalum,on_host_occurrence,MiteMap,Thailand,,Orientia tsutsugamushi,1
Bandicota indica,456472,mammalia,rodentia,muridae,Sarcoptes scabiei,FALSE,Sarcoptes scabiei,on_host_occurrence,MiteMap,Thailand,,,2
Boaedon olivaceus,292868,reptilia,squamata,lamprophiidae,Amblyomma latum,FALSE,Amblyomma latum,on_host_occurrence,TickMap,Cote D'Ivoire,,,1
Bombycilla cedrorum,161648,aves,passeriformes,bombycillidae,Culex pipiens,FALSE,Culex pipiens,blood_meal,BloodMealMap,Unites States,,,5
Bombycilla cedrorum,161648,aves,passeriformes,bombycillidae,Culex quinquefasciatus,FALSE,Culex quinquefasciatus,blood_meal,BloodMealMap,Unites States,,,1
Bombycilla cedrorum,161648,aves,passeriformes,bombycillidae,Culex stigmatosoma,FALSE,Culex stigmatosoma,blood_meal,BloodMealMap,Unites States,,,1
Bombycilla cedrorum,161648,aves,passeriformes,bombycillidae,Culex tarsalis,FALSE,Culex tarsalis,blood_meal,BloodMealMap,Unites States,,,2
Bombycilla cedrorum,161648,aves,passeriformes,bombycillidae,Culiseta melanura,FALSE,Culiseta melanura,blood_meal,BloodMealMap,Unites States,,,2
Bombycilla cedrorum,161648,aves,passeriformes,bombycillidae,Culiseta morsitans,FALSE,Culiseta morsitans,blood_meal,BloodMealMap,Unites States,,,1
Bombycilla cedrorum,161648,aves,passeriformes,bombycillidae,Ixodes brunneus,FALSE,Ixodes brunneus,on_host_occurrence,TickMap,United States of America,,,8
Bombycilla cedrorum,161648,aves,passeriformes,bombycillidae,Ixodes scapularis,FALSE,Ixodes scapularis,on_host_occurrence,TickMap,United States of America,,Borellia burgdorferi,4
Bos taurus,9913,mammalia,artiodactyla,bovidae,Aedeomyia africana,FALSE,Aedeomyia africana,blood_meal,BloodMealMap,Kenya,,,1
Bos taurus,9913,mammalia,artiodactyla,bovidae,Aedes abserratus,FALSE,Aedes abserratus,blood_meal,BloodMealMap,Unites States,,,1
Bos taurus,9913,mammalia,artiodactyla,bovidae,Aedes aegypti,FALSE,Aedes aegypti,blood_meal,BloodMealMap,Kenya,,,2
Bos taurus,9913,mammalia,artiodactyla,bovidae,Aedes albopictus,FALSE,Aedes albopictus,blood_meal,BloodMealMap,Japan; Unites States,,,2
Bos taurus,9913,mammalia,artiodactyla,bovidae,Aedes atlanticus,FALSE,Aedes atlanticus,blood_meal,BloodMealMap,Unites States,,,1
Bos taurus,9913,mammalia,artiodactyla,bovidae,Aedes bancroftianus,FALSE,Aedes bancroftianus,blood_meal,BloodMealMap,Australia,,,1
Bos taurus,9913,mammalia,artiodactyla,bovidae,Aedes caballus,FALSE,Aedes caballus,blood_meal,BloodMealMap,South Africa,,,1
Bos taurus,9913,mammalia,artiodactyla,bovidae,Aedes camptorhynchus,FALSE,Aedes camptorhynchus,blood_meal,BloodMealMap,Australia,,,1
Bos taurus,9913,mammalia,artiodactyla,bovidae,Aedes cantans,FALSE,Aedes cantans,blood_meal,BloodMealMap,United Kingdom,,,1
Bos taurus,9913,mammalia,artiodactyla,bovidae,Aedes caspius,FALSE,Aedes caspius,blood_meal,BloodMealMap,Russia,,,3
Bos taurus,9913,mammalia,artiodactyla,bovidae,Aedes circumluteolum,FALSE,Aedes circumluteolum,blood_meal,BloodMealMap,Kenya,,,1
Bos taurus,9913,mammalia,artiodactyla,bovidae,Aedes cumminsii,FALSE,Aedes cumminsii,blood_meal,BloodMealMap,Kenya,,,1
Bos taurus,9913,mammalia,artiodactyla,bovidae,Aedes dentatus,FALSE,Aedes dentatus,blood_meal,BloodMealMap,Kenya; South Africa,,,2
Bos taurus,9913,mammalia,artiodactyla,bovidae,Aedes detritus,FALSE,Aedes detritus,blood_meal,BloodMealMap,United Kingdom,,,2
Bos taurus,9913,mammalia,artiodactyla,bovidae,Aedes dorsalis,FALSE,Aedes dorsalis,blood_meal,BloodMealMap,Unites States,,,3
Bos taurus,9913,mammalia,artiodactyla,bovidae,Aedes excrucians,FALSE,Aedes excrucians,blood_meal,BloodMealMap,Unites States,,,1
Bos taurus,9913,mammalia,artiodactyla,bovidae,Aedes flavescens,FALSE,Aedes flavescens,blood_meal,BloodMealMap,Russia,,,1
Bos taurus,9913,mammalia,artiodactyla,bovidae,Aedes flavopictus,FALSE,Aedes flavopictus,blood_meal,BloodMealMap,Japan,,,1
Bos taurus,9913,mammalia,artiodactyla,bovidae,Aedes geniculatus,FALSE,Aedes geniculatus,blood_meal,BloodMealMap,Switzerland,,,1
Bos taurus,9913,mammalia,artiodactyla,bovidae,Aedes hirsutus,FALSE,Aedes hirsutus,blood_meal,BloodMealMap,Kenya; Senegal,,,2
Bos taurus,9913,mammalia,artiodactyla,bovidae,Aedes increpitus,FALSE,Aedes increpitus,blood_meal,BloodMealMap,Unites States,,,1
Bos taurus,9913,mammalia,artiodactyla,bovidae,Aedes japonicus,FALSE,Aedes japonicus,blood_meal,BloodMealMap,Belgium; Japan,,,2
Bos taurus,9913,mammalia,artiodactyla,bovidae,Aedes lineatopennis,FALSE,Aedes lineatopennis,blood_meal,BloodMealMap,Australia; Kenya; South Africa,,,3
Bos taurus,9913,mammalia,artiodactyla,bovidae,Aedes mcintoshi,FALSE,Aedes mcintoshi,blood_meal,BloodMealMap,Kenya,,,2
Bos taurus,9913,mammalia,artiodactyla,bovidae,Aedes melanimon,FALSE,Aedes melanimon,blood_meal,BloodMealMap,Unites States,,,2
Bos taurus,9913,mammalia,artiodactyla,bovidae,Aedes metallicus,FALSE,Aedes metallicus,blood_meal,BloodMealMap,Kenya,,,1
Bos taurus,9913,mammalia,artiodactyla,bovidae,Aedes mixtus,FALSE,Aedes mixtus,blood_meal,BloodMealMap,South Africa,,,1
Bos taurus,9913,mammalia,artiodactyla,bovidae,Aedes nigromaculis,FALSE,Aedes nigromaculis,blood_meal,BloodMealMap,Unites States,,,2
Bos taurus,9913,mammalia,artiodactyla,bovidae,Aedes nipponicus,FALSE,Aedes nipponicus,blood_meal,BloodMealMap,Japan,,,1
Bos taurus,9913,mammalia,artiodactyla,bovidae,Aedes normanensis,FALSE,Aedes normanensis,blood_meal,BloodMealMap,Australia,,,2
