matched_who_host,matched_who_host_tax_id,matched_who_host_class,matched_who_host_order,matched_who_host_family,vector_species_analysis,vector_species_needs_review,vector_name_taxonomy_examples,source_dataset_examples,country_examples,review_reason_examples,record_count
Columba livia,8932,aves,columbiformes,columbidae,Ochlerotatus camptorhynchus,FALSE,Ochlerotatus camptorhynchus,MapVEu,Australia,,1
Columba palumbus,8934,aves,columbiformes,columbidae,Culex <subgenus>,FALSE,Culex <subgenus>,MapVEu,United Kingdom,,2
Columba palumbus,8934,aves,columbiformes,columbidae,Culex pipiens,FALSE,Culex pipiens,MapVEu,United Kingdom,,42
Cygnus olor,8869,aves,anseriformes,anatidae,Culex modestus,FALSE,Culex modestus,MapVEu,United Kingdom,,1
Equus caballus,9796,mammalia,perissodactyla,equidae,Culex annulirostris,FALSE,Culex annulirostris,MapVEu,Australia,,5
Gallus gallus,9031,aves,galliformes,phasianidae,Aedes notoscriptus,FALSE,Aedes notoscriptus,MapVEu,Australia,,1
Gallus gallus,9031,aves,galliformes,phasianidae,Anopheles annulipes,FALSE,Anopheles annulipes,MapVEu,Australia,,1
Gallus gallus,9031,aves,galliformes,phasianidae,Anopheles arabiensis,FALSE,Anopheles arabiensis,MapVEu,Ethiopia; Kenya,,5
Gallus gallus,9031,aves,galliformes,phasianidae,Anopheles atroparvus,FALSE,Anopheles atroparvus,MapVEu,United Kingdom,,16
Gallus gallus,9031,aves,galliformes,phasianidae,Anopheles coustani,FALSE,Anopheles coustani,MapVEu,Ethiopia; Kenya,,3
Gallus gallus,9031,aves,galliformes,phasianidae,Anopheles funestus,FALSE,Anopheles funestus,MapVEu,Kenya,,3
Gallus gallus,9031,aves,galliformes,phasianidae,Anopheles gambiae,FALSE,Anopheles gambiae,MapVEu,Kenya,,3
Gallus gallus,9031,aves,galliformes,phasianidae,Anopheles maculipennis sensu lato BTLHVDV-2014,TRUE,Anopheles maculipennis sensu lato BTLHVDV-2014,MapVEu,United Kingdom,vector_sensu_lato,21
Gallus gallus,9031,aves,galliformes,phasianidae,Anopheles messeae x Anopheles daciae,TRUE,Anopheles messeae x Anopheles daciae,MapVEu,United Kingdom,vector_hybrid,23
Gallus gallus,9031,aves,galliformes,phasianidae,Anopheles pharoensis,FALSE,Anopheles pharoensis,MapVEu,Ethiopia,,2
Gallus gallus,9031,aves,galliformes,phasianidae,Culex pipiens,FALSE,Culex pipiens,MapVEu,United Kingdom,,1
Gallus gallus,9031,aves,galliformes,phasianidae,Culex pipiens molestus,TRUE,Culex pipiens molestus,MapVEu,Australia,vector_infraspecific,1
Gallus gallus,9031,aves,galliformes,phasianidae,Culex quinquefasciatus,FALSE,Culex quinquefasciatus,MapVEu,Australia,,2
Gallus gallus,9031,aves,galliformes,phasianidae,gambiae species complex,TRUE,gambiae species complex,MapVEu,Tanzania,vector_complex,2
Hirundo rustica,43150,aves,passeriformes,hirundinidae,Culex modestus,FALSE,Culex modestus,MapVEu,United Kingdom,,3
Hirundo rustica,43150,aves,passeriformes,hirundinidae,Culex pipiens,FALSE,Culex pipiens,MapVEu,United Kingdom,,9
Homo sapiens,9606,,,,Aedes aegypti,FALSE,Aedes aegypti,MapVEu,Grenada,,32
Homo sapiens,9606,,,,Aedes notoscriptus,FALSE,Aedes notoscriptus,MapVEu,Australia,,1
Homo sapiens,9606,,,,Anopheles <genus>,FALSE,Anopheles <genus>,MapVEu,Botswana,,7
Homo sapiens,9606,,,,Anopheles annularis,FALSE,Anopheles annularis,MapVEu,Cambodia,,1
Homo sapiens,9606,,,,Anopheles arabiensis,FALSE,Anopheles arabiensis,MapVEu,Botswana; Ethiopia; Ghana; Kenya; Madagascar; Namibia; Zambia,,196
Homo sapiens,9606,,,,Anopheles atroparvus,FALSE,Anopheles atroparvus,MapVEu,United Kingdom,,28
Homo sapiens,9606,,,,Anopheles bancroftii,FALSE,Anopheles bancroftii,MapVEu,Papua New Guinea,,6
Homo sapiens,9606,,,,Anopheles claviger,FALSE,Anopheles claviger,MapVEu,United Kingdom,,1
Homo sapiens,9606,,,,Anopheles coluzzii,FALSE,Anopheles coluzzii,MapVEu,Ghana,,9
Homo sapiens,9606,,,,Anopheles coustani,FALSE,Anopheles coustani,MapVEu,Ethiopia; Kenya; Madagascar,,229
Homo sapiens,9606,,,,Anopheles crawfordi,FALSE,Anopheles crawfordi,MapVEu,Cambodia,,1
Homo sapiens,9606,,,,Anopheles darlingi,FALSE,Anopheles darlingi,MapVEu,Peru,,4416
Homo sapiens,9606,,,,Anopheles dirus,FALSE,Anopheles dirus,MapVEu,Cambodia,,2
Homo sapiens,9606,,,,Anopheles farauti,FALSE,Anopheles farauti,MapVEu,Papua New Guinea,,631
Homo sapiens,9606,,,,Anopheles farauti No. 4,TRUE,Anopheles farauti No. 4,MapVEu,Papua New Guinea,vector_infraspecific,238
Homo sapiens,9606,,,,Anopheles funestus,FALSE,Anopheles funestus,MapVEu,Central African Republic; Kenya; Madagascar; Zambia; Zimbabwe,,25
Homo sapiens,9606,,,,Anopheles gambiae,FALSE,Anopheles gambiae,MapVEu,Ghana; Kenya; Zambia,,14
Homo sapiens,9606,,,,Anopheles hinesorum,FALSE,Anopheles hinesorum,MapVEu,Papua New Guinea,,6
Homo sapiens,9606,,,,Anopheles koliensis,FALSE,Anopheles koliensis,MapVEu,Papua New Guinea,,39
Homo sapiens,9606,,,,Anopheles leesoni,FALSE,Anopheles leesoni,MapVEu,Zambia,,1
Homo sapiens,9606,,,,Anopheles longipalpis,FALSE,Anopheles longipalpis,MapVEu,Botswana,,31
Homo sapiens,9606,,,,Anopheles longirostris,FALSE,Anopheles longirostris,MapVEu,Papua New Guinea,,75
Homo sapiens,9606,,,,Anopheles maculipalpis,FALSE,Anopheles maculipalpis,MapVEu,Madagascar,,68
Homo sapiens,9606,,,,Anopheles maculipennis sensu lato BTLHVDV-2014,TRUE,Anopheles maculipennis sensu lato BTLHVDV-2014,MapVEu,United Kingdom,vector_sensu_lato,281
Homo sapiens,9606,,,,Anopheles mascarensis,FALSE,Anopheles mascarensis,MapVEu,Madagascar,,23
Homo sapiens,9606,,,,Anopheles messeae x Anopheles daciae,TRUE,Anopheles messeae x Anopheles daciae,MapVEu,United Kingdom,vector_hybrid,35
Homo sapiens,9606,,,,Anopheles parensis,FALSE,Anopheles parensis,MapVEu,Botswana,,16
Homo sapiens,9606,,,,Anopheles pharoensis,FALSE,Anopheles pharoensis,MapVEu,Ethiopia,,2
Homo sapiens,9606,,,,Anopheles pretoriensis,FALSE,Anopheles pretoriensis,MapVEu,Madagascar,,2
Homo sapiens,9606,,,,Anopheles punctulatus,FALSE,Anopheles punctulatus,MapVEu,Papua New Guinea,,110
Homo sapiens,9606,,,,Anopheles quadriannulatus,FALSE,Anopheles quadriannulatus,MapVEu,Botswana; Namibia,,5
Homo sapiens,9606,,,,Anopheles rampae,FALSE,Anopheles rampae,MapVEu,Cambodia,,1
Homo sapiens,9606,,,,Anopheles rufipes,FALSE,Anopheles rufipes,MapVEu,Madagascar,,44
Homo sapiens,9606,,,,Anopheles squamosus,FALSE,Anopheles squamosus,MapVEu,Madagascar,,72
Homo sapiens,9606,,,,Anopheles vagus,FALSE,Anopheles vagus,MapVEu,Cambodia,,1
Homo sapiens,9606,,,,Coquillettidia linealis,FALSE,Coquillettidia linealis,MapVEu,Australia,,1
Homo sapiens,9606,,,,Coquillettidia richiardii,FALSE,Coquillettidia richiardii,MapVEu,United Kingdom,,3
Homo sapiens,9606,,,,Culex <subgenus>,FALSE,Culex <subgenus>,MapVEu,United Kingdom,,1
Homo sapiens,9606,,,,Culex annulirostris,FALSE,Culex annulirostris,MapVEu,Australia,,5
Homo sapiens,9606,,,,Culex cedecei,FALSE,Culex cedecei,MapVEu,United States,,451
Homo sapiens,9606,,,,Culex globocoxitus,FALSE,Culex globocoxitus,MapVEu,Australia,,1
Homo sapiens,9606,,,,Culex pipiens molestus,TRUE,Culex pipiens molestus,MapVEu,Australia,vector_infraspecific,2
Homo sapiens,9606,,,,Culex quinquefasciatus,FALSE,Culex quinquefasciatus,MapVEu,Australia; Grenada,,41
Homo sapiens,9606,,,,Culiseta annulata,FALSE,Culiseta annulata,MapVEu,United Kingdom,,187
Homo sapiens,9606,,,,Ochlerotatus camptorhynchus,FALSE,Ochlerotatus camptorhynchus,MapVEu,Australia,,5
Homo sapiens,9606,,,,Ochlerotatus detritus,FALSE,Ochlerotatus detritus,MapVEu,United Kingdom,,2
Homo sapiens,9606,,,,funestus group,TRUE,funestus group,MapVEu,Burkina Faso,vector_group,2
Homo sapiens,9606,,,,gambiae species complex,TRUE,gambiae species complex,MapVEu,Burkina Faso; Central African Republic; Tanzania,vector_complex,18
Lepus europaeus,9983,mammalia,lagomorpha,leporidae,Anopheles atroparvus,FALSE,Anopheles atroparvus,MapVEu,United Kingdom,,1
Lepus europaeus,9983,mammalia,lagomorpha,leporidae,Anopheles messeae x Anopheles daciae,TRUE,Anopheles messeae x Anopheles daciae,MapVEu,United Kingdom,vector_hybrid,1
Lepus europaeus,9983,mammalia,lagomorpha,leporidae,Coquillettidia linealis,FALSE,Coquillettidia linealis,MapVEu,Australia,,1
Lepus europaeus,9983,mammalia,lagomorpha,leporidae,Ochlerotatus camptorhynchus,FALSE,Ochlerotatus camptorhynchus,MapVEu,Australia,,1
Nycticorax nycticorax,8901,aves,pelecaniformes,ardeidae,Culex annulirostris,FALSE,Culex annulirostris,MapVEu,Australia,,1
Nycticorax nycticorax,8901,aves,pelecaniformes,ardeidae,Culex erraticus,FALSE,Culex erraticus,MapVEu,United States,,2
Odocoileus virginianus,9874,mammalia,artiodactyla,cervidae,Anopheles crucians,FALSE,Anopheles crucians,MapVEu,United States,,1
Odocoileus virginianus,9874,mammalia,artiodactyla,cervidae,Coquillettidia perturbans,FALSE,Coquillettidia perturbans,MapVEu,United States,,4
Odocoileus virginianus,9874,mammalia,artiodactyla,cervidae,Culex cedecei,FALSE,Culex cedecei,MapVEu,United States,,451
Odocoileus virginianus,9874,mammalia,artiodactyla,cervidae,Ochlerotatus infirmatus,FALSE,Ochlerotatus infirmatus,MapVEu,United States,,10
Oryctolagus cuniculus,9986,mammalia,lagomorpha,leporidae,Anopheles atroparvus,FALSE,Anopheles atroparvus,MapVEu,United Kingdom,,22
Oryctolagus cuniculus,9986,mammalia,lagomorpha,leporidae,Anopheles maculipennis sensu lato BTLHVDV-2014,TRUE,Anopheles maculipennis sensu lato BTLHVDV-2014,MapVEu,United Kingdom,vector_sensu_lato,206
Oryctolagus cuniculus,9986,mammalia,lagomorpha,leporidae,Culex pipiens,FALSE,Culex pipiens,MapVEu,United Kingdom,,1
Oryctolagus cuniculus,9986,mammalia,lagomorpha,leporidae,Culiseta annulata,FALSE,Culiseta annulata,MapVEu,United Kingdom,,4
Ovis aries,9940,mammalia,artiodactyla,bovidae,Anopheles arabiensis,FALSE,Anopheles arabiensis,MapVEu,Kenya,,3
Ovis aries,9940,mammalia,artiodactyla,bovidae,Anopheles atroparvus,FALSE,Anopheles atroparvus,MapVEu,United Kingdom,,2
Ovis aries,9940,mammalia,artiodactyla,bovidae,Anopheles coustani,FALSE,Anopheles coustani,MapVEu,Kenya,,2
Ovis aries,9940,mammalia,artiodactyla,bovidae,Anopheles funestus,FALSE,Anopheles funestus,MapVEu,Kenya,,3
Ovis aries,9940,mammalia,artiodactyla,bovidae,Anopheles gambiae,FALSE,Anopheles gambiae,MapVEu,Kenya,,3
Ovis aries,9940,mammalia,artiodactyla,bovidae,Anopheles maculipennis sensu lato BTLHVDV-2014,TRUE,Anopheles maculipennis sensu lato BTLHVDV-2014,MapVEu,United Kingdom,vector_sensu_lato,1
