source_dataset,analysis_unit_id,readiness_disease_name,disease_name,species_role,species_name,tax_id,host_class,host_order,host_family,host_detection_method,host_detection_tier,host_direct_detection_supported,host_role_assignment,host_role_confidence,host_role_assignment_status,host_role_needs_manual_review,modelling_role_proxy,modelling_role_proxy_basis,modelling_role_proxy_confidence,modelling_role_proxy_rule_id,modelling_role_proxy_needs_review,host_role_bucket,host_role_evidence_basis,host_role_weight,role_proxy_applied,group_proxy_applied,vector_group,vector_taxon_rank,vector_join_key,best_evidence_level,best_evidence_basis,has_disease_vector_evidence,has_host_vector_evidence,has_competence_evidence,bites_humans,bites_humans_known,bites_humans_true,vector_competence_status,transmission_demonstrated,natural_infection_reported,vector_role_hint,taxonomy_ok,sdm_needed_for_disease,sdm_available,sdm_species,model_quality_raw,model_quality_tier,model_quality_weight,retained_models,min_boyce,max_boyce,min_test_auc,max_test_auc,min_max_tss,max_max_tss,profile_broad,profile_supported,profile_strong,profile_strict,profile_group_proxy,biological_evidence_tier,no_spatial_layer,missingness_reason,tier_rule_id
repo_pilot,master_10,Marburg virus disease,Marburg virus disease,host,Cavia porcellus,10141,mammalia,rodentia,caviidae,PCR/Sequencing,pcr_or_sequencing,TRUE,host_presence_only,low,candidate_only,TRUE,host_presence_only,candidate_role_assignment,low,candidate_role_v0_1,TRUE,host_presence_only,candidate_only,0.1,FALSE,FALSE,,,,,,,,,,,,,,,,TRUE,yes,TRUE,Cavia porcellus,,available_unscored,0.5,,,,,,,,TRUE,TRUE,FALSE,FALSE,FALSE,supported,FALSE,host_role_presence_only; host_role_review_needed,host_v0_1
repo_pilot,master_10,Marburg virus disease,Marburg virus disease,host,Chlorocebus aethiops,9534,mammalia,primates,cercopithecidae,Isolation/Observation,isolation_or_observation,TRUE,incidental_host,medium,draft_source_backed,TRUE,incidental_host,source_backed_role_assignment,medium,source_backed_role_v0_1,TRUE,dead_end_or_incidental_host,exact_source_backed,0.75,TRUE,FALSE,,,,,,,,,,,,,,,,TRUE,yes,TRUE,Chlorocebus aethiops,,available_unscored,0.5,,,,,,,,TRUE,TRUE,TRUE,FALSE,FALSE,strong,FALSE,host_role_review_needed,host_v0_1
repo_pilot,master_10,Marburg virus disease,Marburg virus disease,host,Epomops franqueti,77231,mammalia,chiroptera,pteropodidae,Antibodies,serology,FALSE,host_presence_only,low,candidate_only,TRUE,host_presence_only,candidate_role_assignment,low,candidate_role_v0_1,TRUE,host_presence_only,candidate_only,0.1,FALSE,FALSE,,,,,,,,,,,,,,,,TRUE,yes,TRUE,Epomops franqueti,,available_unscored,0.5,,,,,,,,TRUE,FALSE,FALSE,FALSE,FALSE,broad,FALSE,host_role_presence_only; host_role_review_needed,host_v0_1
repo_pilot,master_10,Marburg virus disease,Marburg virus disease,host,Hipposideros caffer,302402,mammalia,chiroptera,hipposideridae,PCR/Sequencing,pcr_or_sequencing,TRUE,host_presence_only,low,candidate_only,TRUE,host_presence_only,candidate_role_assignment,low,candidate_role_v0_1,TRUE,host_presence_only,candidate_only,0.1,FALSE,FALSE,,,,,,,,,,,,,,,,TRUE,yes,TRUE,Hipposideros caffer,,available_unscored,0.5,,,,,,,,TRUE,TRUE,FALSE,FALSE,FALSE,supported,FALSE,host_role_presence_only; host_role_review_needed,host_v0_1
repo_pilot,master_10,Marburg virus disease,Marburg virus disease,host,Homo sapiens,9606,,,,Isolation/Observation; Not specified; PCR/Sequencing,pcr_or_sequencing,TRUE,amplifying_host,high,draft_source_backed,FALSE,amplifying_host,source_backed_role_assignment,high,source_backed_role_v0_1,FALSE,reservoir_or_amplifying_host,exact_source_backed,1,TRUE,FALSE,,,,,,,,,,,,,,,,TRUE,yes,FALSE,,,no_sdm,0,,,,,,,,TRUE,TRUE,TRUE,TRUE,FALSE,strict,TRUE,no_sdm,host_v0_1
repo_pilot,master_10,Marburg virus disease,Marburg virus disease,host,Hypsignathus monstrosus,448084,mammalia,chiroptera,pteropodidae,Antibodies,serology,FALSE,host_presence_only,low,candidate_only,TRUE,host_presence_only,candidate_role_assignment,low,candidate_role_v0_1,TRUE,host_presence_only,candidate_only,0.1,FALSE,FALSE,,,,,,,,,,,,,,,,TRUE,yes,TRUE,Hypsignathus monstrosus,,available_unscored,0.5,,,,,,,,TRUE,FALSE,FALSE,FALSE,FALSE,broad,FALSE,host_role_presence_only; host_role_review_needed,host_v0_1
repo_pilot,master_10,Marburg virus disease,Marburg virus disease,host,Mesocricetus auratus,10036,mammalia,rodentia,cricetidae,PCR/Sequencing,pcr_or_sequencing,TRUE,host_presence_only,low,candidate_only,TRUE,host_presence_only,candidate_role_assignment,low,candidate_role_v0_1,TRUE,host_presence_only,candidate_only,0.1,FALSE,FALSE,,,,,,,,,,,,,,,,TRUE,yes,FALSE,,,no_sdm,0,,,,,,,,TRUE,TRUE,FALSE,FALSE,FALSE,supported,TRUE,host_role_presence_only; host_role_review_needed; no_sdm,host_v0_1
repo_pilot,master_10,Marburg virus disease,Marburg virus disease,host,Miniopterus inflatus,221087,mammalia,chiroptera,miniopteridae,Antibodies; PCR/Sequencing,pcr_or_sequencing,TRUE,host_presence_only,low,candidate_only,TRUE,host_presence_only,candidate_role_assignment,low,candidate_role_v0_1,TRUE,host_presence_only,candidate_only,0.1,FALSE,FALSE,,,,,,,,,,,,,,,,TRUE,yes,FALSE,,,no_sdm,0,,,,,,,,TRUE,TRUE,FALSE,FALSE,FALSE,supported,TRUE,host_role_presence_only; host_role_review_needed; no_sdm,host_v0_1
repo_pilot,master_10,Marburg virus disease,Marburg virus disease,host,Mus musculus,10090,mammalia,rodentia,muridae,PCR/Sequencing,pcr_or_sequencing,TRUE,host_presence_only,low,candidate_only,TRUE,host_presence_only,candidate_role_assignment,low,candidate_role_v0_1,TRUE,host_presence_only,candidate_only,0.1,FALSE,FALSE,,,,,,,,,,,,,,,,TRUE,yes,TRUE,Mus musculus,,available_unscored,0.5,,,,,,,,TRUE,TRUE,FALSE,FALSE,FALSE,supported,FALSE,host_role_presence_only; host_role_review_needed,host_v0_1
repo_pilot,master_10,Marburg virus disease,Marburg virus disease,host,Pongo pygmaeus,9600,mammalia,primates,hominidae,Antibodies,serology,FALSE,host_presence_only,low,candidate_only,TRUE,host_presence_only,candidate_role_assignment,low,candidate_role_v0_1,TRUE,host_presence_only,candidate_only,0.1,FALSE,FALSE,,,,,,,,,,,,,,,,TRUE,yes,TRUE,Pongo pygmaeus,,available_unscored,0.5,,,,,,,,TRUE,FALSE,FALSE,FALSE,FALSE,broad,FALSE,host_role_presence_only; host_role_review_needed,host_v0_1
repo_pilot,master_10,Marburg virus disease,Marburg virus disease,host,Rhinolophus eloquens,519038,mammalia,chiroptera,rhinolophidae,Antibodies; PCR/Sequencing,pcr_or_sequencing,TRUE,host_presence_only,low,candidate_only,TRUE,host_presence_only,candidate_role_assignment,low,candidate_role_v0_1,TRUE,host_presence_only,candidate_only,0.1,FALSE,FALSE,,,,,,,,,,,,,,,,TRUE,yes,FALSE,,,no_sdm,0,,,,,,,,TRUE,TRUE,FALSE,FALSE,FALSE,supported,TRUE,host_role_presence_only; host_role_review_needed; no_sdm,host_v0_1
repo_pilot,master_10,Marburg virus disease,Marburg virus disease,host,Rousettus aegyptiacus,9407,mammalia,chiroptera,pteropodidae,Isolation/Observation; PCR/Sequencing,pcr_or_sequencing,TRUE,reservoir_host,high,draft_source_backed,FALSE,reservoir_host,source_backed_role_assignment,high,source_backed_role_v0_1,FALSE,reservoir_or_amplifying_host,exact_source_backed,1,TRUE,FALSE,,,,,,,,,,,,,,,,TRUE,yes,TRUE,Rousettus aegyptiacus,,available_unscored,0.5,,,,,,,,TRUE,TRUE,TRUE,TRUE,FALSE,strict,FALSE,,host_v0_1
