analysis_unit_id,readiness_disease_name,pathogen_species_name,pathogen_taxid,analysis_unit_label,family,in_master_who,priority_prototype_status,master_tier,modelling_scope_status,transmission_rule_review_status,recommended_next_action,readiness_blocker,vectored_status,generalist_status,transmission_complexity,guild,range_limiting_layer,host_sdm_needed,vector_sdm_needed,direct_vector_evidence_status,country_evidence_status,sdm_availability_status,role_assignment_status,evidence_join_status,has_direct_vector_evidence,host_sdm_species_available,vector_sdm_species_available,genbank_distinct_countries_or_territories,who_don_distinct_countries
master_40,St. Louis encephalitis,Orthoflavivirus louisense,11080; 3052468,St. Louis encephalitis,Flaviviridae,FALSE,,1,include,reviewed,curate_direct_vector_evidence,missing_direct_vector_evidence,vectored,host_group_generalist,complex,mosquito_borne_arbovirus,vector,optional,yes,conceptual_vectored_no_direct_vector_evidence,genbank_only,missing_required_vector_sdm,no_role_evidence_or_assignment,matched_primary_name,FALSE,0,0,12,0
master_41,Mayaro,Alphavirus mayaro,3426306; 59301,Mayaro,Togaviridae,FALSE,,1,review_before_modelling,needs_review,review_or_defer_scope,scope_not_include,vectored,restricted,complex,mosquito_borne_arbovirus,host_and_vector,optional,yes,conceptual_vectored_no_direct_vector_evidence,genbank_only,sdm_not_required_or_not_model_ready,no_role_evidence_or_assignment,matched_primary_name,FALSE,0,0,10,0
master_42,Zoonotic malaria (P. knowlesi),Plasmodium knowlesi,5850,Zoonotic malaria (P. knowlesi),Plasmodium,FALSE,,1,include,reviewed,curate_direct_vector_evidence,missing_direct_vector_evidence,vectored,restricted,complex,mosquito_borne_parasite,host_and_vector,yes,yes,conceptual_vectored_no_direct_vector_evidence,genbank_only,missing_required_host_sdm,no_role_evidence_or_assignment,matched_primary_name,FALSE,0,0,16,0
master_43,Anthrax,Bacillus anthracis,1392,Anthrax,Bacillus,FALSE,,1,include,reviewed,curate_role_evidence,missing_role_evidence,non_vectored,generalist,complex,environmental_spore_or_soil,environment,optional,no,not_expected_non_vectored,who_don_and_genbank,optional_sdms_missing,no_role_evidence_or_assignment,matched_primary_name,FALSE,0,0,91,4
master_45,O'nyong-nyong,Onyong-nyong virus,2169701,O'nyong-nyong,Togaviridae,FALSE,,2,review_before_modelling,needs_review,review_or_defer_scope,scope_not_include,vectored,restricted,simple,mosquito_borne_arbovirus,vector,no,yes,conceptual_vectored_no_direct_vector_evidence,genbank_only,sdm_not_required_or_not_model_ready,no_role_evidence_or_assignment,matched_primary_name,FALSE,0,0,5,0
master_46,Scrub typhus,Orientia tsutsugamushi,784,Scrub typhus,Orientia,FALSE,,1?,include,reviewed,curate_direct_vector_evidence,missing_direct_vector_evidence,vectored,host_group_generalist,complex,mite_borne_pathogen,vector,optional,yes,conceptual_vectored_no_direct_vector_evidence,genbank_only,missing_required_vector_sdm,no_role_evidence_or_assignment,matched_primary_name,FALSE,0,0,19,0
master_47,Ross River virus,Alphavirus rossriver,11029; 3426314,Ross River virus,Togaviridae,FALSE,,2,include,reviewed,curate_direct_vector_evidence,missing_direct_vector_evidence,vectored,generalist,complex,mosquito_borne_arbovirus,mixed,optional,yes,conceptual_vectored_no_direct_vector_evidence,genbank_only,missing_required_vector_sdm,no_role_evidence_or_assignment,matched_primary_name,FALSE,0,0,7,0
master_48,Barmah Forest virus,Alphavirus barmah,11020; 3426294,Barmah Forest virus,Togaviridae,FALSE,,2,include,reviewed,curate_direct_vector_evidence,missing_direct_vector_evidence,vectored,host_group_generalist,complex,mosquito_borne_arbovirus,mixed,optional,yes,conceptual_vectored_no_direct_vector_evidence,genbank_only,missing_required_vector_sdm,no_role_evidence_or_assignment,matched_primary_name,FALSE,0,0,2,0
master_49,Bartonellosis,Bartonella bacilliformis,774,Bartonellosis,Bartonella,FALSE,,2,review_before_modelling,needs_review,review_or_defer_scope,scope_not_include,mixed_or_indirect,host_group_generalist,mixed,arthropod_borne_bacterial_aggregate,not_model_ready,uncertain,uncertain,mixed_or_uncertain_review,genbank_only,sdm_not_required_or_not_model_ready,no_role_evidence_or_assignment,matched_primary_name,FALSE,0,0,4,0
master_50,Murine typhus,Rickettsia typhi,785,Murine typhus,Rickettsia,FALSE,,2,include,reviewed,curate_direct_vector_evidence,missing_direct_vector_evidence,vectored,restricted,complex,flea_borne_rodent_pathogen,host_and_vector,yes,optional,conceptual_vectored_no_direct_vector_evidence,genbank_only,missing_required_host_sdm,no_role_evidence_or_assignment,matched_primary_name,FALSE,0,0,21,0
