efsa_pathogen,efsa_pathogen_clean,efsa_abbreviation,vector_species,vector_group,vector_status,field_results,laboratory_results,vn_database_species,vn_priority_species,source,vector_species_raw
Vesicular stomatitis - Alagoas virus,vesicular stomatitis alagoas virus,VSAV,Culicoides sonorensis,biting_midge,potential,,positive,no,no,EFSA Appendix G,Culicoides sonorensis
West Nile virus,west nile virus,WNV,Aedes albopictus,mosquito,potential,,positive,yes,yes,EFSA Appendix G,Aedes albopictus
West Nile virus,west nile virus,WNV,Aedes australis,mosquito,potential,,positive,no,no,EFSA Appendix G,Aedes australis
West Nile virus,west nile virus,WNV,Aedes canadensis,mosquito,potential,,positive,no,no,EFSA Appendix G,Aedes canadensis
West Nile virus,west nile virus,WNV,Aedes detritus,mosquito,potential,,positive,yes,yes,EFSA Appendix G,Aedes detritus
West Nile virus,west nile virus,WNV,Aedes dorsalis,mosquito,potential,,positive,yes,yes,EFSA Appendix G,Aedes dorsalis
West Nile virus,west nile virus,WNV,Aedes japonicus,mosquito,potential,,positive,yes,yes,EFSA Appendix G,Aedes japonicus
West Nile virus,west nile virus,WNV,Aedes kochi,mosquito,potential,,positive,no,no,EFSA Appendix G,Aedes kochi
West Nile virus,west nile virus,WNV,Aedes melanimon,mosquito,potential,,positive,no,no,EFSA Appendix G,Aedes melanimon
West Nile virus,west nile virus,WNV,Aedes notoscriptus,mosquito,potential,,positive,no,no,EFSA Appendix G,Aedes notoscriptus
West Nile virus,west nile virus,WNV,Aedes procax,mosquito,potential,,positive,no,no,EFSA Appendix G,Aedes procax
West Nile virus,west nile virus,WNV,Aedes sierrensis,mosquito,potential,,positive,no,no,EFSA Appendix G,Aedes sierrensis
West Nile virus,west nile virus,WNV,Aedes taeniorhynchus,mosquito,potential,positive,,no,no,EFSA Appendix G,Aedes taeniorhynchus
West Nile virus,west nile virus,WNV,Aedes triseriatus,mosquito,potential,,positive,yes,yes,EFSA Appendix G,Aedes triseriatus
West Nile virus,west nile virus,WNV,Aedes vexans,mosquito,potential,,positive,yes,yes,EFSA Appendix G,Aedes vexans
West Nile virus,west nile virus,WNV,Aedes vigilax,mosquito,potential,,positive,no,no,EFSA Appendix G,Aedes vigilax
West Nile virus,west nile virus,WNV,Coquillettidia linealis,mosquito,potential,,positive,no,no,EFSA Appendix G,Coquillettidia linealis
West Nile virus,west nile virus,WNV,Coquillettidia perturbans,mosquito,potential,,positive,no,no,EFSA Appendix G,Coquillettidia perturbans
West Nile virus,west nile virus,WNV,Culex annulirostris,mosquito,potential,,positive,no,no,EFSA Appendix G,Culex annulirostris
West Nile virus,west nile virus,WNV,Culex bitaeniorhynchus,mosquito,potential,,positive,no,no,EFSA Appendix G,Culex bitaeniorhynchus
West Nile virus,west nile virus,WNV,Culex erythrothorax,mosquito,potential,,positive,no,no,EFSA Appendix G,Culex erythrothorax
West Nile virus,west nile virus,WNV,Culex gelidus,mosquito,potential,,positive,no,no,EFSA Appendix G,Culex gelidus
West Nile virus,west nile virus,WNV,Culex incidens,mosquito,potential,,positive,no,no,EFSA Appendix G,Culex incidens
West Nile virus,west nile virus,WNV,Culex modestus,mosquito,potential,,positive,yes,yes,EFSA Appendix G,Culex modestus
West Nile virus,west nile virus,WNV,Culex neavei group,mosquito,potential,,positive,no,no,EFSA Appendix G,Culex neavei group
West Nile virus,west nile virus,WNV,Culex nigripalpus,mosquito,potential,,positive,no,no,EFSA Appendix G,Culex nigripalpus
West Nile virus,west nile virus,WNV,Culex pervigilans,mosquito,potential,,positive,no,no,EFSA Appendix G,Culex pervigilans
West Nile virus,west nile virus,WNV,Culex pipiens,mosquito,highly_likely,positive,positive,yes,yes,EFSA Appendix G,Culex pipiens
West Nile virus,west nile virus,WNV,Culex pipiens biotype molestus,mosquito,potential,,positive,yes,yes,EFSA Appendix G,Culex pipiens biotype molestus
West Nile virus,west nile virus,WNV,Culex pipiens biotype molestus x Culex quinquefasciatus,mosquito,potential,,positive,yes,yes,EFSA Appendix G,Culex pipiens biotype molestus x Culex quinquefasciatus
West Nile virus,west nile virus,WNV,Culex pipiens biotype pipiens,mosquito,potential,,positive,yes,yes,EFSA Appendix G,Culex pipiens biotype pipiens
West Nile virus,west nile virus,WNV,Culex pipiens biotype pipiens x Culex quinquefasciatus,mosquito,potential,,positive,yes,yes,EFSA Appendix G,Culex pipiens biotype pipiens x Culex quinquefasciatus
West Nile virus,west nile virus,WNV,Culex pipiens biotype pipiens x biotype molestus,mosquito,potential,,positive,yes,yes,EFSA Appendix G,Culex pipiens biotype pipiens x biotype molestus
West Nile virus,west nile virus,WNV,Culex pipiens s.l.,mosquito,highly_likely,positive,positive,yes,yes,EFSA Appendix G,Culex pipiens s.l.
West Nile virus,west nile virus,WNV,Culex pipiens/restuans,mosquito,potential,positive,,yes,no,EFSA Appendix G,Culex pipiens/restuans
West Nile virus,west nile virus,WNV,Culex quinquefasciatus,mosquito,highly_likely,positive,positive,no,no,EFSA Appendix G,Culex quinquefasciatus
West Nile virus,west nile virus,WNV,Culex restuans,mosquito,highly_likely,positive,positive,no,no,EFSA Appendix G,Culex restuans
West Nile virus,west nile virus,WNV,Culex salinarius,mosquito,potential,,positive,no,no,EFSA Appendix G,Culex salinarius
West Nile virus,west nile virus,WNV,Culex sitiens,mosquito,potential,,positive,no,no,EFSA Appendix G,Culex sitiens
West Nile virus,west nile virus,WNV,Culex stigmatosoma,mosquito,potential,,positive,no,no,EFSA Appendix G,Culex stigmatosoma
West Nile virus,west nile virus,WNV,Culex tarsalis,mosquito,potential,,positive,no,no,EFSA Appendix G,Culex tarsalis
