analysis_unit_id,master_row,disease_master_name,resolved_disease_name,resolved_pathogen_name,resolved_pathogen_rank,preferred_match_source,host_query_include_default,host_query_bucket,host_query_source,host_query_pathogen_names,host_query_taxids,match_method,match_review_flag,shared_species_proxy_flag,match_review_notes,source_database,source_assoc_id,source_detection_method,source_host_flag_id,source_pathogen_name,source_pathogen_taxid,source_pathogen_type,source_pathogen_family,source_pathogen_order,source_pathogen_class,source_host_name,source_host_taxid,source_host_genus,source_host_family,source_host_order,source_host_class
master_92,92,Rocio,Rocio virus encephalitis,Rocio virus,species,virion,FALSE,shared_species_proxy_review,virion,orthoflavivirus ilheusense,3052466; 59563,taxid,TRUE,TRUE,Taxonomic species shared with Ilheus virus; do not treat this as Rocio-specific host evidence without review.; Local CLOVER match at the Ilheus virus/species proxy level; do not treat this as Rocio-specific host evidence without review.,HP3,73631,Antibodies,FALSE,orthoflavivirus ilheusense,59563,virus,flaviviridae,amarillovirales,flasuviricetes,carollia perspicillata,40233,carollia,phyllostomidae,chiroptera,mammalia
master_92,92,Rocio,Rocio virus encephalitis,Rocio virus,species,virion,FALSE,shared_species_proxy_review,virion,orthoflavivirus ilheusense,3052466; 59563,taxid,TRUE,TRUE,Taxonomic species shared with Ilheus virus; do not treat this as Rocio-specific host evidence without review.; Local CLOVER match at the Ilheus virus/species proxy level; do not treat this as Rocio-specific host evidence without review.,GenBank,74049,PCR/Sequencing,FALSE,orthoflavivirus ilheusense,3052466,virus,flaviviridae,amarillovirales,flasuviricetes,cebus sp.,9517,cebus,cebidae,primates,mammalia
master_92,92,Rocio,Rocio virus encephalitis,Rocio virus,species,virion,FALSE,shared_species_proxy_review,virion,orthoflavivirus ilheusense,3052466; 59563,taxid,TRUE,TRUE,Taxonomic species shared with Ilheus virus; do not treat this as Rocio-specific host evidence without review.; Local CLOVER match at the Ilheus virus/species proxy level; do not treat this as Rocio-specific host evidence without review.,Shaw,78060,Antibodies,FALSE,orthoflavivirus ilheusense,59563,virus,flaviviridae,amarillovirales,flasuviricetes,columbina talpacoti,504887,columbina,columbidae,columbiformes,aves
master_92,92,Rocio,Rocio virus encephalitis,Rocio virus,species,virion,FALSE,shared_species_proxy_review,virion,orthoflavivirus ilheusense,3052466; 59563,taxid,TRUE,TRUE,Taxonomic species shared with Ilheus virus; do not treat this as Rocio-specific host evidence without review.; Local CLOVER match at the Ilheus virus/species proxy level; do not treat this as Rocio-specific host evidence without review.,HP3,83058,Antibodies,FALSE,orthoflavivirus ilheusense,59563,virus,flaviviridae,amarillovirales,flasuviricetes,desmodus rotundus,9430,desmodus,phyllostomidae,chiroptera,mammalia
master_92,92,Rocio,Rocio virus encephalitis,Rocio virus,species,virion,FALSE,shared_species_proxy_review,virion,orthoflavivirus ilheusense,3052466; 59563,taxid,TRUE,TRUE,Taxonomic species shared with Ilheus virus; do not treat this as Rocio-specific host evidence without review.; Local CLOVER match at the Ilheus virus/species proxy level; do not treat this as Rocio-specific host evidence without review.,Shaw,83701,Isolation/Observation,FALSE,orthoflavivirus ilheusense,59563,virus,flaviviridae,amarillovirales,flasuviricetes,egretta caerulea,110682,egretta,ardeidae,pelecaniformes,aves
master_92,92,Rocio,Rocio virus encephalitis,Rocio virus,species,virion,FALSE,shared_species_proxy_review,virion,orthoflavivirus ilheusense,3052466; 59563,taxid,TRUE,TRUE,Taxonomic species shared with Ilheus virus; do not treat this as Rocio-specific host evidence without review.; Local CLOVER match at the Ilheus virus/species proxy level; do not treat this as Rocio-specific host evidence without review.,Shaw,83726,Antibodies,FALSE,orthoflavivirus ilheusense,59563,virus,flaviviridae,amarillovirales,flasuviricetes,egretta thula,110681,egretta,ardeidae,pelecaniformes,aves
master_92,92,Rocio,Rocio virus encephalitis,Rocio virus,species,virion,FALSE,shared_species_proxy_review,virion,orthoflavivirus ilheusense,3052466; 59563,taxid,TRUE,TRUE,Taxonomic species shared with Ilheus virus; do not treat this as Rocio-specific host evidence without review.; Local CLOVER match at the Ilheus virus/species proxy level; do not treat this as Rocio-specific host evidence without review.,HP3,89399,Antibodies,FALSE,orthoflavivirus ilheusense,59563,virus,flaviviridae,amarillovirales,flasuviricetes,equus caballus,9796,equus,equidae,perissodactyla,mammalia
master_92,92,Rocio,Rocio virus encephalitis,Rocio virus,species,virion,FALSE,shared_species_proxy_review,virion,orthoflavivirus ilheusense,3052466; 59563,taxid,TRUE,TRUE,Taxonomic species shared with Ilheus virus; do not treat this as Rocio-specific host evidence without review.; Local CLOVER match at the Ilheus virus/species proxy level; do not treat this as Rocio-specific host evidence without review.,GenBank,89397,PCR/Sequencing,FALSE,orthoflavivirus ilheusense,3052466,virus,flaviviridae,amarillovirales,flasuviricetes,equus caballus,9796,equus,equidae,perissodactyla,mammalia
master_92,92,Rocio,Rocio virus encephalitis,Rocio virus,species,virion,FALSE,shared_species_proxy_review,virion,orthoflavivirus ilheusense,3052466; 59563,taxid,TRUE,TRUE,Taxonomic species shared with Ilheus virus; do not treat this as Rocio-specific host evidence without review.; Local CLOVER match at the Ilheus virus/species proxy level; do not treat this as Rocio-specific host evidence without review.,Shaw,122243,Antibodies,FALSE,orthoflavivirus ilheusense,59563,virus,flaviviridae,amarillovirales,flasuviricetes,gallus gallus,9031,gallus,phasianidae,galliformes,aves
master_92,92,Rocio,Rocio virus encephalitis,Rocio virus,species,virion,FALSE,shared_species_proxy_review,virion,orthoflavivirus ilheusense,3052466; 59563,taxid,TRUE,TRUE,Taxonomic species shared with Ilheus virus; do not treat this as Rocio-specific host evidence without review.; Local CLOVER match at the Ilheus virus/species proxy level; do not treat this as Rocio-specific host evidence without review.,Shaw,123030,Antibodies,FALSE,orthoflavivirus ilheusense,59563,virus,flaviviridae,amarillovirales,flasuviricetes,geopelia cuneata,115648,geopelia,columbidae,columbiformes,aves
master_92,92,Rocio,Rocio virus encephalitis,Rocio virus,species,virion,FALSE,shared_species_proxy_review,virion,orthoflavivirus ilheusense,3052466; 59563,taxid,TRUE,TRUE,Taxonomic species shared with Ilheus virus; do not treat this as Rocio-specific host evidence without review.; Local CLOVER match at the Ilheus virus/species proxy level; do not treat this as Rocio-specific host evidence without review.,HP3,123356,Antibodies,FALSE,orthoflavivirus ilheusense,59563,virus,flaviviridae,amarillovirales,flasuviricetes,glossophaga soricina,27638,glossophaga,phyllostomidae,chiroptera,mammalia
