master_list_source,master_row,disease_master_name,pathogen_family_master,in_master_who,in_master_gibb,in_master_empres_i,in_master_atlas,master_gbif_checked,master_guild,master_livestock_amplified,master_tier,master_key_host_vector,master_notes,name_resolution_status,combined_row_type,existing_lookup_name,match_field,row_type,family,pheic_risk,source_pathogen,source_previous_name,source_msl39_viral_name,source_disease_name,is_priority_pathogen,is_prototype_pathogen,in_gibb_etal,in_empres_i,priority_prototype_status,region_africa,region_americas,region_europe,region_mediterranean,region_se_asia,region_western_pacific,source_unit_scope,analysis_unit,analysis_unit_label,analysis_unit_rank,analysis_decision,decision_rule_trigger,transmission_context,human_infection_status,host_link_status,vector_data_status,amplifier_data_status,example_members,rationale,notes
disease_master_list_v2,42,Zoonotic malaria (P. knowlesi),Plasmodium,FALSE,TRUE,FALSE,FALSE,FALSE,E,FALSE,1,Anopheles; macaque reservoir,,needs_pathogen_name_resolution,master_list_review_unit,,,,Plasmodium,,,,,Zoonotic malaria (P. knowlesi),,,,,,,,,,,,disease_level_review,Zoonotic malaria (P. knowlesi),Zoonotic malaria (P. knowlesi),disease_or_syndrome_review,review_name_resolution,master_list_new_or_unmatched,E,,,,unknown,,Disease appears in the disease master list but has not yet been resolved to a curated pathogen analysis unit.,
disease_master_list_v2,43,Anthrax,Bacillus,FALSE,TRUE,TRUE,FALSE,FALSE,B/env,TRUE,1,Soil spores; wildlife cycle,Livestock amplify outbreaks,needs_pathogen_name_resolution,master_list_review_unit,,,,Bacillus,,,,,Anthrax,,,,,,,,,,,,disease_level_review,Anthrax,Anthrax,disease_or_syndrome_review,review_name_resolution,master_list_new_or_unmatched,B/env,,,,livestock_amplifier_flag_from_master_list,,Disease appears in the disease master list but has not yet been resolved to a curated pathogen analysis unit.,Livestock amplify outbreaks
disease_master_list_v2,52,Bluetongue,Reoviridae,FALSE,FALSE,TRUE,FALSE,FALSE,E,TRUE,1,Culicoides midges,"Best livestock addition. 19,467 records",needs_pathogen_name_resolution,master_list_review_unit,,,,Reoviridae,,,,,Bluetongue,,,,,,,,,,,,disease_level_review,Bluetongue,Bluetongue,disease_or_syndrome_review,review_name_resolution,master_list_new_or_unmatched,E,,,,livestock_amplifier_flag_from_master_list,,Disease appears in the disease master list but has not yet been resolved to a curated pathogen analysis unit.,"Best livestock addition. 19,467 records"
disease_master_list_v2,53,Rabies,Lyssaviridae,FALSE,FALSE,TRUE,FALSE,FALSE,B,FALSE,1,Multiple wildlife reservoirs,"3,788 records",needs_pathogen_name_resolution,master_list_review_unit,,,,Lyssaviridae,,,,,Rabies,,,,,,,,,,,,disease_level_review,Rabies,Rabies,disease_or_syndrome_review,review_name_resolution,master_list_new_or_unmatched,B,,,,unknown,,Disease appears in the disease master list but has not yet been resolved to a curated pathogen analysis unit.,"3,788 records"
disease_master_list_v2,54,Lumpy skin disease,Poxviridae,FALSE,FALSE,TRUE,FALSE,FALSE,E,TRUE,1,Culicoides/mosquitoes,"5,296 records. Partly trade-mediated",needs_pathogen_name_resolution,master_list_review_unit,,,,Poxviridae,,,,,Lumpy skin disease,,,,,,,,,,,,disease_level_review,Lumpy skin disease,Lumpy skin disease,disease_or_syndrome_review,review_name_resolution,master_list_new_or_unmatched,E,,,,livestock_amplifier_flag_from_master_list,,Disease appears in the disease master list but has not yet been resolved to a curated pathogen analysis unit.,"5,296 records. Partly trade-mediated"
disease_master_list_v2,55,Epizootic haemorrhagic disease,Reoviridae,FALSE,FALSE,TRUE,FALSE,FALSE,E,FALSE,1,Culicoides; wild deer,383 records,needs_pathogen_name_resolution,master_list_review_unit,,,,Reoviridae,,,,,Epizootic haemorrhagic disease,,,,,,,,,,,,disease_level_review,Epizootic haemorrhagic disease,Epizootic haemorrhagic disease,disease_or_syndrome_review,review_name_resolution,master_list_new_or_unmatched,E,,,,unknown,,Disease appears in the disease master list but has not yet been resolved to a curated pathogen analysis unit.,383 records
disease_master_list_v2,63,Schmallenberg,Peribunyaviridae,FALSE,FALSE,TRUE,FALSE,FALSE,E,TRUE,1,Culicoides midges,Recent European emergence,needs_pathogen_name_resolution,master_list_review_unit,,,,Peribunyaviridae,,,,,Schmallenberg,,,,,,,,,,,,disease_level_review,Schmallenberg,Schmallenberg,disease_or_syndrome_review,review_name_resolution,master_list_new_or_unmatched,E,,,,livestock_amplifier_flag_from_master_list,,Disease appears in the disease master list but has not yet been resolved to a curated pathogen analysis unit.,Recent European emergence
disease_master_list_v2,25,VEE,Togaviridae,TRUE,FALSE,TRUE,FALSE,FALSE,E,TRUE,1/2,Mosquitoes; rodent reservoir,Equine amplification,matched_existing_unit_by_manual_alias,existing_who_analysis_unit,Venezuelan equine encephalitis,source_disease_name,source_row,Togaviridae,High,Alphavirus venezuelan,Venezuelan equine encephalitis virus,Alphavirus venezuelan,Venezuelan equine encephalitis,TRUE,TRUE,FALSE,TRUE,both,none,both,none,none,none,none,specific_unit,Alphavirus venezuelan,Venezuelan equine encephalitis virus,species_or_equivalent,keep,specific_source_row,vector_associated_or_mixed,yes,yes_or_expected_from_source,yes_or_expected,unknown,,Specific zoonotic source row retained as the current analysis unit.,Equine amplification
disease_master_list_v2,56,African horse sickness,Reoviridae,FALSE,FALSE,TRUE,FALSE,FALSE,E,FALSE,1/2,Culicoides midges,237 records,needs_pathogen_name_resolution,master_list_review_unit,,,,Reoviridae,,,,,African horse sickness,,,,,,,,,,,,disease_level_review,African horse sickness,African horse sickness,disease_or_syndrome_review,review_name_resolution,master_list_new_or_unmatched,E,,,,unknown,,Disease appears in the disease master list but has not yet been resolved to a curated pathogen analysis unit.,237 records
disease_master_list_v2,57,Vesicular stomatitis,Rhabdoviridae,FALSE,FALSE,TRUE,FALSE,FALSE,E,FALSE,1/2,Sand flies/mosquitoes; wildlife,"891 records, 6 countries",matched_existing_unit_by_exact_key,existing_who_analysis_unit,,source_disease_name,split_candidate,Rhabdoviridae,Low,Genus Vesiculovirus,Genus Vesiculovirus,Genus Vesiculovirus,Vesicular stomatitis,FALSE,TRUE,FALSE,TRUE,prototype,prototype,prototype,prototype,prototype,prototype,prototype,broad_genus,Vesicular stomatitis Indiana virus,VSIV,species,keep,clear_human_infection_and_vector_data,vector_associated_or_mixed,yes,yes,yes,yes,,"Clear zoonotic vesiculovirus with host, vector, and amplifier relevance.",Retained as a distinct analysis unit rather than folded into the broader vesiculovirus placeholder.
