analysis_unit_id,readiness_disease_name,disease_name,species_name,tax_id,host_class,host_order,host_family,host_detection_method,host_role_assignment,host_role_confidence,host_role_needs_manual_review,host_role_assignment_status,source_pathogens,in_current_role_review_scope,in_gibb_etal,in_empres_i,taxonomy_caution
master_11,Lassa fever,Lassa fever,Mastomys huberti,121569,mammalia,rodentia,muridae,Isolation/Observation,host_presence_only,low,TRUE,candidate_only,Mammarenavirus lassaense,TRUE,TRUE,FALSE,FALSE
master_11,Lassa fever,Lassa fever,Mastomys natalensis,10112,mammalia,rodentia,muridae,Isolation/Observation; Not specified; PCR/Sequencing,reservoir_host,high,FALSE,draft_source_backed,Mammarenavirus lassaense,TRUE,TRUE,FALSE,FALSE
master_11,Lassa fever,Lassa fever,Mus baoulei,544437,mammalia,rodentia,muridae,PCR/Sequencing,host_presence_only,low,TRUE,candidate_only,Mammarenavirus lassaense,TRUE,TRUE,FALSE,FALSE
master_11,Lassa fever,Lassa fever,Mus musculus,10090,mammalia,rodentia,muridae,Antibodies,host_presence_only,low,TRUE,candidate_only,Mammarenavirus lassaense,TRUE,TRUE,FALSE,FALSE
master_11,Lassa fever,Lassa fever,Rattus norvegicus,10116,mammalia,rodentia,muridae,Antibodies; PCR/Sequencing,host_presence_only,low,TRUE,candidate_only,Mammarenavirus lassaense,TRUE,TRUE,FALSE,FALSE
master_11,Lassa fever,Lassa fever,Rattus rattus,10117,mammalia,rodentia,muridae,Antibodies; PCR/Sequencing,host_presence_only,low,TRUE,candidate_only,Mammarenavirus lassaense,TRUE,TRUE,FALSE,FALSE
master_11,Lassa fever,Lassa fever,bandicota savilei,456473,,,,Antibodies,host_presence_only,low,TRUE,candidate_only,Mammarenavirus lassaense,TRUE,TRUE,FALSE,FALSE
master_11,Lassa fever,Lassa fever,praomys daltoni,10113,,,,Antibodies,host_presence_only,low,TRUE,candidate_only,Mammarenavirus lassaense,TRUE,TRUE,FALSE,FALSE
master_11,Lassa fever,Lassa fever,praomys rostratus,476587,,,,Antibodies,host_presence_only,low,TRUE,candidate_only,Mammarenavirus lassaense,TRUE,TRUE,FALSE,FALSE
master_11,Lassa fever,Lassa fever,rattus exulans,34854,,,,Antibodies,host_presence_only,low,TRUE,candidate_only,Mammarenavirus lassaense,TRUE,TRUE,FALSE,FALSE
master_12,Nipah virus disease,Nipah virus disease,Bos taurus,9913,mammalia,artiodactyla,bovidae,Isolation/Observation,host_presence_only,low,TRUE,candidate_only,Henipavirus nipahense,TRUE,TRUE,TRUE,FALSE
master_12,Nipah virus disease,Nipah virus disease,Canis lupus,9612,mammalia,carnivora,canidae,Not specified,host_presence_only,low,TRUE,candidate_only,Henipavirus nipahense,TRUE,TRUE,TRUE,FALSE
master_12,Nipah virus disease,Nipah virus disease,Canis lupus,9615,mammalia,carnivora,canidae,PCR/Sequencing,host_presence_only,low,TRUE,candidate_only,Henipavirus nipahense,TRUE,TRUE,TRUE,FALSE
master_12,Nipah virus disease,Nipah virus disease,Capra hircus,9925,mammalia,artiodactyla,bovidae,Isolation/Observation,host_presence_only,low,TRUE,candidate_only,Henipavirus nipahense,TRUE,TRUE,TRUE,FALSE
master_12,Nipah virus disease,Nipah virus disease,Cynopterus brachyotis,58060,mammalia,chiroptera,pteropodidae,Antibodies; Isolation/Observation,host_presence_only,low,TRUE,candidate_only,Henipavirus nipahense,TRUE,TRUE,TRUE,FALSE
master_12,Nipah virus disease,Nipah virus disease,Eidolon helvum,77214,mammalia,chiroptera,pteropodidae,Antibodies,host_presence_only,low,TRUE,candidate_only,Henipavirus nipahense,TRUE,TRUE,TRUE,FALSE
master_12,Nipah virus disease,Nipah virus disease,Eonycteris spelaea,58065,mammalia,chiroptera,pteropodidae,Antibodies; Isolation/Observation,host_presence_only,low,TRUE,candidate_only,Henipavirus nipahense,TRUE,TRUE,TRUE,FALSE
master_12,Nipah virus disease,Nipah virus disease,Equus caballus,9796,mammalia,perissodactyla,equidae,Antibodies,host_presence_only,low,TRUE,candidate_only,Henipavirus nipahense,TRUE,TRUE,TRUE,FALSE
