analysis_unit_id,readiness_disease_name,disease_name,species_name,tax_id,species_role,sdm_needed_for_disease,host_role_assignment,host_role_confidence,host_role_needs_manual_review,host_role_assignment_status,vector_role_assignment,vector_role_confidence,vector_role_needs_manual_review,vector_role_assignment_status,sdm_available,sdm_species
master_16,Influenza (H5N1 avian influenza),Influenza (H5N1 avian influenza),Accipiter trivirgatus,210844,host,yes,host_presence_only,low,TRUE,candidate_only,,,,,FALSE,
master_16,Influenza (H5N1 avian influenza),Influenza (H5N1 avian influenza),Acerodon celebensis,58057,host,yes,host_presence_only,low,TRUE,candidate_only,,,,,FALSE,
master_16,Influenza (H5N1 avian influenza),Influenza (H5N1 avian influenza),Acinonyx jubatus,32536,host,yes,host_presence_only,low,TRUE,candidate_only,,,,,TRUE,Acinonyx jubatus
master_16,Influenza (H5N1 avian influenza),Influenza (H5N1 avian influenza),Aechmophorus occidentalis,57236,host,yes,host_presence_only,low,TRUE,candidate_only,,,,,FALSE,
master_16,Influenza (H5N1 avian influenza),Influenza (H5N1 avian influenza),Aegypius monachus,8959,host,yes,host_presence_only,low,TRUE,candidate_only,,,,,FALSE,
master_16,Influenza (H5N1 avian influenza),Influenza (H5N1 avian influenza),Agropsar sturninus,2675479,host,yes,host_presence_only,low,TRUE,candidate_only,,,,,FALSE,
master_16,Influenza (H5N1 avian influenza),Influenza (H5N1 avian influenza),Ailuropoda melanoleuca,9646,host,yes,host_presence_only,low,TRUE,candidate_only,,,,,FALSE,
master_16,Influenza (H5N1 avian influenza),Influenza (H5N1 avian influenza),Aix galericulata,8832,host,yes,host_presence_only,low,TRUE,candidate_only,,,,,FALSE,
master_16,Influenza (H5N1 avian influenza),Influenza (H5N1 avian influenza),Aix sponsa,8833,host,yes,host_presence_only,low,TRUE,candidate_only,,,,,FALSE,
master_16,Influenza (H5N1 avian influenza),Influenza (H5N1 avian influenza),Alca torda,28689,host,yes,host_presence_only,low,TRUE,candidate_only,,,,,FALSE,
master_16,Influenza (H5N1 avian influenza),Influenza (H5N1 avian influenza),Alectoris barbara,40177,host,yes,host_presence_only,low,TRUE,candidate_only,,,,,FALSE,
master_16,Influenza (H5N1 avian influenza),Influenza (H5N1 avian influenza),Alectoris chukar,9078,host,yes,host_presence_only,low,TRUE,candidate_only,,,,,FALSE,
master_16,Influenza (H5N1 avian influenza),Influenza (H5N1 avian influenza),Alligator sinensis,38654,host,yes,host_presence_only,low,TRUE,candidate_only,,,,,FALSE,
master_16,Influenza (H5N1 avian influenza),Influenza (H5N1 avian influenza),Alopochen aegyptiaca,30382,host,yes,host_presence_only,low,TRUE,candidate_only,,,,,FALSE,
master_16,Influenza (H5N1 avian influenza),Influenza (H5N1 avian influenza),Amazona albifrons,241569,host,yes,host_presence_only,low,TRUE,candidate_only,,,,,FALSE,
master_16,Influenza (H5N1 avian influenza),Influenza (H5N1 avian influenza),Amazona autumnalis,151759,host,yes,host_presence_only,low,TRUE,candidate_only,,,,,FALSE,
master_16,Influenza (H5N1 avian influenza),Influenza (H5N1 avian influenza),Amazona oratrix,152276,host,yes,host_presence_only,low,TRUE,candidate_only,,,,,FALSE,
master_16,Influenza (H5N1 avian influenza),Influenza (H5N1 avian influenza),Amazonetta brasiliensis,75867,host,yes,host_presence_only,low,TRUE,candidate_only,,,,,FALSE,
master_16,Influenza (H5N1 avian influenza),Influenza (H5N1 avian influenza),Anas,42806,host,yes,host_presence_only,low,TRUE,candidate_only,,,,,FALSE,
master_16,Influenza (H5N1 avian influenza),Influenza (H5N1 avian influenza),Anas acuta,28680,host,yes,host_presence_only,low,TRUE,candidate_only,,,,,FALSE,
master_16,Influenza (H5N1 avian influenza),Influenza (H5N1 avian influenza),Anas capensis,8837,host,yes,host_presence_only,low,TRUE,candidate_only,,,,,FALSE,
master_16,Influenza (H5N1 avian influenza),Influenza (H5N1 avian influenza),Anas carolinensis,75836,host,yes,host_presence_only,low,TRUE,candidate_only,,,,,FALSE,
master_16,Influenza (H5N1 avian influenza),Influenza (H5N1 avian influenza),Anas castanea,45631,host,yes,host_presence_only,low,TRUE,candidate_only,,,,,FALSE,
master_16,Influenza (H5N1 avian influenza),Influenza (H5N1 avian influenza),Anas crecca,75839,host,yes,host_presence_only,low,TRUE,candidate_only,,,,,FALSE,
master_16,Influenza (H5N1 avian influenza),Influenza (H5N1 avian influenza),Anas diazi,75841,host,yes,host_presence_only,low,TRUE,candidate_only,,,,,FALSE,
master_16,Influenza (H5N1 avian influenza),Influenza (H5N1 avian influenza),Anas erythrorhyncha,75843,host,yes,host_presence_only,low,TRUE,candidate_only,,,,,FALSE,
master_16,Influenza (H5N1 avian influenza),Influenza (H5N1 avian influenza),Anas flavirostris,75845,host,yes,host_presence_only,low,TRUE,candidate_only,,,,,FALSE,
master_16,Influenza (H5N1 avian influenza),Influenza (H5N1 avian influenza),Anas fulvigula,75846,host,yes,host_presence_only,low,TRUE,candidate_only,,,,,FALSE,
master_16,Influenza (H5N1 avian influenza),Influenza (H5N1 avian influenza),Anas georgica,75847,host,yes,host_presence_only,low,TRUE,candidate_only,,,,,FALSE,
master_16,Influenza (H5N1 avian influenza),Influenza (H5N1 avian influenza),Anas gracilis,45630,host,yes,host_presence_only,low,TRUE,candidate_only,,,,,FALSE,
master_16,Influenza (H5N1 avian influenza),Influenza (H5N1 avian influenza),Anas platyrhynchos,8839,host,yes,host_presence_only,low,TRUE,candidate_only,,,,,FALSE,
master_16,Influenza (H5N1 avian influenza),Influenza (H5N1 avian influenza),Anas platyrhynchos,8840,host,yes,host_presence_only,low,TRUE,candidate_only,,,,,FALSE,
master_16,Influenza (H5N1 avian influenza),Influenza (H5N1 avian influenza),Anas poecilorhyncha,75854,host,yes,host_presence_only,low,TRUE,candidate_only,,,,,FALSE,
master_16,Influenza (H5N1 avian influenza),Influenza (H5N1 avian influenza),Anas rubripes,75857,host,yes,host_presence_only,low,TRUE,candidate_only,,,,,FALSE,
master_16,Influenza (H5N1 avian influenza),Influenza (H5N1 avian influenza),Anas superciliosa,45632,host,yes,host_presence_only,low,TRUE,candidate_only,,,,,FALSE,
master_16,Influenza (H5N1 avian influenza),Influenza (H5N1 avian influenza),Anas undulata,75862,host,yes,host_presence_only,low,TRUE,candidate_only,,,,,FALSE,
