disease_name,disease_name_clean,vector_species,vector_species_clean,vector_group,vector_group_clean,best_evidence_level,best_evidence_basis,record_sources,source_count,supporting_row_count,locations_summary,sources_summary,notes_summary,has_lit_review,has_efsa,vector_species_rule_cleaned,taxonomy_cleanup_method,vector_species_original,vector_species_taxonomy_cleaned,vector_taxon_rank,review_needed,review_note
Crimean-Congo hemorrhagic fever,crimean congo hemorrhagic fever,Hyalomma impeltatum,hyalomma impeltatum,tick,tick,confirmed,review,lit_review,1,6,Arab world; global; Northern Africa; Arabian Peninsula,Celina et al. 2025; de la Fuente et al. 2024; EFSA 2010; Parvage et al. 2025; Perveen and Khan 2022; Shahhosseini et al. 2021,confirmed vector; experimental transmission; high-capacity species; principal vector,TRUE,FALSE,hyalomma impeltatum,no_change,Hyalomma impeltatum,hyalomma impeltatum,species,FALSE,
Crimean-Congo hemorrhagic fever,crimean congo hemorrhagic fever,Hyalomma impressum,hyalomma impressum,tick,tick,probable,review,lit_review,1,2,"Africa, Pakistan; global",Parvage et al. 2025; Shahhosseini et al. 2021,,TRUE,FALSE,hyalomma impressum,no_change,Hyalomma impressum,hyalomma impressum,species,FALSE,
Crimean-Congo hemorrhagic fever,crimean congo hemorrhagic fever,Hyalomma isaaci,hyalomma isaaci,tick,tick,candidate,review,lit_review,1,1,Africa,Shahhosseini et al. 2021,,TRUE,FALSE,hyalomma isaaci,no_change,Hyalomma isaaci,hyalomma isaaci,species,FALSE,
Crimean-Congo hemorrhagic fever,crimean congo hemorrhagic fever,Hyalomma lusitanicum,hyalomma lusitanicum,tick,tick,probable,review,lit_review,1,3,Africa; Spain; global; southwestern Europe,Messina & Wint 2023; Parvage et al. 2025; Shahhosseini et al. 2021,caveated; potential vector,TRUE,FALSE,hyalomma lusitanicum,no_change,Hyalomma lusitanicum,hyalomma lusitanicum,species,FALSE,
Crimean-Congo hemorrhagic fever,crimean congo hemorrhagic fever,Hyalomma marginatum,hyalomma marginatum,tick,tick,confirmed,review,EFSA; lit_review,2,11,Arab world; Asia; Africa; Eastern Europe; Eurasia; Europe; global; Middle East; Northern Africa; Southern Europe; not specified; Old World; southern Europe,Celina et al. 2023; Celina et al. 2025; de la Fuente et al. 2024; EFSA 2010; EFSA Appendix G; Estrada-Pena et al. 2012; Messina & Wint 2023; Parvage et al. 2025; Perveen and Khan 2022; Shah et al. 2023 Table 1; Shahhosseini et al. 2021,efsa_pathogen=Crimean-Congo haemorrhagic fever virus; match_confidence=exact; match_method=exact_disease; high-capacity species; main vector; primary vector; principal vector; s.l. complex principal vector,TRUE,TRUE,hyalomma marginatum,no_change,Hyalomma marginatum,hyalomma marginatum,species,FALSE,
Crimean-Congo hemorrhagic fever,crimean congo hemorrhagic fever,Hyalomma nitidum,hyalomma nitidum,tick,tick,probable,review,lit_review,1,2,Central Africa; global,Parvage et al. 2025; Shahhosseini et al. 2021,,TRUE,FALSE,hyalomma nitidum,no_change,Hyalomma nitidum,hyalomma nitidum,species,FALSE,
Crimean-Congo hemorrhagic fever,crimean congo hemorrhagic fever,Hyalomma onatoli,hyalomma onatoli,tick,tick,candidate,review,lit_review,1,1,Arab world,Perveen and Khan 2022,,TRUE,FALSE,hyalomma onatoli,no_change,Hyalomma onatoli,hyalomma onatoli,species,TRUE,Likely spelling or taxonomy issue; manual decision needed.
Crimean-Congo hemorrhagic fever,crimean congo hemorrhagic fever,Hyalomma rufipes,hyalomma rufipes,tick,tick,confirmed,review,lit_review,1,9,Arab world; Central Europe; global; Middle East; Africa; South Africa,Celina et al. 2023; Celina et al. 2025; de la Fuente et al. 2024; EFSA 2010; Estrada-Pena et al. 2012; Parvage et al. 2025; Perveen and Khan 2022; Shahhosseini et al. 2021; Spengler et al. 2016,another significant vector; confirmed vector; experimental transmission; field infection only; high-capacity species; potential vector; principal vector,TRUE,FALSE,hyalomma rufipes,no_change,Hyalomma rufipes,hyalomma rufipes,species,FALSE,
Crimean-Congo hemorrhagic fever,crimean congo hemorrhagic fever,Hyalomma schulzei,hyalomma schulzei,tick,tick,confirmed,review,lit_review,1,4,Arab world; Arabia peninsula; global,Celina et al. 2025; Parvage et al. 2025; Perveen and Khan 2022; Shahhosseini et al. 2021,confirmed vector,TRUE,FALSE,hyalomma schulzei,no_change,Hyalomma schulzei,hyalomma schulzei,species,FALSE,
Crimean-Congo hemorrhagic fever,crimean congo hemorrhagic fever,Hyalomma scupense,hyalomma scupense,tick,tick,probable,review,lit_review,1,4,Arab world; Eurasia; global,EFSA 2010; Estrada-Pena et al. 2012; Parvage et al. 2025; Perveen and Khan 2022,principal vector; syn Hy. detritum potential vector,TRUE,FALSE,hyalomma scupense,no_change,Hyalomma scupense,hyalomma scupense,species,FALSE,
Crimean-Congo hemorrhagic fever,crimean congo hemorrhagic fever,Hyalomma spp.,hyalomma spp,tick,tick,confirmed,review,lit_review,1,4,Africa/Asia/Southern Europe,de la Fuente et al. 2017; Hewson 2024; Spengler et al. 2016,genus-level only; natural vector; principal vector,TRUE,FALSE,hyalomma spp,no_change,Hyalomma spp.,hyalomma spp,genus_only,FALSE,
Crimean-Congo hemorrhagic fever,crimean congo hemorrhagic fever,Hyalomma truncatum,hyalomma truncatum,tick,tick,confirmed,review,lit_review,1,7,Africa; Arab world; global; South Africa,Celina et al. 2025; de la Fuente et al. 2024; EFSA 2010; Estrada-Pena et al. 2012; Parvage et al. 2025; Perveen and Khan 2022; Shahhosseini et al. 2021,confirmed vector; experimental transmission; field infection only; high-capacity species; principal vector,TRUE,FALSE,hyalomma truncatum,no_change,Hyalomma truncatum,hyalomma truncatum,species,FALSE,
Crimean-Congo hemorrhagic fever,crimean congo hemorrhagic fever,Hyalomma turanicum,hyalomma turanicum,tick,tick,confirmed,review,lit_review,1,6,Arab world; Asia; Africa; Eurasia; global,Celina et al. 2025; de la Fuente et al. 2024; Estrada-Pena et al. 2012; Parvage et al. 2025; Perveen and Khan 2022; Shahhosseini et al. 2021,confirmed vector; high-capacity species; principal vector,TRUE,FALSE,hyalomma turanicum,no_change,Hyalomma turanicum,hyalomma turanicum,species,FALSE,
Crimean-Congo hemorrhagic fever,crimean congo hemorrhagic fever,Ixodes ricinus,ixodes ricinus,tick,tick,candidate,review,lit_review,1,4,Arab world; Europe; Mediterranean; Northern Africa,Celina et al. 2025; EFSA 2010; Perveen and Khan 2022; Shahhosseini et al. 2021,not ascertained; potential vector,TRUE,FALSE,ixodes ricinus,no_change,Ixodes ricinus,ixodes ricinus,species,FALSE,
Crimean-Congo hemorrhagic fever,crimean congo hemorrhagic fever,Ornithodoros lahorensis,ornithodoros lahorensis,tick,tick,candidate,review,lit_review,1,1,Iran,Shahhosseini et al. 2021,,TRUE,FALSE,ornithodoros lahorensis,no_change,Ornithodoros lahorensis,ornithodoros lahorensis,species,FALSE,
Crimean-Congo hemorrhagic fever,crimean congo hemorrhagic fever,Rhipicephalus (Boophilus) annulatus,rhipicephalus boophilus annulatus,tick,tick,candidate,review,lit_review,1,1,,Celina et al. 2025,potential vector,TRUE,FALSE,rhipicephalus boophilus annulatus,no_change,Rhipicephalus (Boophilus) annulatus,rhipicephalus boophilus annulatus,infraspecific,FALSE,
Crimean-Congo hemorrhagic fever,crimean congo hemorrhagic fever,Rhipicephalus (Boophilus) decoloratus,rhipicephalus boophilus decoloratus,tick,tick,candidate,review,lit_review,1,1,,Celina et al. 2025,potential vector,TRUE,FALSE,rhipicephalus boophilus decoloratus,no_change,Rhipicephalus (Boophilus) decoloratus,rhipicephalus boophilus decoloratus,infraspecific,FALSE,
Crimean-Congo hemorrhagic fever,crimean congo hemorrhagic fever,Rhipicephalus annulatus,rhipicephalus annulatus,tick,tick,candidate,review,lit_review,1,3,Arab world; Middle East; Central parts of Africa; several endemic countries,Estrada-Pena et al. 2012; Perveen and Khan 2022; Shahhosseini et al. 2021,field positive role unclear,TRUE,FALSE,rhipicephalus annulatus,no_change,Rhipicephalus annulatus,rhipicephalus annulatus,species,FALSE,
Crimean-Congo hemorrhagic fever,crimean congo hemorrhagic fever,Rhipicephalus appendiculatus,rhipicephalus appendiculatus,tick,tick,candidate,review,lit_review,1,2,Iran,Celina et al. 2025; Shahhosseini et al. 2021,potential vector,TRUE,FALSE,rhipicephalus appendiculatus,no_change,Rhipicephalus appendiculatus,rhipicephalus appendiculatus,species,FALSE,
Crimean-Congo hemorrhagic fever,crimean congo hemorrhagic fever,Rhipicephalus bursa,rhipicephalus bursa,tick,tick,confirmed,review,lit_review,1,4,Greece; Southeastern Europe; Middle East,Celina et al. 2025; EFSA 2010; Parvage et al. 2025; Shahhosseini et al. 2021,confirmed vector; putative vector; virus isolated from ticks,TRUE,FALSE,rhipicephalus bursa,no_change,Rhipicephalus bursa,rhipicephalus bursa,species,FALSE,
Crimean-Congo hemorrhagic fever,crimean congo hemorrhagic fever,Rhipicephalus decoloratus,rhipicephalus decoloratus,tick,tick,candidate,review,lit_review,1,1,Uganda,Shahhosseini et al. 2021,,TRUE,FALSE,rhipicephalus decoloratus,no_change,Rhipicephalus decoloratus,rhipicephalus decoloratus,species,FALSE,
Crimean-Congo hemorrhagic fever,crimean congo hemorrhagic fever,Rhipicephalus evertsi,rhipicephalus evertsi,tick,tick,candidate,review,lit_review,1,4,Arab world; South Africa; Sub-Saharan Africa,EFSA 2010; Estrada-Pena et al. 2012; Perveen and Khan 2022; Shahhosseini et al. 2021,experimental infection; field positive only,TRUE,FALSE,rhipicephalus evertsi,no_change,Rhipicephalus evertsi,rhipicephalus evertsi,species,FALSE,
Crimean-Congo hemorrhagic fever,crimean congo hemorrhagic fever,Rhipicephalus evertsi evertsi,rhipicephalus evertsi evertsi,tick,tick,candidate,review,lit_review,1,2,Mauritania,Celina et al. 2025; Spengler et al. 2016,PCR only; potential vector,TRUE,FALSE,rhipicephalus evertsi evertsi,no_change,Rhipicephalus evertsi evertsi,rhipicephalus evertsi evertsi,infraspecific,FALSE,
Crimean-Congo hemorrhagic fever,crimean congo hemorrhagic fever,Rhipicephalus geigyi,rhipicephalus geigyi,tick,tick,candidate,review,lit_review,1,1,,Celina et al. 2025,potential vector,TRUE,FALSE,rhipicephalus geigyi,no_change,Rhipicephalus geigyi,rhipicephalus geigyi,species,FALSE,
Crimean-Congo hemorrhagic fever,crimean congo hemorrhagic fever,Rhipicephalus guilhoni,rhipicephalus guilhoni,tick,tick,candidate,review,lit_review,1,2,Senegal,Celina et al. 2025; Shahhosseini et al. 2021,potential vector,TRUE,FALSE,rhipicephalus guilhoni,no_change,Rhipicephalus guilhoni,rhipicephalus guilhoni,species,FALSE,
Crimean-Congo hemorrhagic fever,crimean congo hemorrhagic fever,Rhipicephalus microplus,rhipicephalus microplus,tick,tick,candidate,review,lit_review,1,1,Africa; Pakistan,Shahhosseini et al. 2021,,TRUE,FALSE,rhipicephalus microplus,no_change,Rhipicephalus microplus,rhipicephalus microplus,species,FALSE,
Crimean-Congo hemorrhagic fever,crimean congo hemorrhagic fever,Rhipicephalus pulchellus,rhipicephalus pulchellus,tick,tick,candidate,review,lit_review,1,1,Kenya,Shahhosseini et al. 2021,limited field finding,TRUE,FALSE,rhipicephalus pulchellus,no_change,Rhipicephalus pulchellus,rhipicephalus pulchellus,species,FALSE,
Crimean-Congo hemorrhagic fever,crimean congo hemorrhagic fever,Rhipicephalus pumilio,rhipicephalus pumilio,tick,tick,candidate,review,lit_review,1,1,,EFSA 2010,associated with CCHFV,TRUE,FALSE,rhipicephalus pumilio,no_change,Rhipicephalus pumilio,rhipicephalus pumilio,species,FALSE,
Crimean-Congo hemorrhagic fever,crimean congo hemorrhagic fever,Rhipicephalus rossicus,rhipicephalus rossicus,tick,tick,candidate,review,lit_review,1,2,Caucasia; southern Russia,EFSA 2010; Shahhosseini et al. 2021,associated with CCHFV,TRUE,FALSE,rhipicephalus rossicus,no_change,Rhipicephalus rossicus,rhipicephalus rossicus,species,FALSE,
